task,seed,condition,fold_i,fold_j,fc_alpha_i,fc_alpha_j,sc_alpha_i,sc_alpha_j,prediction_correlation
working_memory,1,R2,3,4,0.001,100.0,100.0,100.0,-0.056496990672717975
working_memory,1,R3,0,1,100.0,100.0,100.0,100.0,-0.21495739053776075
working_memory,1,R3,0,2,100.0,100.0,100.0,100.0,0.026654041640818017
working_memory,1,R3,0,3,100.0,0.001,100.0,100.0,0.05923966870190791
working_memory,1,R3,0,4,100.0,100.0,100.0,100.0,0.05712824196515058
working_memory,1,R3,1,2,100.0,100.0,100.0,100.0,-0.023236577747303578
working_memory,1,R3,1,3,100.0,0.001,100.0,100.0,-0.03516505044568518
working_memory,1,R3,1,4,100.0,100.0,100.0,100.0,0.022605326454870976
working_memory,1,R3,2,3,100.0,0.001,100.0,100.0,-0.0883860645835374
working_memory,1,R3,2,4,100.0,100.0,100.0,100.0,0.05096810004244621
working_memory,1,R3,3,4,0.001,100.0,100.0,100.0,-0.03673229503379371
working_memory,2,R0,0,1,100.0,100.0,100.0,100.0,0.12486881323202216
working_memory,2,R0,0,2,100.0,100.0,100.0,100.0,-0.040454500930551474
working_memory,2,R0,0,3,100.0,100.0,100.0,100.0,-0.0059751199921637774
working_memory,2,R0,0,4,100.0,100.0,100.0,100.0,-0.046984686714337025
working_memory,2,R0,1,2,100.0,100.0,100.0,100.0,-0.08614403413110439
working_memory,2,R0,1,3,100.0,100.0,100.0,100.0,-0.04587455513109348
working_memory,2,R0,1,4,100.0,100.0,100.0,100.0,-0.03701526975109109
working_memory,2,R0,2,3,100.0,100.0,100.0,100.0,0.21755313938681559
working_memory,2,R0,2,4,100.0,100.0,100.0,100.0,0.010459180897029853
working_memory,2,R0,3,4,100.0,100.0,100.0,100.0,-0.09885612912354023
working_memory,2,R1,0,1,100.0,100.0,100.0,100.0,0.1615381386171865
working_memory,2,R1,0,2,100.0,100.0,100.0,100.0,-0.09596108009272863
working_memory,2,R1,0,3,100.0,100.0,100.0,100.0,0.0312687062613598
working_memory,2,R1,0,4,100.0,100.0,100.0,100.0,-0.03995385335379459
working_memory,2,R1,1,2,100.0,100.0,100.0,100.0,0.007107018861353272
working_memory,2,R1,1,3,100.0,100.0,100.0,100.0,0.08181234422785996
working_memory,2,R1,1,4,100.0,100.0,100.0,100.0,-0.027394129362980378
working_memory,2,R1,2,3,100.0,100.0,100.0,100.0,0.19151946539545717
working_memory,2,R1,2,4,100.0,100.0,100.0,100.0,0.01957967370838367
working_memory,2,R1,3,4,100.0,100.0,100.0,100.0,-0.046092227990553
working_memory,2,R2,0,1,100.0,100.0,100.0,100.0,0.11149825783972125
working_memory,2,R2,0,2,100.0,100.0,100.0,100.0,-0.01648871910405851
working_memory,2,R2,0,3,100.0,100.0,100.0,100.0,-0.010698621042435325
working_memory,2,R2,0,4,100.0,100.0,100.0,100.0,-0.05292715577758187
working_memory,2,R2,1,2,100.0,100.0,100.0,100.0,-0.10793308736300215
working_memory,2,R2,1,3,100.0,100.0,100.0,100.0,-0.05053275432352717
working_memory,2,R2,1,4,100.0,100.0,100.0,100.0,-0.037145873466766795
working_memory,2,R2,2,3,100.0,100.0,100.0,100.0,0.19143239625167335
working_memory,2,R2,2,4,100.0,100.0,100.0,100.0,0.004277271688379534
working_memory,2,R2,3,4,100.0,100.0,100.0,100.0,-0.15068403696085156
working_memory,2,R3,0,1,100.0,100.0,100.0,100.0,0.11126736912808027
working_memory,2,R3,0,2,100.0,100.0,100.0,100.0,-0.052012929767851906
working_memory,2,R3,0,3,100.0,100.0,100.0,100.0,0.10923912451975924
working_memory,2,R3,0,4,100.0,100.0,100.0,100.0,0.009066074596488937
working_memory,2,R3,1,2,100.0,100.0,100.0,100.0,-0.07867785505164289
working_memory,2,R3,1,3,100.0,100.0,100.0,100.0,0.02243118816730336
working_memory,2,R3,1,4,100.0,100.0,100.0,100.0,-0.05373254535758209
working_memory,2,R3,2,3,100.0,100.0,100.0,100.0,0.18246427444194122
working_memory,2,R3,2,4,100.0,100.0,100.0,100.0,-0.04522153655271493
working_memory,2,R3,3,4,100.0,100.0,100.0,100.0,-0.09519922508462032
working_memory,3,R0,0,1,100.0,100.0,0.001,100.0,0.058750682171193475
working_memory,3,R0,0,2,100.0,100.0,0.001,100.0,0.07560866773326368
working_memory,3,R0,0,3,100.0,100.0,0.001,100.0,0.009414351171624166
working_memory,3,R0,0,4,100.0,100.0,0.001,100.0,0.15323080941652792
working_memory,3,R0,1,2,100.0,100.0,100.0,100.0,-0.28285499722467106
working_memory,3,R0,1,3,100.0,100.0,100.0,100.0,-0.09443737007651201
working_memory,3,R0,1,4,100.0,100.0,100.0,100.0,-0.15908620933598897
working_memory,3,R0,2,3,100.0,100.0,100.0,100.0,0.24056116063168664
working_memory,3,R0,2,4,100.0,100.0,100.0,100.0,0.015530958522436628
working_memory,3,R0,3,4,100.0,100.0,100.0,100.0,-0.09617875295218817
working_memory,3,R1,0,1,100.0,100.0,0.001,100.0,-0.012090172536837245
working_memory,3,R1,0,2,100.0,100.0,0.001,100.0,0.07856901862191314
working_memory,3,R1,0,3,100.0,100.0,0.001,100.0,0.0064322329970287655
working_memory,3,R1,0,4,100.0,100.0,0.001,100.0,0.2536432994852037
working_memory,3,R1,1,2,100.0,100.0,100.0,100.0,-0.25427455077763633
working_memory,3,R1,1,3,100.0,100.0,100.0,100.0,-0.09317486749164682
working_memory,3,R1,1,4,100.0,100.0,100.0,100.0,-0.05756358768406961
working_memory,3,R1,2,3,100.0,100.0,100.0,100.0,0.19415330699491734
working_memory,3,R1,2,4,100.0,100.0,100.0,100.0,-0.02351955246460095
working_memory,3,R1,3,4,100.0,100.0,100.0,100.0,-0.06489916304785538
working_memory,3,R2,0,1,100.0,100.0,0.001,100.0,0.05165610175895218
working_memory,3,R2,0,2,100.0,100.0,0.001,100.0,0.04996680488893243
working_memory,3,R2,0,3,100.0,100.0,0.001,100.0,0.03085512782838672
working_memory,3,R2,0,4,100.0,100.0,0.001,100.0,0.14265190844679532
working_memory,3,R2,1,2,100.0,100.0,100.0,100.0,-0.27819679803223735
working_memory,3,R2,1,3,100.0,100.0,100.0,100.0,-0.11074106725002994
working_memory,3,R2,1,4,100.0,100.0,100.0,100.0,-0.16104526507112463
working_memory,3,R2,2,3,100.0,100.0,100.0,100.0,0.2584321023933131
working_memory,3,R2,2,4,100.0,100.0,100.0,100.0,0.019122560703518685
working_memory,3,R2,3,4,100.0,100.0,100.0,100.0,0.0006856695072974826
working_memory,3,R3,0,1,100.0,100.0,0.001,100.0,0.009991184249191888
working_memory,3,R3,0,2,100.0,100.0,0.001,100.0,0.09718004810570194
working_memory,3,R3,0,3,100.0,100.0,0.001,100.0,-0.050902798184608355
working_memory,3,R3,0,4,100.0,100.0,0.001,100.0,0.2603693908425028
working_memory,3,R3,1,2,100.0,100.0,100.0,100.0,-0.2601081834111514
working_memory,3,R3,1,3,100.0,100.0,100.0,100.0,-0.12497687225868241
working_memory,3,R3,1,4,100.0,100.0,100.0,100.0,-0.14023573970679468
working_memory,3,R3,2,3,100.0,100.0,100.0,100.0,0.17615176151761516
working_memory,3,R3,2,4,100.0,100.0,100.0,100.0,-0.00044622936189201253
working_memory,3,R3,3,4,100.0,100.0,100.0,100.0,-0.05279655206190616
working_memory,4,R0,0,1,100.0,100.0,100.0,100.0,0.04317618907686494
working_memory,4,R0,0,2,100.0,100.0,100.0,100.0,0.12451975925381745
working_memory,4,R0,0,3,100.0,100.0,100.0,0.001,-0.08605696498732056
working_memory,4,R0,0,4,100.0,100.0,100.0,100.0,0.00031562564621630154
working_memory,4,R0,1,2,100.0,100.0,100.0,100.0,0.016858762965139693
working_memory,4,R0,1,3,100.0,100.0,100.0,0.001,0.010938061187840796
working_memory,4,R0,1,4,100.0,100.0,100.0,100.0,-0.10532101304948792
working_memory,4,R0,2,3,100.0,100.0,100.0,0.001,0.12665295327652074
working_memory,4,R0,2,4,100.0,100.0,100.0,100.0,-0.07865608776569694
working_memory,4,R0,3,4,100.0,100.0,0.001,100.0,-0.06572631991380155
working_memory,4,R1,0,1,100.0,100.0,100.0,100.0,0.08215440157843919
working_memory,4,R1,0,2,100.0,100.0,100.0,100.0,0.07458560529380395
working_memory,4,R1,0,3,100.0,100.0,100.0,0.001,-0.11259128655543583
working_memory,4,R1,0,4,100.0,100.0,100.0,100.0,-0.06061100771650288
working_memory,4,R1,1,2,100.0,100.0,100.0,100.0,-0.021168685582438156
working_memory,4,R1,1,3,100.0,100.0,100.0,0.001,0.10982684124029995
working_memory,4,R1,1,4,100.0,100.0,100.0,100.0,-0.14086699099922728
working_memory,4,R1,2,3,100.0,100.0,100.0,0.001,0.08795071886461837
working_memory,4,R1,2,4,100.0,100.0,100.0,100.0,-0.015835700525679956
working_memory,4,R1,3,4,100.0,100.0,0.001,100.0,-0.017468246971626345
working_memory,4,R2,0,1,100.0,100.0,100.0,100.0,0.03123294572016288
working_memory,4,R2,0,2,100.0,100.0,100.0,100.0,0.13581698065976644
working_memory,4,R2,0,3,100.0,100.0,100.0,0.001,-0.024716753191628305
working_memory,4,R2,0,4,100.0,100.0,100.0,100.0,-0.007781804725677779
working_memory,4,R2,1,2,100.0,100.0,100.0,100.0,0.01825186926568061
working_memory,4,R2,1,3,100.0,100.0,100.0,0.001,0.004124900686757872
working_memory,4,R2,1,4,100.0,100.0,100.0,100.0,-0.1293738640197647
working_memory,4,R2,2,3,100.0,100.0,100.0,0.001,0.125172777832196
working_memory,4,R2,2,4,100.0,100.0,100.0,100.0,-0.072300040269479
working_memory,4,R2,3,4,100.0,100.0,0.001,100.0,-0.06585692362947726
working_memory,4,R3,0,1,100.0,100.0,100.0,100.0,0.05134125351580538
working_memory,4,R3,0,2,100.0,100.0,100.0,100.0,0.15366615513544696
working_memory,4,R3,0,3,100.0,100.0,100.0,0.001,-0.06966619867001883
working_memory,4,R3,0,4,100.0,100.0,100.0,100.0,0.05891315941271862
working_memory,4,R3,1,2,100.0,100.0,100.0,100.0,-0.010611551898651516
working_memory,4,R3,1,3,100.0,100.0,100.0,0.001,0.12256070351868179
working_memory,4,R3,1,4,100.0,100.0,100.0,100.0,-0.17001338688085676
working_memory,4,R3,2,3,100.0,100.0,100.0,0.001,0.05667112896028559
working_memory,4,R3,2,4,100.0,100.0,100.0,100.0,-0.02447731304622283
working_memory,4,R3,3,4,100.0,100.0,0.001,100.0,0.0026229579564871954
working_memory,5,R0,0,1,100.0,100.0,0.001,100.0,0.08408547080307292
working_memory,5,R0,0,2,100.0,100.0,0.001,100.0,-0.01217879648676005
working_memory,5,R0,0,3,100.0,100.0,0.001,100.0,-0.07438969972029037
working_memory,5,R0,0,4,100.0,100.0,0.001,100.0,0.04559158041379611
working_memory,5,R0,1,2,100.0,100.0,100.0,100.0,0.05536509180352848
