task,seed,outer_fold,condition,condition_name,fc_alpha,sc_alpha,fp_lambda_F,fp_lambda_L
fluid_intelligence,5,3,R3,Full PALF,100.0,100.0,0.1,0.03
fluid_intelligence,5,4,R3,Full PALF,100.0,100.0,0.1,0.03
fluid_intelligence,6,0,R3,Full PALF,100.0,0.001,1.0,0.03
fluid_intelligence,6,1,R3,Full PALF,100.0,100.0,1.0,0.03
fluid_intelligence,6,2,R3,Full PALF,100.0,100.0,0.1,0.03
fluid_intelligence,6,3,R3,Full PALF,100.0,100.0,0.1,2.0
fluid_intelligence,6,4,R3,Full PALF,100.0,100.0,0.1,0.03
fluid_intelligence,7,0,R3,Full PALF,100.0,100.0,0.1,0.03
fluid_intelligence,7,1,R3,Full PALF,100.0,100.0,0.01,1.0
fluid_intelligence,7,2,R3,Full PALF,100.0,100.0,0.1,0.03
fluid_intelligence,7,3,R3,Full PALF,100.0,100.0,1.0,0.03
fluid_intelligence,7,4,R3,Full PALF,100.0,100.0,1.0,0.03
fluid_intelligence,8,0,R3,Full PALF,100.0,100.0,0.1,0.03
fluid_intelligence,8,1,R3,Full PALF,100.0,100.0,0.1,5.0
fluid_intelligence,8,2,R3,Full PALF,100.0,100.0,1.0,0.03
fluid_intelligence,8,3,R3,Full PALF,100.0,100.0,0.1,0.03
fluid_intelligence,8,4,R3,Full PALF,100.0,100.0,0.1,0.03
fluid_intelligence,9,0,R3,Full PALF,100.0,100.0,1.0,0.03
fluid_intelligence,9,1,R3,Full PALF,100.0,100.0,0.1,0.03
fluid_intelligence,9,2,R3,Full PALF,100.0,100.0,0.1,0.1
fluid_intelligence,9,3,R3,Full PALF,100.0,100.0,0.1,0.03
fluid_intelligence,9,4,R3,Full PALF,100.0,100.0,0.1,2.0
