task,seed,outer_fold,control_prior,control_display,lambda_fc,lambda_l,fp_r_matched,fp_r_control,fp_delta_r,fp_rmse_matched,fp_rmse_control,fp_mae_matched,fp_mae_control,fused_r_matched,fused_r_control,fused_delta_r,fused_rmse_matched,fused_rmse_control,fused_mae_matched,fused_mae_control,w_fp,w_sc
working_memory,0,0,cross_task,Cross-task,0.1,5.0,0.20373628045577885,0.16851119681647952,-0.035225083639299326,10.292766509065551,10.904966693228326,8.61310794557853,9.011359520953283,0.18650544979861472,0.1579584964127195,-0.02854695338589522,9.883842912094348,10.238165314736188,8.220449195486438,8.469002354422637,0.7,0.3
working_memory,0,1,cross_task,Cross-task,0.1,5.0,0.17146642270842552,0.17886233351857744,0.007395910810151923,11.552973214977136,11.51372600869207,9.287206186710607,9.310980183500087,0.19668448132553748,0.2030818516729398,0.006397370347402315,11.191359645360139,11.163961757003296,8.95091162098044,8.929148880091569,0.85,0.15
working_memory,0,2,cross_task,Cross-task,0.01,0.03,0.18324260749238278,0.15444388650361,-0.028798720988772786,13.124747535584019,13.477448405421784,9.938127747949173,10.306894900812946,0.2382291963330784,0.21292878195345916,-0.025300414379619246,11.93121251867349,12.19895549626339,8.992311868064341,9.284862975291972,0.6,0.4
working_memory,0,3,cross_task,Cross-task,0.1,5.0,0.4303781150558613,0.38370199076872274,-0.046676124287138576,10.34021430047728,10.711566548722196,8.806524658173107,8.985023350602775,0.40157377876274414,0.3580941477876388,-0.04347963097510532,10.489257335271857,10.694706553963808,9.013878726220309,9.139321640186203,0.6,0.4
working_memory,0,4,cross_task,Cross-task,0.1,5.0,0.327650445371927,0.3041940674752338,-0.023456377896693192,12.973778526234803,13.210023413246658,10.768428725983025,11.13934725190982,0.3535214072404662,0.3308266595540681,-0.02269474768639812,12.781283357387428,12.928469200310836,10.6505965938344,10.887382810590553,0.75,0.25
working_memory,1,0,cross_task,Cross-task,0.1,5.0,0.48982335146427974,0.43363809410336146,-0.056185257360918284,9.822950789304777,10.239255565629602,8.17083648788524,8.496287691297226,0.48573265779509944,0.4506984997504654,-0.035034158044634056,9.855198665718326,10.006485553146486,8.398245043401207,8.519881080149831,0.5,0.5
working_memory,1,1,cross_task,Cross-task,0.1,2.0,0.10265324493572513,0.10593393144917686,0.0032806865134517305,12.570991923402783,12.772977014005587,10.074417252646692,10.399375677720439,0.07707933264054624,0.08170725083289945,0.0046279181923532114,12.270880886882647,12.346951028034885,9.950389121330106,10.117224244225413,0.6,0.4
working_memory,1,2,cross_task,Cross-task,0.1,5.0,0.27230474162827073,0.21310130016956286,-0.05920344145870787,11.22477822070823,11.631706710143163,9.48187341089458,9.891020873071843,0.17889876301588115,0.15271622800526574,-0.026182535010615404,11.565141814692591,11.716646891383828,9.852569350172828,9.98447079100432,0.45,0.55
working_memory,1,3,cross_task,Cross-task,0.01,5.0,0.3104408627891544,0.23383078981917324,-0.07661007296998115,12.437744374133647,12.92789100505321,10.30739941986124,10.551391738712624,0.3124082923098357,0.240585666755031,-0.07182262555480468,11.978438099043922,12.40822919007876,9.900643328090101,10.098149268774376,0.8,0.2
working_memory,1,4,cross_task,Cross-task,0.1,0.03,0.3192726455459442,0.28619146744761936,-0.03308117809832484,10.57461259842224,11.009442812062739,8.061462901100855,8.363663312292163,0.32561846972545366,0.308925907547916,-0.016692562177537673,10.325315524240292,10.46170255522126,8.048507505326064,8.115020558043275,0.6,0.4
working_memory,2,0,cross_task,Cross-task,0.01,0.03,0.34331459731173264,0.32630279769665516,-0.017011799615077483,12.664855423134243,13.025718140123601,10.470426963169464,10.99410703289497,0.34883585077405066,0.3322550450790226,-0.016580805695028067,12.22224215318522,12.501423948589407,10.014582467953321,10.37853027850543,0.85,0.15
working_memory,2,1,cross_task,Cross-task,0.1,5.0,0.39541993210547155,0.33740397201224326,-0.05801596009322829,10.319232758234264,10.791202970367435,8.339256351786148,8.90630052911178,0.4067277768797392,0.3578740128552294,-0.048853764024509805,10.127276494563045,10.427193955049534,8.38068137063327,8.553630247121434,0.75,0.25
working_memory,2,2,cross_task,Cross-task,0.1,0.03,0.25439617198559494,0.21849650996663253,-0.035899662018962414,11.87328137019566,12.509960048237389,9.182677720254429,9.703753783113164,0.2679827926168856,0.2309478140587381,-0.037034978558147524,11.463363228612469,11.925487907639665,8.879960192275217,9.27626768930473,0.8,0.2
working_memory,2,3,cross_task,Cross-task,1.0,2.0,0.2986021202833321,0.31614622308370166,0.017544102800369554,10.954765564150355,10.87622157668446,9.421990391058912,9.391299714216744,0.34505066968469167,0.35169526967585674,0.006644599991165068,10.837754411969307,10.772435024292431,9.346263610439365,9.325027625314904,0.75,0.25
working_memory,2,4,cross_task,Cross-task,0.1,5.0,0.2317205473296265,0.23161794299524643,-0.00010260433438005756,11.029267297190753,11.323298711508107,9.022793324910856,9.33758759777947,0.15352819668364898,0.15931389285887038,0.0057856961752214,11.10565838344226,11.19320119209916,8.779881108429855,8.866980751018412,0.45,0.55
working_memory,3,0,cross_task,Cross-task,0.1,2.0,0.25740013687900576,0.20236889229910845,-0.055031244579897304,9.876724853861612,10.355984512482422,8.39576663323303,8.764538947937368,0.24925856319237288,0.21949132097881283,-0.029767242213560058,9.662835966791253,9.832269142114678,8.074102905234396,8.310296763743105,0.45,0.55
working_memory,3,1,cross_task,Cross-task,0.001,5.0,0.13218620717303964,0.11835267081885352,-0.013833536354186118,14.324781841090006,14.61426170062394,11.805523910500714,11.910062136347257,0.16947799521572793,0.1600785301873477,-0.009399465028380238,12.978675904157381,13.035308415272715,11.062061658522175,10.917609581085484,0.6,0.4
working_memory,3,2,cross_task,Cross-task,0.1,2.0,0.17394268991342254,0.10068222599916671,-0.07326046391425584,12.476758754330344,12.98681783044496,9.819365603984293,10.261586288720656,0.13830113727883764,0.08208021861187587,-0.05622091866696177,12.197186970130799,12.541498418234147,9.419983337795133,9.89641861706506,0.6,0.4
working_memory,3,3,cross_task,Cross-task,1.0,5.0,0.4812447007064311,0.4233073168675222,-0.057937383838908896,10.872987183968588,10.947489228539009,8.905641868450125,8.907470641540087,0.4812447007064311,0.4233073168675222,-0.057937383838908896,10.872987183968588,10.947489228539009,8.905641868450125,8.907470641540087,1.0,0.0
working_memory,3,4,cross_task,Cross-task,0.1,5.0,0.37710167452633525,0.3349329799021268,-0.04216869462420847,10.67020919531179,11.177728160263452,8.177250381541823,8.763841578250451,0.3870230784144916,0.35094372504599586,-0.036079353368495715,10.315202097005185,10.550084094020919,7.9128720899616996,8.137861824488338,0.7,0.3
working_memory,4,0,cross_task,Cross-task,0.1,5.0,0.19603585329163517,0.20762182047526162,0.01158596718362645,11.310374869125429,11.253876218692639,9.214506454806392,9.012058996750628,0.17734894207542282,0.18320053979903086,0.0058515977236080485,11.07069566282883,11.061677326124686,8.821272249213724,8.834914959446744,0.6,0.4
working_memory,4,1,cross_task,Cross-task,0.1,5.0,0.20236200458931564,0.17476758735820896,-0.02759441723110667,11.935879494920112,12.389254665101564,9.332206360158333,9.834966839727604,0.24614564950637977,0.21632795820334116,-0.0298176913030386,11.5383511432817,11.874348742580093,9.126929048467229,9.526933707750494,0.85,0.15
working_memory,4,2,cross_task,Cross-task,1.0,0.5,0.20663547558865408,0.1881998674379681,-0.018435608150685984,10.688593161211806,10.838700550535258,8.793691959658279,8.922543548463507,0.17663771498353864,0.16525573029830173,-0.011381984685236907,10.752006931957798,10.865657931718376,8.890093895109151,9.000828458549702,0.85,0.15
working_memory,4,3,cross_task,Cross-task,0.1,5.0,0.24659450604486588,0.1692570021243367,-0.07733750392052918,12.066779989519349,12.636110262263392,9.852201684851584,10.297146454715923,0.27085053729523456,0.20306676941348337,-0.0677837678817512,11.812601994429544,12.190059436194362,9.640947904877113,9.914176221979323,0.7,0.3
working_memory,4,4,cross_task,Cross-task,0.1,5.0,0.4253855077153869,0.38337364348971553,-0.04201186422567138,10.68491805600883,10.904697667034483,8.826361095435866,9.055265680831162,0.4384228163089456,0.3953833039552971,-0.0430395123536485,10.595564186870265,10.781703678645643,8.74299767294051,8.946586815134497,0.9,0.1
