task,seed,model,mean_fp_pearson,mean_fused_pearson,mean_fused_rmse,mean_fused_mae
working_memory,101,baseline,0.34151338869496684,0.33682804461746946,10.847176753176806,8.994508606634835
working_memory,101,adaptive,0.34151338869496684,0.33682804461746946,10.847176753176806,8.994508606634835
working_memory,101,shadow,0.34151338869496684,,,
working_memory,202,baseline,0.29582494881245963,0.28286633567594344,11.170121758645067,9.103631450896431
working_memory,202,adaptive,0.24914156184782263,0.2450990343902284,11.674941428279666,9.455698438784932
working_memory,202,shadow,0.25691242890297405,,,
working_memory,303,baseline,0.3306905491470096,0.30304908669353237,10.954792908779053,8.962482705321786
working_memory,303,adaptive,0.33031947094345987,0.3028359414867938,10.962158991868192,8.959915960461872
working_memory,303,shadow,0.3306905491470096,,,
working_memory,404,baseline,0.2923662539556416,0.29888062545271105,10.997596811766204,8.946130568858372
working_memory,404,adaptive,0.2756902110857948,0.2865357867760331,11.079489809651331,9.009546386976085
working_memory,404,shadow,0.2756902110857948,,,
fluid_intelligence,101,baseline,0.17278611063698252,0.3220589089583249,4.629109022580585,3.938091047090275
fluid_intelligence,101,adaptive,0.17772003214415832,0.3245377084351163,4.63128480756674,3.9453123377060066
fluid_intelligence,101,shadow,0.17955422653052996,,,
fluid_intelligence,202,baseline,0.2366020910607271,0.37277464843265884,4.550251634416179,3.824611104123336
fluid_intelligence,202,adaptive,0.2292704060655022,0.36735765926364894,4.566122330508843,3.8387979265708396
fluid_intelligence,202,shadow,0.23250652289261375,,,
fluid_intelligence,303,baseline,0.2910910511289586,0.3911908959255388,4.541536277292212,3.826100525964011
fluid_intelligence,303,adaptive,0.2777226598351434,0.38590310182192333,4.57806316653932,3.8726657044723583
fluid_intelligence,303,shadow,0.28183365090640067,,,
fluid_intelligence,404,baseline,0.24710556330339334,0.41849242777473633,4.44886610282421,3.729982750720938
fluid_intelligence,404,adaptive,0.24475224213419416,0.41748393616931134,4.4647908699973895,3.748526081734551
fluid_intelligence,404,shadow,0.24568382353050794,,,
