task,seed,outer_fold,n_train,n_test,shared_alpha_SC,shared_sc_pearson,shared_sc_rmse,shared_sc_mae,baseline_lambda_F,baseline_fp_pearson,baseline_fp_rmse,baseline_fp_mae,baseline_w_FP,baseline_w_SC,baseline_fused_pearson,baseline_fused_rmse,baseline_fused_mae,adaptive_rho,adaptive_tau,adaptive_lambda_F,adaptive_fp_pearson,adaptive_fp_rmse,adaptive_fp_mae,adaptive_w_FP,adaptive_w_SC,adaptive_fused_pearson,adaptive_fused_rmse,adaptive_fused_mae,shadow_lambda_F,shadow_fp_pearson,shadow_fp_rmse,shadow_fp_mae,prediction_delta_fp,prediction_delta_fused,semantic_delta_fp,semantic_delta_fused_fixed_weight,adaptive_uses_semantic
working_memory,101,0,329,83,3000.0,0.21835378377665723,11.09763026129991,9.21070896915178,0.1,0.3967713206712391,10.442668416686601,8.731421053788452,0.45,0.55,0.37482903319545013,10.377797690624721,8.669702584343385,0.0,0.0,0.1,0.3967713206712391,10.442668416686601,8.731421053788452,0.45,0.55,0.37482903319545013,10.377797690624721,8.669702584343385,0.1,0.3967713206712391,10.442668416686601,8.731421053788452,0.0,0.0,0.0,0.0,False
working_memory,101,1,329,83,3000.0,0.19917695086966125,12.169430260198455,9.739444420159426,0.1,0.2615174204276685,12.212652005338894,10.042877233478153,0.55,0.45,0.3042737695794253,11.750379982858751,9.672664720224962,0.0,0.0,0.1,0.2615174204276685,12.212652005338894,10.042877233478153,0.55,0.45,0.3042737695794253,11.750379982858751,9.672664720224962,0.1,0.2615174204276685,12.212652005338894,10.042877233478153,0.0,0.0,0.0,0.0,False
working_memory,101,2,330,82,3000.0,0.05774907875427785,12.331661623022763,10.459063086708742,0.1,0.3178297519311929,11.498220721011371,9.35222697123526,0.5,0.5,0.27155359023403397,11.515575485314923,9.586927932832872,0.0,0.0,0.1,0.3178297519311929,11.498220721011371,9.35222697123526,0.5,0.5,0.27155359023403397,11.515575485314923,9.586927932832872,0.1,0.3178297519311929,11.498220721011371,9.35222697123526,0.0,0.0,0.0,0.0,False
working_memory,101,3,330,82,3000.0,0.10417196750823501,11.323587068684912,8.985197381580416,0.1,0.3252863458839481,10.604004030738935,8.954506953168416,0.75,0.25,0.3208372856316254,10.516198695103714,8.813977249427584,0.0,0.0,0.1,0.3252863458839481,10.604004030738935,8.954506953168416,0.75,0.25,0.3208372856316254,10.516198695103714,8.813977249427584,0.1,0.3252863458839481,10.604004030738935,8.954506953168416,0.0,0.0,0.0,0.0,False
working_memory,101,4,330,82,3000.0,0.28355958035054496,10.403965395203247,8.12009108967107,0.1,0.4061621045607856,10.169355134678746,8.312806838786038,0.95,0.05,0.4126465444468123,10.075931911981925,8.229270546345367,0.0,0.0,0.1,0.4061621045607856,10.169355134678746,8.312806838786038,0.95,0.05,0.4126465444468123,10.075931911981925,8.229270546345367,0.1,0.4061621045607856,10.169355134678746,8.312806838786038,0.0,0.0,0.0,0.0,False
working_memory,202,0,329,83,3000.0,0.23134228190329253,11.770315174859066,9.79048706767448,0.1,0.3051213075608849,11.555579354054204,9.608198720896109,0.65,0.35,0.3331891862807473,11.271698287364202,9.270665414256428,0.25,0.5,0.001,0.192263514678559,13.562593323649224,11.21348002399853,0.55,0.45,0.24178576336526322,11.909667192856187,9.691050793353831,0.001,0.23206844815405941,13.14766465718972,11.157036648341377,-0.11285779288232589,-0.09140342291548406,-0.039804933475500404,-0.03361410360361858,True
working_memory,202,1,329,83,0.001,0.35431910244876536,10.94464910309507,8.761064817395008,0.1,0.3145714875266149,11.578880340034297,9.943599123025313,1.0,0.0,0.3145714875266149,11.578880340034297,9.943599123025313,0.0,0.003,0.001,0.2876396204892761,13.175677830435955,10.984174243497302,1.0,0.0,0.2876396204892761,13.175677830435955,10.984174243497302,0.001,0.28668902228953286,13.213891186874418,11.019651582901828,-0.026931867037338797,-0.026931867037338797,0.0009505981997432467,0.0009505981997432467,True
working_memory,202,2,330,82,3000.0,0.14916972946762505,10.554112951045399,8.566079838018197,0.1,0.23223407000172724,10.5710242043201,8.573924338088915,0.5,0.5,0.24105872096516912,10.241797025538373,8.352268727618963,0.0,0.0,0.1,0.23223407000172724,10.5710242043201,8.573924338088915,0.5,0.5,0.24105872096516912,10.241797025538373,8.352268727618963,0.1,0.23223407000172724,10.5710242043201,8.573924338088915,0.0,0.0,0.0,0.0,False
working_memory,202,3,330,82,3000.0,0.13325697201683656,11.374718220281526,9.08572899860594,0.1,0.3090874021611119,10.943229313087638,8.538848507340981,0.7,0.3,0.31311660086195237,10.65705973682381,8.220562744141851,0.0,0.0,0.01,0.2998329040008423,11.835684637333863,9.412950227698374,0.6,0.4,0.3065651531783111,10.854970139090145,8.437052885383025,0.01,0.2998329040008423,11.835684637333863,9.412950227698374,-0.00925449816026963,-0.006551447683641243,0.0,0.0,False
working_memory,202,4,330,82,3000.0,0.018537153755169813,13.282689967438637,10.57972924465845,0.1,0.31811047681195925,11.81917913734886,9.48000849202418,0.45,0.55,0.21239568274523363,12.101173403464646,9.731061245439596,0.0,0.0,1.0,0.2337377000687087,11.922380861307532,9.628378105130178,0.6,0.4,0.1484459139531225,12.192594953477666,9.813945544071538,1.0,0.2337377000687087,11.922380861307532,9.628378105130178,-0.08437277674325055,-0.06394976879211112,0.0,0.0,False
working_memory,303,0,329,83,3000.0,0.1208440998678767,11.024548960379628,9.169971170226688,0.1,0.3138806879682764,10.433677825239588,8.663258472585557,0.85,0.15,0.3228259402728979,10.29007992810236,8.63825620297316,0.25,0.0,0.1,0.3163425988950005,10.438238422574525,8.632233761704718,0.85,0.15,0.32542277170727374,10.287363698152822,8.598560120355117,0.1,0.3138806879682764,10.433677825239588,8.663258472585557,0.002461910926724098,0.0025968314343758347,0.002461910926724098,0.0025968314343758347,True
working_memory,303,1,329,83,3000.0,0.0936329684407099,12.745246933409879,10.525681437395386,0.1,0.28132084152366105,12.350665783994815,9.987034024744474,0.45,0.55,0.23534605728450111,12.207606382880329,9.96758652439517,0.0,0.0,0.1,0.28132084152366105,12.350665783994815,9.987034024744474,0.45,0.55,0.23534605728450111,12.207606382880329,9.96758652439517,0.1,0.28132084152366105,12.350665783994815,9.987034024744474,0.0,0.0,0.0,0.0,False
working_memory,303,2,330,82,3000.0,0.10382674448282972,11.058111411020816,8.873125742896503,0.1,0.36616125730951166,10.143157949660793,8.232462016110928,0.4,0.6,0.2946933095488633,10.222878701710776,8.283606244348185,0.0,0.0,0.1,0.36616125730951166,10.143157949660793,8.232462016110928,0.4,0.6,0.2946933095488633,10.222878701710776,8.283606244348185,0.1,0.36616125730951166,10.143157949660793,8.232462016110928,0.0,0.0,0.0,0.0,False
working_memory,303,3,330,82,3000.0,0.14620357050154256,12.422357951147237,9.84323760950298,0.1,0.4765604646487211,11.025224397468262,9.055556463465685,0.45,0.55,0.417781033522937,11.389807643377075,9.08083186531814,0.0,0.1,0.1,0.470500626010786,11.06271892613917,9.059856806252903,0.45,0.55,0.4131709635269478,11.412582204832367,9.102480594431292,0.1,0.4765604646487211,11.025224397468262,9.055556463465685,-0.006059838637935078,-0.0046100699959891744,-0.006059838637935078,-0.0046100699959891744,True
working_memory,303,4,330,82,3000.0,0.21717476783839934,10.659093198871386,8.413503639440156,0.1,0.21552949428487778,11.098072181164481,9.217357744445764,0.8,0.2,0.2445990928384624,10.663591887824731,8.842132689574282,0.25,0.0,0.1,0.21727203097834005,11.125066563244838,9.200921347920055,0.8,0.2,0.24554660536638329,10.680363971764661,8.847346318779593,0.1,0.21552949428487778,11.098072181164481,9.217357744445764,0.0017425366934622766,0.0009475125279208851,0.0017425366934622766,0.0009475125279208851,True
working_memory,404,0,329,83,3000.0,0.06560185924186487,12.46554757097075,10.01289364023216,0.1,0.27091731461101265,11.664135634404374,9.60274227759073,0.6,0.4,0.24525236129596822,11.48957320509528,9.602110358199681,0.0,0.0,0.1,0.27091731461101265,11.664135634404374,9.60274227759073,0.6,0.4,0.24525236129596822,11.48957320509528,9.602110358199681,0.1,0.27091731461101265,11.664135634404374,9.60274227759073,0.0,0.0,0.0,0.0,False
working_memory,404,1,329,83,3000.0,0.17576437930162647,11.24957331039489,8.892703846265071,0.1,0.16877500674367668,11.891144019879967,9.543149769591864,0.55,0.45,0.20565428423060644,11.174087499514545,8.860414399401941,0.0,0.0,0.1,0.16877500674367668,11.891144019879967,9.543149769591864,0.55,0.45,0.20565428423060644,11.174087499514545,8.860414399401941,0.1,0.16877500674367668,11.891144019879967,9.543149769591864,0.0,0.0,0.0,0.0,False
working_memory,404,2,330,82,3000.0,0.18271288684708334,11.734101139905833,9.451580883910994,0.1,0.2871821095408863,11.323232272636403,9.030894892704493,0.55,0.45,0.313390580885464,11.140280396925471,8.909393840753696,0.0,0.0,0.1,0.2871821095408863,11.323232272636403,9.030894892704493,0.55,0.45,0.313390580885464,11.140280396925471,8.909393840753696,0.1,0.2871821095408863,11.323232272636403,9.030894892704493,0.0,0.0,0.0,0.0,False
working_memory,404,3,330,82,3000.0,0.1594716366238043,10.802189236115426,8.653017574592688,0.1,0.3540429333825693,10.528157101945526,8.298586814239606,0.7,0.3,0.3621183539372189,10.117968656360857,7.867210903662291,0.0,0.0,0.1,0.3540429333825693,10.528157101945526,8.298586814239606,0.7,0.3,0.3621183539372189,10.117968656360857,7.867210903662291,0.1,0.3540429333825693,10.528157101945526,8.298586814239606,0.0,0.0,0.0,0.0,False
working_memory,404,4,330,82,3000.0,0.20456708840515844,11.783824475711148,9.838377957116984,0.1,0.3809139055000631,10.97784299157684,9.421192761956576,0.6,0.4,0.36798754691429747,11.066074300934865,9.491523342274258,0.0,0.0,1.0,0.29753369115082906,11.514344115846876,9.84853038769413,0.75,0.25,0.30626335353090783,11.475539290360503,9.80860243286282,1.0,0.29753369115082906,11.514344115846876,9.84853038769413,-0.08338021434923404,-0.061724193383389636,0.0,0.0,False
fluid_intelligence,101,0,329,83,3000.0,0.33784676562052923,4.449610073674069,3.735528695409894,0.1,0.30830016863441867,4.638465941767569,3.9011689476929168,0.3,0.7,0.4080371543507232,4.300286460687374,3.6168630683724046,0.5,0.0,1.0,0.33296977617029755,4.4506127386468215,3.6993546470779206,0.45,0.55,0.4204311517346804,4.311165385618152,3.6529695214510616,1.0,0.3421407481021558,4.444695100950171,3.6867614639380553,0.02466960753587888,0.01239399738395719,-0.00917097193185823,-0.0046662574666403445,True
fluid_intelligence,101,1,329,83,3000.0,0.43245469443209156,4.307279185742216,3.7312270924452795,0.1,0.1832660822893269,5.090340898507106,4.307015732234745,0.45,0.55,0.36631148119177825,4.459851916538379,3.9206257791248844,0.0,0.0,0.1,0.1832660822893269,5.090340898507106,4.307015732234745,0.45,0.55,0.36631148119177825,4.459851916538379,3.9206257791248844,0.1,0.1832660822893269,5.090340898507106,4.307015732234745,0.0,0.0,0.0,0.0,False
fluid_intelligence,101,2,330,82,3000.0,0.33506208973505225,4.929834169205717,4.1792365864554295,0.1,0.19537801008158448,5.374031327947972,4.5336982233070735,0.2,0.8,0.3671883409441512,4.867731894059726,4.164359468332647,0.0,0.0,0.1,0.19537801008158448,5.374031327947972,4.5336982233070735,0.2,0.8,0.3671883409441512,4.867731894059726,4.164359468332647,0.1,0.19537801008158448,5.374031327947972,4.5336982233070735,0.0,0.0,0.0,0.0,False
fluid_intelligence,101,3,330,82,3000.0,0.3216971063783236,4.380589199287102,3.688680812433163,0.1,0.15115213469277902,5.021799428715095,3.876391115270441,0.25,0.75,0.31665070206848767,4.378001321114025,3.6263248622212365,0.0,0.0,0.1,0.15115213469277902,5.021799428715095,3.876391115270441,0.25,0.75,0.31665070206848767,4.378001321114025,3.6263248622212365,0.1,0.15115213469277902,5.021799428715095,3.876391115270441,0.0,0.0,0.0,0.0,False
