task,model,pearson_mean,pearson_std,rmse_mean,mae_mean,eta_mean,n_seeds
WM,A0,0.2600700232077379,0.04846231992811054,11.247048804257044,9.196191865070924,,4
WM,A1,0.2561500711198807,0.047946430984414576,11.250421729479687,9.19307726854021,0.017499999999999998,4
WM,A2,0.25211567714205546,0.0579883106268046,11.248693724434023,9.18762207867493,0.045,4
WM,A3,0.25338118421771333,0.05666510174332043,11.248215926556641,9.190293909961195,0.037500000000000006,4
WM,A4,0.25338118421771333,0.05666510174332043,11.248215926556641,9.190293909961195,0.037500000000000006,4
WM,A5,0.25879284332629954,0.050533172288722096,11.234782452183207,9.180202676614382,0.042499999999999996,4
WM,A6,0.25741592824572196,0.05340807164219857,11.2481356134013,9.190838371942847,0.015,4
FI,A0,0.3668805522853975,0.011697637981815204,4.5837081878889485,3.8352051539704552,,4
FI,A1,0.3627503413133557,0.009640054114445854,4.591824965427838,3.846411415855809,0.0425,4
FI,A2,0.3650721251330469,0.009192444070754691,4.586381608925679,3.838093188299143,0.0475,4
FI,A3,0.3651062353683193,0.009117809983273734,4.5870498240139135,3.8380204300673024,0.052500000000000005,4
FI,A4,0.3651062353683193,0.009117809983273734,4.5870498240139135,3.8380204300673024,0.052500000000000005,4
FI,A5,0.3643027879108248,0.012966349414928486,4.592867786425579,3.8455586532586006,0.07250000000000001,4
FI,A6,0.36094370599075193,0.011830965952039446,4.599983600821815,3.8510037858520914,0.07,4
