task,seed,fold,model,pearson,rmse,mae,eta,expert_pearson,expert_rmse,expert_mae,selected_top_k,selected_alpha,selected_ratio,prior_type
WM,3131,0,A0,0.24307328656188842,12.32401086524008,10.108348690300938,,,,,,,,matched
WM,3131,0,A1,0.24307328656188842,12.32401086524008,10.108348690300938,0.0,-0.05229861593072432,13.43617258632366,11.027949554910641,,,,matched
WM,3131,0,A2,0.24307328656188842,12.32401086524008,10.108348690300938,0.0,-0.05496393744914065,12.55659077575639,10.250279514479775,5.0,,,matched
WM,3131,0,A3,0.24307328656188842,12.32401086524008,10.108348690300938,0.0,-0.05496393744914065,12.55659077575639,10.250279514479775,5.0,0.001,0.0,A3
WM,3131,0,A4,0.24307328656188842,12.32401086524008,10.108348690300938,0.0,-0.05496393744914065,12.55659077575639,10.250279514479775,5.0,0.001,0.0,A4
WM,3131,0,A5,0.24307328656188842,12.32401086524008,10.108348690300938,0.0,0.013655062804162649,12.650227910833655,10.193949178518206,10.0,0.001,0.0,A5
WM,3131,0,A6,0.24307328656188842,12.32401086524008,10.108348690300938,0.0,-0.07736559828600112,12.626362973020738,10.400833574370118,5.0,0.001,0.0,A6
WM,3131,1,A0,0.3483351709375737,11.044006436983633,8.855458683406937,,,,,,,,matched
WM,3131,1,A1,0.3483351709375737,11.044006436983633,8.855458683406937,0.0,0.01602828756568496,12.482487429852869,9.835621416816501,,,,matched
WM,3131,1,A2,0.3483351709375737,11.044006436983633,8.855458683406937,0.0,0.027447441278088416,11.80375343386497,9.291672374892954,10.0,,,matched
WM,3131,1,A3,0.3483351709375737,11.044006436983633,8.855458683406937,0.0,0.027447441278088416,11.80375343386497,9.291672374892954,10.0,0.001,0.0,A3
WM,3131,1,A4,0.3483351709375737,11.044006436983633,8.855458683406937,0.0,0.027447441278088416,11.80375343386497,9.291672374892954,10.0,0.001,0.0,A4
WM,3131,1,A5,0.3483351709375737,11.044006436983633,8.855458683406937,0.0,-0.027717010191592575,12.38115133517882,9.889419344603056,25.0,0.001,0.0,A5
WM,3131,1,A6,0.3483351709375737,11.044006436983633,8.855458683406937,0.0,-0.07451227660610836,11.695932057916767,9.4207593747003,5.0,1000.0,1.0,A6
WM,3131,2,A0,0.28871235784717636,11.4741966243128,9.281273432410122,,,,,,,,matched
WM,3131,2,A1,0.28871235784717636,11.4741966243128,9.281273432410122,0.0,-0.24603832638476453,14.38732232966285,10.576177189094352,,,,matched
