seed,fold,model,lambda_amp,lambda_prior,alpha_WM,alpha_FI,eligible,selected,fisher,WM_pearson,WM_rmse,WM_mae,FI_pearson,FI_rmse,FI_mae
3939,0,C0,0.1,0.0,0.0,0.0,True,False,-0.037318946871407854,-0.026724889498465857,12.176900098095054,9.742393199363919,-0.04787002333448597,5.1938845762719446,4.309579765697063
3939,0,C0,0.1,0.0,0.0,0.25,True,False,-0.03267415936695148,-0.026724889498465857,12.176900098095054,9.742393199363919,-0.03859787921574529,5.20681055751959,4.310139860133894
3939,0,C0,0.1,0.0,0.0,0.5,True,False,-0.02810796147239254,-0.026724889498465857,12.176900098095054,9.742393199363919,-0.029476127084655104,5.2345641767382025,4.320324765314642
3939,0,C0,0.1,0.0,0.0,0.75,True,False,-0.023830484802732713,-0.026724889498465857,12.176900098095054,9.742393199363919,-0.02092665932556789,5.276911483729464,4.34680390593414
3939,0,C0,0.1,0.0,0.0,1.0,True,True,-0.01995854793638853,-0.026724889498465857,12.176900098095054,9.742393199363919,-0.013185077026907034,5.333504874102249,4.3839264984959465
3939,0,C0,0.1,0.0,0.25,0.0,False,False,-0.039139994355612814,-0.030364012907461598,12.23575022701888,9.774496669482927,-0.04787002333448597,5.1938845762719446,4.309579765697063
3939,0,C0,0.1,0.0,0.25,0.25,False,False,-0.03449520685115644,-0.030364012907461598,12.23575022701888,9.774496669482927,-0.03859787921574529,5.20681055751959,4.310139860133894
3939,0,C0,0.1,0.0,0.25,0.5,False,False,-0.0299290089565975,-0.030364012907461598,12.23575022701888,9.774496669482927,-0.029476127084655104,5.2345641767382025,4.320324765314642
3939,0,C0,0.1,0.0,0.25,0.75,False,False,-0.025651532286937673,-0.030364012907461598,12.23575022701888,9.774496669482927,-0.02092665932556789,5.276911483729464,4.34680390593414
3939,0,C0,0.1,0.0,0.25,1.0,False,False,-0.02177959542059349,-0.030364012907461598,12.23575022701888,9.774496669482927,-0.013185077026907034,5.333504874102249,4.3839264984959465
3939,0,C0,0.1,0.0,0.5,0.0,False,False,-0.04084231524598042,-0.03376515095308477,12.300682964457176,9.8155449512014,-0.04787002333448597,5.1938845762719446,4.309579765697063
3939,0,C0,0.1,0.0,0.5,0.25,False,False,-0.036197527741524044,-0.03376515095308477,12.300682964457176,9.8155449512014,-0.03859787921574529,5.20681055751959,4.310139860133894
3939,0,C0,0.1,0.0,0.5,0.5,False,False,-0.03163132984696511,-0.03376515095308477,12.300682964457176,9.8155449512014,-0.029476127084655104,5.2345641767382025,4.320324765314642
3939,0,C0,0.1,0.0,0.5,0.75,False,False,-0.02735385317730528,-0.03376515095308477,12.300682964457176,9.8155449512014,-0.02092665932556789,5.276911483729464,4.34680390593414
3939,0,C0,0.1,0.0,0.5,1.0,False,False,-0.0234819163109611,-0.03376515095308477,12.300682964457176,9.8155449512014,-0.013185077026907034,5.333504874102249,4.3839264984959465
3939,0,C0,0.1,0.0,0.75,0.0,False,False,-0.04242365334799724,-0.03692387358994168,12.371602536505554,9.862300285662647,-0.04787002333448597,5.1938845762719446,4.309579765697063
3939,0,C0,0.1,0.0,0.75,0.25,False,False,-0.037778865843540864,-0.03692387358994168,12.371602536505554,9.862300285662647,-0.03859787921574529,5.20681055751959,4.310139860133894
3939,0,C0,0.1,0.0,0.75,0.5,False,False,-0.03321266794898193,-0.03692387358994168,12.371602536505554,9.862300285662647,-0.029476127084655104,5.2345641767382025,4.320324765314642
3939,0,C0,0.1,0.0,0.75,0.75,False,False,-0.0289351912793221,-0.03692387358994168,12.371602536505554,9.862300285662647,-0.02092665932556789,5.276911483729464,4.34680390593414
3939,0,C0,0.1,0.0,0.75,1.0,False,False,-0.02506325441297792,-0.03692387358994168,12.371602536505554,9.862300285662647,-0.013185077026907034,5.333504874102249,4.3839264984959465
3939,0,C0,0.1,0.0,1.0,0.0,False,False,-0.0438848316507266,-0.039841922756774506,12.448406621152103,9.92348770076773,-0.04787002333448597,5.1938845762719446,4.309579765697063
3939,0,C0,0.1,0.0,1.0,0.25,False,False,-0.03924004414627022,-0.039841922756774506,12.448406621152103,9.92348770076773,-0.03859787921574529,5.20681055751959,4.310139860133894
3939,0,C0,0.1,0.0,1.0,0.5,False,False,-0.034673846251711285,-0.039841922756774506,12.448406621152103,9.92348770076773,-0.029476127084655104,5.2345641767382025,4.320324765314642
3939,0,C0,0.1,0.0,1.0,0.75,False,False,-0.030396369582051455,-0.039841922756774506,12.448406621152103,9.92348770076773,-0.02092665932556789,5.276911483729464,4.34680390593414
3939,0,C0,0.1,0.0,1.0,1.0,False,False,-0.026524432715707275,-0.039841922756774506,12.448406621152103,9.92348770076773,-0.013185077026907034,5.333504874102249,4.3839264984959465
3939,0,C0,1.0,0.0,0.0,0.0,True,False,-0.037318946871407854,-0.026724889498465857,12.176900098095054,9.742393199363919,-0.04787002333448597,5.1938845762719446,4.309579765697063
