seed,model,r_WM,r_FI,rmse_WM,rmse_FI,mae_WM,mae_FI
3939,A0,0.22710763914936175,0.34838574552720136,11.2927968879358,4.602749856278194,9.253927621211956,3.86514880625612
3939,B0,0.1762763402403026,0.300280026806685,13.653652412657681,5.125558415240235,10.847802425961461,4.148880836951018
3939,B1,0.17758644004322893,0.26754375662760177,13.98160363386187,5.860345086348156,11.14426889656966,4.772493674702174
3939,C0,0.16663194112992202,0.20983880548009132,16.193369170552884,6.441646214709803,13.114672527868887,5.233319295259703
3939,C1,0.17854443824761587,0.29830821472575403,15.932957805180076,5.843030776234722,12.81905122912001,4.772866854461041
3939,C2,0.11080292036555077,0.3049638811018794,16.42345291736701,5.502777941504965,13.022880019588627,4.4071433674521785
3939,C3,0.15115057669179002,0.26677524128835145,14.856211129506985,5.425116896506565,11.915860116603337,4.393106430828509
3939,C4,0.19923933255507384,0.2741102531873195,13.091480528211989,5.815536158342895,10.721460547537495,4.662289424355486
4040,A0,0.27926548369222626,0.4231220854702354,11.166958762421825,4.432107083716337,8.906529361757634,3.6959599009497905
4040,B0,0.17681031227813984,0.3132978120425999,15.75616457088891,6.117713301754021,12.565622123468625,4.914377572775175
4040,B1,0.15905303049167144,0.3472965364931087,15.58594781108295,5.698047296417377,12.357290326881646,4.537309718154717
4040,C0,0.19245369961057296,0.3599080800000015,14.100772265887608,4.988872994949402,11.215849975035727,4.028495546155961
4040,C1,0.15790661860129146,0.2964978296966117,16.537873120938134,5.988017868437314,12.869117326776395,4.818750606000132
4040,C2,0.19906083675820996,0.3520672908681125,14.850788629431218,5.603464376526497,11.679906113072947,4.466555842467128
4040,C3,0.17422740248489976,0.305170352092219,14.092240584416171,5.3801659611490695,11.203922572490233,4.278520730386202
4040,C4,0.18376922239981203,0.30242520748215507,15.18870216173634,6.004017359381997,12.02528611088483,4.734742736771731
4141,A0,0.26391191055505114,0.40071621321617135,11.187484536050912,4.504842480952983,9.060204009290954,3.7621152449546096
4141,B0,0.19938474520770263,0.3227565499233679,15.5482781901113,5.854166321158589,12.53774250688772,4.6137482063527795
4141,B1,0.10892170954169808,0.3501125825060049,17.617751780831746,5.950301088652961,13.939765753290967,4.716875754983855
4141,C0,0.17995248049951346,0.31722939928333693,13.757070882062006,6.073427274239467,10.969883965444492,4.951413697375533
4141,C1,0.240167459511932,0.3211513364992017,12.572294724238464,5.831035400954063,10.106748474803304,4.688207900839727
4141,C2,0.24909691221380928,0.2929983300098663,12.924719535528538,5.95198073570058,10.349639936161715,4.761698073798842
4141,C3,0.24262291467357167,0.321889204466299,12.205428819847068,6.056653023316518,9.90028135413244,4.885175842831859
4141,C4,0.22280395148519344,0.2671100853285075,12.745636745361235,5.974479891775767,10.291336789195862,4.773413576764555
4242,A0,0.26259928714104014,0.40429056093814353,11.576351972658054,4.483825966596074,9.549124576781079,3.747632033161208
4242,B0,0.1491554743389209,0.29639712840229093,15.55376711003098,5.587745592968705,12.712087659437847,4.447243320619249
4242,B1,0.19818034722633193,0.3222083573440777,16.44688484459468,5.163398972250994,12.712728069630455,4.210731000104723
4242,C0,0.2172872429450738,0.24214309826660788,13.039624892267579,6.242421113301444,10.727740791045388,5.113825332613516
4242,C1,0.22106943664197293,0.2728632822353233,14.60639828378886,6.046282006590769,11.89299297436987,4.887251328860411
4242,C2,0.14264133594992812,0.3313099771705899,16.777151819559304,5.759000028020587,13.871088255568528,4.679400118914723
4242,C3,0.1855663545892739,0.26578507503963034,15.45547499030631,6.232975874217247,12.483727720496105,5.069058962650439
4242,C4,0.21198227725674315,0.3218019171893551,13.672859540486035,5.471525513186373,11.37497799373039,4.391905658600825
