model,WM_r_mean,WM_r_std,WM_rmse_mean,WM_mae_mean,FI_r_mean,FI_r_std,FI_rmse_mean,FI_mae_mean
A0,0.2582210801344198,0.10616784072064094,11.305898039766648,9.192446392260404,0.3941286512879379,0.06584205467035002,4.505881346885897,3.767713996330432
B0,0.17540671801626648,0.1301054407362516,15.12796557092222,12.165813678938912,0.30818287929373595,0.10629463546380401,5.671295907780386,4.531062484174556
B1,0.16093538182573258,0.10181423221175248,15.908047017592812,12.538513261593183,0.3217903082426982,0.07490645318902747,5.668023110917371,4.559352536986366
C0,0.1890813410462706,0.10624361691915125,14.272709302692524,11.507036814848622,0.2822798457575094,0.1310905251456479,5.936591899300028,4.831763467851179
C1,0.19942198825070304,0.11189082636193473,14.912380983536384,11.921977501267394,0.2972051657892227,0.12796219440449194,5.927091513054218,4.791769172540327
C2,0.1754005013218745,0.08989836988152475,15.244028225471515,12.230878581097954,0.320334869787612,0.09071486238535588,5.704305770438157,4.578699350658217
C3,0.18839181210988382,0.13079564510689537,14.152338881019137,11.375947940930526,0.289904968221625,0.11476080734663952,5.773727938797349,4.656465491674252
C4,0.20444869592420561,0.10877685572695014,13.674669743948902,11.103265360337144,0.2913618657968343,0.09293102442664372,5.816389730671758,4.640587849123149
