seed,fold,model,r_WM,rmse_WM,mae_WM,r_FI,rmse_FI,mae_FI,alpha_WM,alpha_FI
3939,0,A0,0.24798047753397334,12.42924690324523,10.010067297265177,0.31437892743157075,5.070345241622154,4.181057776062134,0.0,0.0
3939,0,B0,0.2509441287874536,13.62184190464666,10.638521849846821,0.40778643357446037,4.9929406235023395,3.9364282227229284,1.0,1.0
3939,0,B1,0.19631755143919677,15.832694338138484,11.864936995123019,0.23041746044959002,5.999308781222622,4.672706016383272,1.0,1.0
3939,0,C0,0.24798047753397334,12.42924690324523,10.010067297265177,0.31876028299100373,6.208705976680964,4.951609097896991,0.0,1.0
3939,0,C1,0.05226036416641211,19.24374350399469,15.950766260430262,0.17022320975898494,7.316928459107153,5.8142649099993635,1.0,1.0
3939,0,C2,0.05086820186195512,19.640039508754512,16.197040386510224,0.2217724262559811,7.128188255192667,5.663794625431001,1.0,1.0
3939,0,C3,0.24798047753397334,12.42924690324523,10.010067297265177,0.398321782868587,5.269095758313326,4.238628682622239,0.0,1.0
3939,0,C4,0.24798047753397334,12.42924690324523,10.010067297265177,0.10465451342006125,7.2436374426890975,5.851013134616475,0.0,1.0
3939,1,A0,0.2685679238346416,9.431732410111904,7.833233242292706,0.23948943597625416,4.378337607519662,3.597935407569485,0.0,0.0
3939,1,B0,0.23708063487503298,12.366240946964329,9.936771692368954,0.23948943597625416,4.378337607519662,3.597935407569485,1.0,0.0
3939,1,B1,0.17482772609323524,13.733460099891657,11.40589684150892,0.24127245294930524,4.447538142929658,3.6520775777512196,1.0,1.0
3939,1,C0,0.2881843813207563,15.421246971690417,12.482229956940492,0.02463558149244284,7.606324305182996,5.859864865224916,1.0,1.0
3939,1,C1,0.19102437505969813,15.44128649134278,12.377795241440714,0.1971210898043579,6.900676199426485,5.512445073604789,1.0,1.0
3939,1,C2,0.10578250067001464,13.331293843960767,10.654279186157162,0.23948943597625416,4.378337607519662,3.597935407569485,1.0,0.0
3939,1,C3,0.1959228626093598,12.518091405783416,10.002556416397214,0.23948943597625416,4.378337607519662,3.597935407569485,1.0,0.0
3939,1,C4,0.23092395259964335,12.438943562090286,10.309754031170938,0.23948943597625416,4.378337607519662,3.597935407569485,1.0,0.0
3939,2,A0,0.28795740832640254,11.437859136432463,9.536179221401811,0.4315551656140729,4.240393599689648,3.656214354520944,0.0,0.0
3939,2,B0,0.24031333231628188,13.11923168168507,10.80920583989746,0.4638053471911317,4.302111599782936,3.6509004742976656,1.0,0.25
3939,2,B1,0.23540100571967007,12.27059160342337,10.070566482570065,0.37711886843595965,5.9372709568860484,5.046943101370424,1.0,1.0
3939,2,C0,0.10892444492231904,17.74043889368738,14.729394249955218,0.4315551656140729,4.240393599689648,3.656214354520944,1.0,0.0
3939,2,C1,0.36919865458239165,12.332796303663665,9.790690017561785,0.4315551656140729,4.240393599689648,3.656214354520944,1.0,0.0
3939,2,C2,0.1749572815401936,15.615099443358908,12.662580549106249,0.4315551656140729,4.240393599689648,3.656214354520944,1.0,0.0
3939,2,C3,0.1767366257119483,15.348891906135568,12.371542991771955,0.4127899059610311,4.39275807486163,3.716796300835979,1.0,0.25
3939,2,C4,0.28795740832640254,11.437859136432463,9.536179221401811,0.4060190974473256,4.515897182610015,3.8511473968684027,0.0,0.25
3939,3,A0,-0.04351300683466946,12.798064855111983,10.426735627864511,0.3070300290972853,4.909596817856958,4.148701067222646,0.0,0.0
3939,3,B0,-0.10923596415422722,14.975342496251672,11.911776958366797,0.225411648348516,5.502742140188845,4.287888256050879,1.0,1.0
3939,3,B1,-0.07463577429382677,17.27717668282936,13.798954858453682,0.2857682613942101,5.901136139954089,4.920336851353901,1.0,1.0
3939,3,C0,0.05948316843832075,17.578891668921667,13.986255447032486,0.12176627375587254,6.7703523699999675,5.722671312736028,1.0,1.0
3939,3,C1,-0.015967330599461135,19.312725369080578,15.65634862890478,0.24316643893453088,6.342079608247771,5.139574508274721,1.0,1.0
3939,3,C2,0.06311300509253959,17.723773540231583,13.729652121082678,0.33056574087020413,5.866528936285801,4.368855202321097,1.0,1.0
3939,3,C3,-0.17979944325048317,20.907632075299794,16.431262025665223,-0.04724010268500451,7.905780418144557,6.0636494694221,1.0,1.0
