seed	fold	lambda_fc	lambda_l
0	0	0.1	5.0
0	1	0.1	5.0
0	2	0.01	0.03
0	3	0.1	5.0
0	4	0.1	5.0
1	0	0.1	5.0
1	1	0.1	2.0
1	2	0.1	5.0
1	3	0.01	5.0
1	4	0.1	0.03
2	0	0.01	0.03
2	1	0.1	5.0
2	2	0.1	0.03
2	3	1.0	2.0
2	4	0.1	5.0
3	0	0.1	2.0
3	1	0.001	5.0
3	2	0.1	2.0
3	3	1.0	5.0
3	4	0.1	5.0
4	0	0.1	5.0
4	1	0.1	5.0
4	2	1.0	0.5
4	3	0.1	5.0
4	4	0.1	5.0
5	0	0.1	5.0
5	1	0.1	2.0
5	2	0.01	0.1
5	3	0.1	5.0
5	4	0.1	5.0
6	0	0.1	1.0
6	1	0.1	0.03
6	2	0.1	5.0
6	3	0.1	0.5
6	4	0.1	5.0
7	0	0.1	5.0
7	1	0.01	5.0
7	2	0.1	1.0
7	3	0.1	5.0
7	4	0.1	5.0
8	0	1.0	5.0
8	1	0.001	5.0
8	2	0.01	0.03
8	3	0.1	5.0
8	4	0.1	5.0
9	0	0.1	5.0
9	1	0.01	0.1
9	2	0.1	5.0
9	3	0.1	5.0
9	4	0.001	5.0
