target,model,regime,seed,fold,abstained,top10,top5,bottom10,bottom5,random10_mean,random5_mean,top10_minus_random10
WM,B0,A,7171,0,1,,,,,,,
WM,B0,A,7171,1,0,-0.4890341225319279,0.008180059816652374,0.2598493596129483,0.20730523715708138,-0.04574923396288231,0.004440108530517222,-0.4432848885690456
WM,B0,A,7171,2,0,0.20406848698735836,0.12852694740602288,0.1203015014006219,0.02980205963023863,0.0943254123545889,0.04848260795525217,0.10974307463276946
WM,B0,A,7171,3,0,-1.7644304440864929,-1.7374458741359717,0.3413912160474535,0.002353314563420028,0.11705699957243089,0.12955883860969178,-1.8814874436589237
WM,B0,A,7171,4,0,-0.3923661736731958,0.04517540902442008,-0.4158492474830151,0.004822158498413387,-0.06410410294222518,-0.048320843287321204,-0.32826207073097063
WM,B0,A,7272,0,0,-0.5257286467294833,-0.6320349324785717,-0.12947575231518194,-0.04090296705548013,0.03301136383384486,0.012214934139098155,-0.5587400105633281
WM,B0,A,7272,1,0,0.06643983637742679,-0.030169402052223404,0.07115096231002127,0.0607722331197067,-0.048907618777547256,-0.006034252933088826,0.11534745515497405
WM,B0,A,7272,2,0,0.5231860676503359,0.2818980877198669,-0.08672264339402247,-0.059832299296161295,0.016561379562145147,0.03431330693007302,0.5066246880881908
WM,B0,A,7272,3,0,0.3022274916543406,0.28126478222459284,0.024633679600995606,0.04700626202282443,0.060412683981404314,0.04514545724025613,0.24181480767293628
WM,B0,A,7272,4,0,0.5962054208753518,0.12841850543535926,-0.08943266268822114,0.07689559986548034,0.17999748096290025,0.08099069077026465,0.41620793991245153
WM,B0,A,7373,0,0,0.3726132848544008,0.018457054319609867,-0.01882955356602878,-0.06456246063144278,0.26028424011522366,0.15325449446384665,0.11232904473917715
WM,B0,A,7373,1,1,,,,,,,
WM,B0,A,7373,2,0,0.17748059584299014,0.34435803486227456,0.13147811405744214,0.05847947636755357,0.07305069194641474,0.054420364646387484,0.1044299038965754
WM,B0,A,7373,3,0,-0.13147741618902664,-0.03724394262819253,-0.19115545462230443,-0.15761724451716574,-0.03244597649944453,-0.0396693034558408,-0.09903143968958211
WM,B0,A,7373,4,0,0.4408591640354036,0.2689690332871262,0.08175543439937272,0.059010853448683065,0.18852405044530876,0.10121538347314786,0.25233511359009486
WM,B0,A,7474,0,0,0.39776693500619764,0.3565945289386683,0.009628482871733013,0.10920539466700241,0.014979606411242194,0.012633260342890508,0.38278732859495546
WM,B0,A,7474,1,0,0.2215820542869711,0.0380168366643403,0.20415595767657457,0.1262119206503307,0.17751372232105023,0.0980580191460385,0.04406833196592086
WM,B0,A,7474,2,1,,,,,,,
WM,B0,A,7474,3,0,0.05252094633413584,-0.16291649708815648,-0.2792286240543618,-0.14458651630601516,-0.09568608619826911,-0.02851151981679761,0.14820703253240497
WM,B0,A,7474,4,0,0.2502307709395897,0.596851012999517,-0.1490486591511715,-0.08294179105561206,-0.0443308782715469,-0.027492143427768578,0.2945616492111366
WM,B0,A,7575,0,1,,,,,,,
WM,B0,A,7575,1,1,,,,,,,
WM,B0,A,7575,2,0,0.13103397989470444,0.15099404895982893,0.02860464185424405,0.00041625471545714277,0.07230405789117751,0.041357943226219336,0.05872992200352693
WM,B0,A,7575,3,0,0.3090297749780806,0.30967897610135076,0.051721298795920134,-0.09093404196692134,0.16931608142392449,0.07721841560807173,0.1397136935541561
WM,B0,A,7575,4,1,,,,,,,
WM,B0,B,7171,0,1,,,,,,,
WM,B0,B,7171,1,0,-0.31731916479519917,-0.041561701982526955,0.08400370355259312,0.13784619461857517,-0.0695217487129587,-0.02709813809445615,-0.24779741608224048
WM,B0,B,7171,2,0,0.29953408671662274,0.20215541702834727,-0.007968230211194083,-0.033149017321045804,0.1691386502566295,0.08077821908877586,0.13039543645999324
WM,B0,B,7171,3,1,,,,,,,
