target,model,r_412,r_plus98,delta_r_observed,delta_r_mean,delta_r_ci_lo,delta_r_ci_hi,delta_r_fraction_le_0,delta_rmse_mean,delta_rmse_ci_lo,delta_rmse_ci_hi,delta_mae_mean,delta_mae_ci_lo,delta_mae_ci_hi,fisher_z_diff
WM,A0,0.2966986809695322,0.2903242338780321,-0.006374447091500146,-0.006365749642236118,-0.05457620988589313,0.040976961195837124,0.5974,0.05229552184966917,-0.18215740578916573,0.29152076043147,-0.006892081601699258,-0.22973890964217145,0.21812426962797404,-0.006975403482528952
WM,A1,0.29456705362241825,0.282391049258226,-0.01217600436419225,-0.012282528653617533,-0.06179659862933016,0.038508934965806,0.6852,0.027293140909385057,-0.19634759853294814,0.2503973502219112,0.032864389782114915,-0.17891575571970625,0.24548702894417676,-0.013281518142837068
WM,A2,0.3005289937169976,0.2828351622991078,-0.01769383141788977,-0.017602358198743843,-0.06325303142402418,0.027913510890794985,0.7739,0.07009615330247636,-0.1109174835723468,0.24960797571635984,0.023412204604432277,-0.14719209948260858,0.19390282263711772,-0.019339935096454486
WM,A3,0.3008188120162465,0.2927803629152298,-0.008038449101016698,-0.008069655497803276,-0.05743644728153976,0.03998587169167935,0.6184,0.03741269449361464,-0.20177239110115713,0.28019500689440413,0.014444730636317647,-0.21602011038538343,0.2434023453662332,-0.008815030941716262
WM,B0,0.30709138633221844,0.29798788811905086,-0.009103498213167582,-0.009060725216932249,-0.05611559674816497,0.037839463025170425,0.6431,0.057336779477856134,-0.1666577056010701,0.2828671209920865,0.009203673972018697,-0.20829051761198886,0.22778169607092408,-0.010020801606446916
WM,B1,0.3031344012486034,0.2967563770644696,-0.0063780241841338015,-0.0063490719567668935,-0.05431054792088984,0.04156338070163198,0.6015,0.032998266358193244,-0.18886876231012478,0.25708814754711895,0.0011845652066934285,-0.21175188960241037,0.21871717009163513,-0.007008601881111187
WM,B2,0.3024767414509467,0.29103236436543123,-0.01144437708551549,-0.011406174268616403,-0.058965157360249425,0.03592278113467271,0.6793,0.04967831068492825,-0.15774393406481071,0.2621701262303489,-0.011318917469618134,-0.21667904630746215,0.19509183109554032,-0.012549737858417676
WM,B3,0.2889920345455024,0.2799444425855029,-0.00904759195999949,-0.00893050347632275,-0.05736769869838391,0.03977401975996531,0.6345,0.007510762901537729,-0.21888485682434924,0.2345208752898676,0.03821606323300787,-0.18469139060923948,0.25985684675119347,-0.009844305407358811
WM,B4,0.3016415717086234,0.28133637548852214,-0.02030519622010124,-0.020229770616973376,-0.07074058486152957,0.028485331650052213,0.7883,0.06831340197049081,-0.15637497559151195,0.2976145288932468,0.02323208930156837,-0.19195305158978826,0.24234859336601305,-0.022191785223465488
FI,A0,0.3885994899806336,0.3607463148895888,-0.02785317509104479,-0.027768406219339948,-0.06878562450185464,0.01234354436015535,0.9097,0.05415157536211475,-0.023989843161012575,0.13292813780504784,0.05695454032746095,-0.022585112982837937,0.13613503122496945,-0.03240575156036524
FI,A1,0.38947411210778105,0.3557058676591592,-0.033768244448621865,-0.03364188823746333,-0.07630903570803672,0.007991659665267777,0.9455,0.06729152301529648,-0.01727929481634569,0.15245793022882762,0.06471866218301822,-0.019403685745074836,0.14971627052587194,-0.03921886836022276
FI,A2,0.38975096251775854,0.3604673313036471,-0.029283631214111427,-0.02921755126148847,-0.07021534559966588,0.010311738184842571,0.9234,0.05757042332281958,-0.0209541631479329,0.13796994380047414,0.05102389364477234,-0.029389588206777815,0.1312795292950968,-0.03408343659789581
FI,A3,0.3906337808272583,0.3615323776375724,-0.029101403189685904,-0.029052854418349778,-0.07115571080813718,0.012354918118507995,0.9146,0.057247655055715226,-0.025265801975048196,0.13960171647690073,0.06315781089393327,-0.01998327778878739,0.14705777172028053,-0.033900160071165975
FI,B0,0.38650917620847325,0.35573204411381154,-0.030777132094661708,-0.03068070594988476,-0.07206389562753435,0.010327051022608467,0.9312,0.059792895411196374,-0.016309986438752498,0.13629537754721766,0.0705561073185,-0.005935385271816373,0.1466383453100231,-0.03569852757054798
FI,B1,0.38672124543752684,0.3575799241509957,-0.02914132128653113,-0.0290529248866709,-0.06983304913929503,0.011859807521465992,0.9201,0.058699721991968545,-0.01725085013926408,0.1333405668476032,0.07194881548668854,-0.004273655327097279,0.1473792433900719,-0.03383067002955287
FI,B2,0.384371231812255,0.3584431374873621,-0.025928094324892903,-0.02586600241016531,-0.06783777401411543,0.016404711298901604,0.8849,0.050874951271651994,-0.02561838479507492,0.12542772225591342,0.05561518832776196,-0.02043029822871595,0.13019859087580105,-0.030080223683232876
FI,B3,0.3853231995968803,0.35699230664035597,-0.0283308929565243,-0.028275221556258587,-0.06877297344646123,0.011161625451916308,0.9142,0.054541850219946335,-0.02052688954515114,0.13059675863206302,0.06098232240578036,-0.016037090757235115,0.13761948913086786,-0.03286142258190816
FI,B4,0.38915396263657037,0.3773723401151907,-0.011781622521379653,-0.011710618731512332,-0.05120788015281039,0.027680648245558867,0.7177,0.032182914716789184,-0.03902184624334872,0.10312871399184202,0.049625613819699155,-0.02248868808057214,0.12116764633916578,-0.013810529926655102
