seed,fold,target,model,pearson,rmse,mae
7171,0,WM,A0,0.28611495312600654,11.335015864864824,8.96612556981556
7171,0,WM,A1,0.2831780277041126,11.453344413691774,9.042970796408467
7171,0,WM,B1,0.2862670095108708,11.214716992507102,8.970569161454364
7171,0,FI,A0,0.2730904744433663,4.699057328397588,3.994619075733718
7171,0,FI,A1,0.28271219520096796,4.701626789065242,3.9930196104549247
7171,0,FI,B1,0.2730904744433663,4.699057328397588,3.994619075733718
7171,1,WM,A0,0.31613493299185236,10.899419716922512,8.922989361548911
7171,1,WM,A1,0.24977121711112732,11.010549042423085,8.908496069639728
7171,1,WM,B1,0.32107079372661024,10.849228830316083,8.927264222023412
7171,1,FI,A0,0.21728899946600683,5.005301936350248,4.157223879606321
7171,1,FI,A1,0.23363748230176934,4.946328046563291,4.10814464968567
7171,1,FI,B1,0.22638443125684282,4.9732543010189865,4.13775731260146
7171,2,WM,A0,0.3470482900384093,11.595139261058426,9.326332438551976
7171,2,WM,A1,0.37029164426222794,11.223876325326009,9.235721167515578
7171,2,WM,B1,0.2854976152135611,11.7933843936818,9.599505549293966
7171,2,FI,A0,0.1486477006944303,5.0924765064412965,4.190255835303199
7171,2,FI,A1,0.15754865174004365,5.0850857675859675,4.194283571888677
7171,2,FI,B1,0.16432168326054497,5.0116280474774255,4.1696237453149765
7171,3,WM,A0,0.2510343153405401,10.542584748859571,8.489944004096431
7171,3,WM,A1,0.2478712447540577,10.426872583022604,8.48848613383528
7171,3,WM,B1,0.2510343153405401,10.542584748859571,8.489944004096431
7171,3,FI,A0,0.3169400925355878,4.566892067917685,3.711200484121672
7171,3,FI,A1,0.310580932648871,4.568897597944456,3.7294798345572007
7171,3,FI,B1,0.31442942053603334,4.5193502083786985,3.709768377513818
7171,4,WM,A0,0.15105440516099583,12.25635372076125,9.677853061878832
7171,4,WM,A1,0.1846178554914235,11.566442478726094,9.104698144068385
7171,4,WM,B1,0.15386303994012837,12.059299803248875,9.501280782580622
7171,4,FI,A0,0.424409676488508,4.421545222968632,3.782574873240332
7171,4,FI,A1,0.4095498909294632,4.434104117762714,3.770726360433082
7171,4,FI,B1,0.4363113786601504,4.412699910556727,3.783072060869385
