edge_index,roi_i_0based,roi_j_0based,roi_i_1based,roi_j_1based,mean_signed_coef,mean_abs_coef,median_abs_coef,rank_mean_abs,roi_i_name,roi_j_name,top10_frequency,top20_frequency,top50_frequency,sign_consistency
5141,60,72,61,73,-0.11083295902462428,0.11083295902462428,0.11892264102150225,40,Parietal_Inf_L,Putamen_L,0.0,0.04,0.28,1.0
5917,76,104,77,105,0.11066784262310052,0.11066784262310052,0.10864860886241309,41,Thalamus_L,Cerebelum_9_L,0.02,0.04,0.18,1.0
1926,18,28,19,29,-0.11047940136719699,0.11047940136719699,0.10403088246694756,42,Supp_Motor_Area_L,Insula_L,0.0,0.04,0.18,1.0
1222,11,24,12,25,-0.11013680422264768,0.11013680422264768,0.10646830791676906,43,Frontal_Inf_Oper_R,Frontal_Med_Orb_L,0.0,0.02,0.14,1.0
5146,60,77,61,78,-0.10988251374638622,0.10988251374638622,0.09046227802970684,44,Parietal_Inf_L,Thalamus_R,0.02,0.04,0.3,1.0
5158,60,89,61,90,0.1094336748436442,0.1094336748436442,0.09839044490977832,45,Parietal_Inf_L,Temporal_Inf_R,0.02,0.04,0.18,1.0
6142,83,84,84,85,0.10902129493697224,0.10902129493697224,0.11238456185129199,46,Temporal_Pole_Sup_R,Temporal_Mid_L,0.0,0.02,0.28,1.0
5905,76,92,77,93,0.10862931538835802,0.10862931538835802,0.10367606893217035,47,Thalamus_L,Cerebelum_Crus2_L,0.0,0.0,0.3,1.0
6520,98,102,99,103,-0.10819998537951334,0.10819998537951334,0.08990723868297487,48,Cerebelum_6_L,Cerebelum_8_L,0.0,0.06,0.12,1.0
662,5,103,6,104,-0.107551508673325,0.107551508673325,0.10245452876911591,49,Frontal_Sup_Orb_R,Cerebelum_8_R,0.0,0.02,0.12,1.0
5995,78,107,79,108,0.10734223117745202,0.10734223117745202,0.10105747471457721,50,Heschl_L,Cerebelum_10_R,0.0,0.0,0.08,1.0
642,5,83,6,84,-0.10708925119898087,0.10708925119898087,0.10704408516548183,51,Frontal_Sup_Orb_R,Temporal_Pole_Sup_R,0.0,0.0,0.12,1.0
5369,64,90,65,91,-0.105792577561917,0.10679318566782735,0.08585605989313891,52,Angular_L,Cerebelum_Crus1_L,0.0,0.08,0.22,0.98
2548,24,89,25,90,-0.10651189162652523,0.10651189162652523,0.1173843537003649,53,Frontal_Med_Orb_L,Temporal_Inf_R,0.0,0.0,0.12,1.0
5320,63,92,64,93,-0.1063379694645552,0.1063379694645552,0.10336655303764006,54,SupraMarginal_R,Cerebelum_Crus2_L,0.02,0.1,0.2,1.0
5317,63,89,64,90,0.10429207524137554,0.10429207524137554,0.07280273093200945,55,SupraMarginal_R,Temporal_Inf_R,0.04,0.12,0.18,1.0
1364,12,63,13,64,-0.10032275804095153,0.10340473723620183,0.0757809300032615,56,Frontal_Inf_Tri_L,SupraMarginal_R,0.18,0.32,0.54,0.98
5172,60,103,61,104,-0.10277942958882061,0.10277942958882061,0.10346356218136332,57,Parietal_Inf_L,Cerebelum_8_R,0.02,0.04,0.18,1.0
4965,57,64,58,65,0.10271776911075663,0.10271776911075663,0.10791618904965963,58,Postcentral_R,Angular_L,0.0,0.0,0.06,1.0
6054,80,95,81,96,-0.10270592238596993,0.10270592238596993,0.10223854098283486,59,Temporal_Sup_L,Cerebelum_3_R,0.0,0.02,0.14,1.0
1432,13,29,14,30,-0.10255705604846815,0.10265100637415552,0.08175405348707637,60,Frontal_Inf_Tri_R,Insula_R,0.02,0.08,0.14,0.98
5292,63,64,64,65,0.10251536340577458,0.10265003272375461,0.08110921598639237,61,SupraMarginal_R,Angular_L,0.06,0.14,0.26,0.98
1390,12,89,13,90,0.10235439394427687,0.10235439394427687,0.0816819613562329,62,Frontal_Inf_Tri_L,Temporal_Inf_R,0.0,0.04,0.16,1.0
3065,30,81,31,82,-0.10233071322746103,0.10233071322746103,0.09975531338344522,63,Cingulum_Ant_L,Temporal_Sup_R,0.0,0.02,0.14,1.0
590,5,31,6,32,0.10227930650880532,0.10227930650880532,0.09194205176181977,64,Frontal_Sup_Orb_R,Cingulum_Ant_R,0.0,0.06,0.22,1.0
6079,81,86,82,87,-0.1020412125896881,0.1020412125896881,0.10277136248580537,65,Temporal_Sup_R,Temporal_Pole_Mid_L,0.0,0.04,0.14,1.0
6041,80,82,81,83,-0.10165673079519777,0.10165673079519777,0.07648419161040801,66,Temporal_Sup_L,Temporal_Pole_Sup_L,0.0,0.02,0.16,1.0
6422,93,99,94,100,0.10163963319184013,0.10163963319184013,0.10722111145497278,67,Cerebelum_Crus2_R,Cerebelum_6_R,0.0,0.02,0.12,1.0
6213,85,94,86,95,0.10155682670505611,0.10155682670505611,0.0926044328921092,68,Temporal_Mid_R,Cerebelum_3_L,0.0,0.02,0.1,1.0
2622,25,73,26,74,0.10152334844914242,0.10152334844914242,0.0956023487416143,69,Frontal_Med_Orb_R,Putamen_R,0.0,0.0,0.08,1.0
6535,99,101,100,102,0.10146549283574524,0.10146549283574524,0.08910023617012994,70,Cerebelum_6_R,Cerebelum_7b_R,0.0,0.02,0.08,1.0
