model,task,edge_spearman,top100_jaccard,top300_jaccard,roi_top10_jaccard,roi_top20_jaccard,sign_consistency,shared_edge_spearman,specific_edge_spearman
C0,WM,0.07060208264970659,0.15909362353530895,0.1725681795096403,0.19237865044448063,0.23477544609205028,0.6463518240879559,0.060045380927059355,0.05799947075198856
C0,FI,0.07064363820065915,0.03653152226459533,0.05670898935130476,0.06765520612677202,0.11670871566586084,0.6427374548020107,0.06342861087207564,0.042658510978765336
C1,WM,0.2317350561311324,0.10052689870703199,0.11523918355942137,0.13872658943540483,0.19522974647375996,0.6240629685157422,0.20580617515667263,0.18955469716057877
C1,FI,0.20328859009944175,0.0731934266555653,0.09365711609944764,0.11571388481523723,0.16567026019274844,0.6388405797101447,0.19618747582661297,0.18105960092800805
