model,task,k,top_mean,top_median,bottom_mean,random_mean
C0,WM,5,-0.43890468248980524,-0.051543585243665646,-0.07404298752041498,-0.17450039525099054
C0,WM,10,-0.641057232113131,-0.037897741877685576,-0.11015006211026952,-0.32476726836288367
C0,FI,5,-0.1418444389100942,-0.035630914747805775,-0.010433027980702957,-0.07169430232069474
C0,FI,10,-0.2051959722257076,-0.2101516860466588,-0.036071079202825415,-0.14677512013116112
C1,WM,5,-0.8264405265015338,-0.5899391490197932,-0.025428739728029993,-0.20370840552693198
C1,WM,10,-1.3058589089296047,-1.2540325015613414,-0.09146306302628097,-0.36960802259153014
C1,FI,5,-0.27846096385890184,-0.28447645026091894,-0.012719283503429457,-0.06739570033849718
C1,FI,10,-0.5094993725355202,-0.43840413891527064,0.0007775026564999177,-0.1310058082954456
