target,condition,condition_display,fp_r_mean,sc_r_mean,fused_r_mean,w_fp_mean,w_sc_mean,w_fp_std,w_sc_std,n_splits
working_memory,R0,Same-solver no prior,0.27512300621121283,0.13197485496244096,0.2635147735902435,0.7010000000000001,0.29900000000000004,0.18502344032415932,0.18502344032415935,50
working_memory,R1,Anisotropy only,0.2774329627524931,0.13197485496244096,0.2578181529618702,0.7120000000000001,0.28800000000000003,0.18504274189097666,0.18504274189097666,50
working_memory,R2,Network penalty only,0.2749442870839875,0.13197485496244096,0.2636642091477666,0.705,0.295,0.18301611393312794,0.18301611393312794,50
working_memory,R3,Full PALF,0.27818126672270554,0.13197485496244096,0.26249975212135696,0.709,0.29100000000000004,0.1842497196298368,0.1842497196298368,50
fluid_intelligence,R0,Same-solver no prior,0.21658854348408588,0.3571364654113033,0.3709173349695604,0.285,0.715,0.12867059667608446,0.12867059667608444,50
fluid_intelligence,R1,Anisotropy only,0.23389473001252498,0.3571364654113033,0.3678439070231634,0.286,0.714,0.1538751150134685,0.1538751150134685,50
fluid_intelligence,R2,Network penalty only,0.21352523666985307,0.3571364654113033,0.3703093499438902,0.294,0.706,0.13539059141941126,0.1353905914194113,50
fluid_intelligence,R3,Full PALF,0.22385683137955495,0.3571364654113033,0.3700313844593241,0.28500000000000003,0.7150000000000002,0.14365846686513406,0.14365846686513406,50
