target,condition,condition_display,seed,fp_pearson,fp_rmse,fp_mae,sc_pearson,sc_rmse,sc_mae,fused_pearson,fused_rmse,fused_mae,equal_weight_pearson,equal_weight_rmse,equal_weight_mae
working_memory,R0,Same-solver no prior,0,0.26574074388043395,11.668866993806587,9.52341792739802,0.1545590367290333,11.989127433718954,9.672281473511477,0.27805949200912916,11.268764793560308,9.204182294742552,0.27294317939672075,11.195505633565357,9.132692829542393
working_memory,R0,Same-solver no prior,1,0.29374698082805784,11.361591064738093,9.258097664522115,0.12737921740403083,12.136407817169195,9.869711657689097,0.26122625011777784,11.287734911244621,9.277823848777583,0.26724377714588854,11.165299766158755,9.181613770830847
working_memory,R0,Same-solver no prior,2,0.3049092074407823,11.386266679453874,9.311375063748553,0.1526215476431127,11.966425473301573,9.757997439399128,0.305828348776284,11.15362154853683,9.07227124864566,0.2979594273188019,11.045324040100127,9.039262565511494
working_memory,R0,Same-solver no prior,3,0.2805636766524103,11.417212495922927,9.364522514133208,0.12821697770748955,12.095668314237844,9.846121181207772,0.2865453913302085,11.108622915981787,9.048135349962603,0.26215688149516625,11.158971039612066,9.127171675170658
working_memory,R0,Same-solver no prior,4,0.24689809569689397,11.412278443376252,9.278921642962032,0.11878365017151786,12.179381386690823,9.925331959849084,0.2601853858557382,11.171367098036033,9.089603439663495,0.2320636760778128,11.231761545171011,9.1717799284521
working_memory,R0,Same-solver no prior,5,0.25313444026797594,11.916015049763043,9.571883135805027,0.05664177150729708,12.590692734311466,10.182680268836402,0.19377912110713919,11.720015114888096,9.503750749884226,0.20128563037280406,11.555650746618863,9.407700722317646
working_memory,R0,Same-solver no prior,6,0.24818902445944416,11.48952830942109,9.420015836407176,0.14471254944053175,11.986849428565568,9.685772726422934,0.2325919074620618,11.391746685199681,9.286846419591395,0.2554162260076901,11.147393268565919,9.080827402433647
working_memory,R0,Same-solver no prior,7,0.27139459079143735,11.400862198152979,9.323924991426301,0.08728795967208323,12.385968857526839,9.996111927014642,0.2583498077236942,11.237600300530467,9.152379588849168,0.24217615305070953,11.257494103994944,9.189621972456262
working_memory,R0,Same-solver no prior,8,0.29430814436658215,11.545745846519043,9.324668664463793,0.18245715244138277,11.732377737477398,9.534447066774382,0.2959315459576896,11.301014987427,9.192760805799416,0.3098704587208937,10.893709493781014,8.908879776593713
working_memory,R0,Same-solver no prior,9,0.29234515772811037,11.673545388887224,9.235736213582662,0.16708868690793033,11.923376616807912,9.638328762013668,0.2626504855627122,11.288721671705506,9.134341677176176,0.30450731584663854,11.062580652072887,8.928488834205751
