task,control_prior,control_display,seed,fp_r_matched,fp_r_control,fp_delta_r,fused_r_matched,fused_r_control,fused_delta_r,fused_rmse_matched,fused_rmse_control,fused_mae_matched,fused_mae_control
fluid_intelligence,cross_task,Cross-task,0,0.21692381117798246,0.2073986039486897,-0.0095252072292927,0.3723431448993256,0.36993595415039515,-0.0024071907489303405,4.541749078231412,4.546148063065081,3.769603864018346,3.769012448722907
fluid_intelligence,cross_task,Cross-task,1,0.24434022958064858,0.2348377226161366,-0.00950250696451196,0.3438194451306792,0.3395932321636953,-0.00422621296698394,4.645030622670528,4.65389413574988,3.849290010725935,3.8559011685929656
fluid_intelligence,cross_task,Cross-task,2,0.24447127652042866,0.23698953675336293,-0.00748173976706574,0.3964566940372961,0.3943690121643157,-0.0020876818729803396,4.5158433336066635,4.520679900269429,3.7301554072724734,3.735907234716469
fluid_intelligence,cross_task,Cross-task,3,0.2095789083928718,0.2079984367730367,-0.0015804716198351402,0.34393099340023653,0.34317530463849943,-0.00075568876173702,4.629744166256099,4.63133832095196,3.7912634211175087,3.7922503182312672
fluid_intelligence,cross_task,Cross-task,4,0.2377004940442038,0.22089060173618097,-0.01680989230802286,0.35869657363698826,0.3566637068178907,-0.0020328668190975198,4.581990476298101,4.586008762769685,3.8044520137347524,3.8102568302175825
fluid_intelligence,cross_task,Cross-task,5,0.22938938251564514,0.21725390018844024,-0.01213548232720486,0.36058023665821404,0.35958220538922536,-0.0009980312689886598,4.580055606409138,4.582726033000817,3.7959931399212294,3.797366099614559
fluid_intelligence,cross_task,Cross-task,6,0.2131530680197724,0.21160143866310738,-0.0015516293566650405,0.3789107695634521,0.37779441903353694,-0.0011163505299152,4.532700202424434,4.537731358026038,3.759108993181697,3.7678116685751584
fluid_intelligence,cross_task,Cross-task,7,0.20557415088228223,0.20561840916029667,4.4258278014419966e-05,0.375359632065096,0.37550489306131707,0.00014526099622100006,4.544622998134827,4.546749620373608,3.7743943539361466,3.7688615182055707
fluid_intelligence,cross_task,Cross-task,8,0.1960446453226305,0.1973932107895045,0.0013485654668740385,0.34415597587942476,0.3464260396301547,0.00227006375072998,4.646597514711924,4.642986712473324,3.849254104858099,3.8421640688429277
fluid_intelligence,cross_task,Cross-task,9,0.24139234733908355,0.2476236928430328,0.006231345503949241,0.4260603793225286,0.42868536731900553,0.0026249879964769,4.4609989263849785,4.455509327837435,3.70581013272687,3.7021191975507173
fluid_intelligence,random,Random,0,0.21692381117798246,0.19486964595237474,-0.02205416522560766,0.3723431448993256,0.3696783266869406,-0.0026648182123848504,4.541749078231412,4.547173802131483,3.769603864018346,3.7781317948379702
fluid_intelligence,random,Random,1,0.24434022958064858,0.23094631789571657,-0.013393911684932081,0.3438194451306792,0.3384141614478498,-0.005405283682829361,4.645030622670528,4.6571476236460825,3.849290010725935,3.8669364775851696
fluid_intelligence,random,Random,2,0.24447127652042866,0.2332024985696278,-0.01126877795080088,0.3964566940372961,0.39841635499085537,0.00195966095355928,4.5158433336066635,4.513568510745399,3.7301554072724734,3.7287611040787056
fluid_intelligence,random,Random,3,0.2095789083928718,0.2031034367484546,-0.006475471644417261,0.34393099340023653,0.34509731299443,0.0011663195941935827,4.629744166256099,4.626080336150077,3.7912634211175087,3.7850172750247553
fluid_intelligence,random,Random,4,0.2377004940442038,0.22587289566156565,-0.01182759838263814,0.35869657363698826,0.35563793635480295,-0.00305863728218534,4.581990476298101,4.587471986643043,3.8044520137347524,3.8126232973854615
fluid_intelligence,random,Random,5,0.22938938251564514,0.20817777061586668,-0.0212116118997784,0.36058023665821404,0.3573880786663557,-0.00319215799185832,4.580055606409138,4.585956643522104,3.7959931399212294,3.7981997008115274
fluid_intelligence,random,Random,6,0.2131530680197724,0.18776479236791604,-0.025388275651856362,0.3789107695634521,0.36738913906208653,-0.011521630501365619,4.532700202424434,4.559587029505982,3.759108993181697,3.783692585170427
fluid_intelligence,random,Random,7,0.20557415088228223,0.20855574949278238,0.00298159861050018,0.375359632065096,0.37534816594996323,-1.1466115132840148e-05,4.544622998134827,4.5453488947477485,3.7743943539361466,3.7713744339333646
fluid_intelligence,random,Random,8,0.1960446453226305,0.18087054562595392,-0.015174099696676518,0.34415597587942476,0.3434029383290202,-0.0007530375504046002,4.646597514711924,4.647327588347819,3.849254104858099,3.8518078001513323
fluid_intelligence,random,Random,9,0.24139234733908355,0.21486202482599853,-0.02653032251308496,0.4260603793225286,0.422399743052869,-0.003660636269659566,4.4609989263849785,4.4704190746364905,3.70581013272687,3.7150446804606694
fluid_intelligence,shuffled,Shuffled,0,0.21692381117798246,0.18739104777137267,-0.02953276340660978,0.3723431448993256,0.37071819719441834,-0.00162494770490714,4.541749078231412,4.5441286390418885,3.769603864018346,3.7754340536722295
fluid_intelligence,shuffled,Shuffled,1,0.24434022958064858,0.2336879249558929,-0.0106523046247557,0.3438194451306792,0.34240389453190556,-0.0014155505987736199,4.645030622670528,4.640563966532201,3.849290010725935,3.8563439615798907
fluid_intelligence,shuffled,Shuffled,2,0.24447127652042866,0.22915026483810697,-0.015321011682321717,0.3964566940372961,0.39713879395110985,0.0006820999138138594,4.5158433336066635,4.51545921496835,3.7301554072724734,3.732638494564296
fluid_intelligence,shuffled,Shuffled,3,0.2095789083928718,0.19001129133371103,-0.019567617059160824,0.34393099340023653,0.34330917490211244,-0.0006218184981240203,4.629744166256099,4.6279813380386,3.7912634211175087,3.791910165860815
fluid_intelligence,shuffled,Shuffled,4,0.2377004940442038,0.2293403051956311,-0.00836018884857274,0.35869657363698826,0.3623223319844505,0.0036257583474622796,4.581990476298101,4.573674744782184,3.8044520137347524,3.805780537193916
fluid_intelligence,shuffled,Shuffled,5,0.22938938251564514,0.20465249954387849,-0.02473688297176662,0.36058023665821404,0.35537678715877663,-0.005203449499437399,4.580055606409138,4.584924241771975,3.7959931399212294,3.802565620927589
fluid_intelligence,shuffled,Shuffled,6,0.2131530680197724,0.21564538567356842,0.0024923176537959817,0.3789107695634521,0.38285670603066757,0.003945936467215421,4.532700202424434,4.523730444131752,3.759108993181697,3.768775372625803
fluid_intelligence,shuffled,Shuffled,7,0.20557415088228223,0.20777577724290713,0.002201626360624961,0.375359632065096,0.3779296523557243,0.0025700202906282403,4.544622998134827,4.540223491826749,3.7743943539361466,3.7651587316081154
fluid_intelligence,shuffled,Shuffled,8,0.1960446453226305,0.18359003636127455,-0.012454608961355917,0.34415597587942476,0.33907516613279726,-0.00508080974662746,4.646597514711924,4.65527329088666,3.849254104858099,3.8648542749694714
fluid_intelligence,shuffled,Shuffled,9,0.24139234733908355,0.21731458307189527,-0.024077764267188242,0.4260603793225286,0.4267008836583865,0.0006405043358579003,4.4609989263849785,4.462660591957143,3.70581013272687,3.7103961497534357
