task,prior_type,mean_final_pearson,std_final_pearson,mean_delta_vs_baseline,mean_expert_w_fc,mean_expert_w_sc,mean_alpha,mean_ridge_final_pearson,mean_ridge_delta
WM,matched,0.25560257764012806,0.08330325168977394,0.01418517535764666,0.7849999999999999,0.215,0.3675,0.24883871030201576,0.007421308019534377
WM,cross_task,0.24282118141777304,0.09342823726848083,0.001403779135291597,0.74,0.25999999999999995,0.4125,0.23887840802759452,-0.0025389942548868934
WM,shuffled,0.2554191864579344,0.08570813593527124,0.014001784175452938,0.7749999999999999,0.22500000000000003,0.34249999999999997,0.2536019795573433,0.012184577274861897
WM,random,0.23364002309147242,0.09059192412206585,-0.007777379191008987,0.645,0.355,0.24749999999999997,0.23271980383971416,-0.008697598442767223
FI,matched,0.35240489699046956,0.0774152291637035,-0.003053412753891338,0.33499999999999996,0.665,0.09750000000000002,0.3517478398817251,-0.003710469862635796
FI,cross_task,0.34807717451004294,0.07748229839215837,-0.007381135234317904,0.325,0.675,0.11750000000000001,0.35132618234457313,-0.004132127399787727
FI,shuffled,0.3567076209000461,0.08053742859149617,0.0012493111556852634,0.345,0.655,0.12500000000000003,0.35442054443858056,-0.0010377653057802665
FI,random,0.36646768707011085,0.07673149931840625,0.011009377325750025,0.17750000000000005,0.8225000000000001,0.275,0.36270936738149306,0.007251057637132199
