seed,WM_matched_mean_r,WM_matched_std_r,WM_matched_mean_delta,WM_matched_ridge_mean_r,WM_matched_ridge_mean_delta,WM_cross_task_mean_r,WM_cross_task_std_r,WM_cross_task_mean_delta,WM_cross_task_ridge_mean_r,WM_cross_task_ridge_mean_delta,WM_shuffled_mean_r,WM_shuffled_std_r,WM_shuffled_mean_delta,WM_shuffled_ridge_mean_r,WM_shuffled_ridge_mean_delta,WM_random_mean_r,WM_random_std_r,WM_random_mean_delta,WM_random_ridge_mean_r,WM_random_ridge_mean_delta,WM_baseline_mean_r,WM_baseline_std_r,FI_matched_mean_r,FI_matched_std_r,FI_matched_mean_delta,FI_matched_ridge_mean_r,FI_matched_ridge_mean_delta,FI_cross_task_mean_r,FI_cross_task_std_r,FI_cross_task_mean_delta,FI_cross_task_ridge_mean_r,FI_cross_task_ridge_mean_delta,FI_shuffled_mean_r,FI_shuffled_std_r,FI_shuffled_mean_delta,FI_shuffled_ridge_mean_r,FI_shuffled_ridge_mean_delta,FI_random_mean_r,FI_random_std_r,FI_random_mean_delta,FI_random_ridge_mean_r,FI_random_ridge_mean_delta,FI_baseline_mean_r,FI_baseline_std_r
1717,0.27527592581990434,0.09100916639801764,0.007950077794455019,0.27548022080027695,0.00815437277482764,0.2852813656666947,0.09926986447791611,0.01795551764124541,0.27956423912949957,0.012238391104050214,0.25538556935128487,0.08354119237401911,-0.011940278674164468,0.255021583162793,-0.012304264862656327,0.27934642890475003,0.0593103302921968,0.012020580879300708,0.2786085374421116,0.01128268941666229,0.26732584802544934,0.07943558701640321,0.36300835456929137,0.07564287163366532,-0.007622358546737385,0.36241927177079925,-0.00821144134522953,0.3530050527400096,0.09285326732785885,-0.01762566037601922,0.35065327587042994,-0.019977437245598882,0.3719022296021469,0.08163797015589039,0.0012715164861181627,0.3706307131160288,0.0,0.36777858993314555,0.07693838743661892,-0.002852123182883204,0.36615428591324406,-0.004476427202784716,0.37063071311602874,0.07494636287297675
1818,0.230409875922037,0.07305739930126659,0.025064484566165373,0.22829486567059662,0.022949474314724987,0.2006762476986453,0.09822665301883501,-0.004669143657226341,0.18870449568405523,-0.016640895671816407,0.21085306668378218,0.11963181448640418,0.005507675327910544,0.2130473132498519,0.007701921893980257,0.19023901844702024,0.11498508012458768,-0.01510637290885139,0.19499150967955797,-0.010353881676313681,0.2053453913558716,0.09749204709317982,0.36170324456715996,0.08404424637893985,0.00031775401280812463,0.3610752740158172,-0.00031021653853468,0.3509208328696323,0.07050718762849345,-0.010464657684719537,0.3610349582302364,-0.0003505323241155045,0.36843060748604317,0.08480843985548595,0.007045116931691353,0.3644485758782622,0.0030630853239103084,0.3728243585036961,0.0857752945636671,0.011438867949344234,0.36189613291007383,0.0005106423557219685,0.3613854905543518,0.07657211387055975
1919,0.2466565766224468,0.08181114910092809,0.023835038394400727,0.23634911591803615,0.013527577689990088,0.24786953622239621,0.07721221169731143,0.025047997994350125,0.25077553414273906,0.027953995914692997,0.258751462410557,0.064259552223244,0.03592992418251096,0.25746682245147173,0.034645284223425644,0.2115085301609759,0.07541305654500055,-0.011313008067070158,0.21028485216772572,-0.012536686060320356,0.22282153822804612,0.07845985199976681,0.29996293709605376,0.07810717577202202,-0.005750841931143003,0.2994695734680427,-0.006244205559154137,0.3020753475590542,0.0770754836698402,-0.0036384314681426498,0.30530792490948394,-0.00040585411771283387,0.29901629645868993,0.07961431622106802,-0.00669748256850689,0.29535461910723126,-0.010359159919965555,0.3432521768568059,0.09238659581468185,0.037538397829609146,0.3443084130507176,0.03859463402352077,0.30571377902719676,0.07514151932991502
2020,0.27006793219612407,0.10493067647362497,-0.00010889932443448324,0.2552306388191533,-0.014946192701405209,0.23745757608335577,0.10703090993934178,-0.03271925543720281,0.23646936315408418,-0.03370746836647438,0.2966866473861133,0.06962363340281372,0.026509815865554714,0.2888721993652566,0.018695367844698017,0.25346611485314346,0.102405306676857,-0.01671071666741511,0.24699431606946143,-0.023182515451097147,0.2701768315205586,0.06074101873415888,0.38494505172937293,0.06761218129820372,0.0008417954495069102,0.3840272402722412,-7.601600762483507e-05,0.3863074648714758,0.06686117173006118,0.0022042085916097907,0.38830857036814237,0.004205314088276313,0.3874813500533045,0.06935148767689561,0.0033780937734384287,0.3872482696528002,0.00314501337293418,0.3820156229867959,0.07159577174371663,-0.0020876332930700793,0.3784786376519368,-0.005624618627929223,0.384103256279866,0.06277148073673489
