task,seed,fold,pearson,rmse,mae
WM,0,0,0.18150781171657127,9.953708897125898,8.282356821465513
FI,0,0,0.5078049710892827,3.7680036998826796,2.9164400666735126
WM,0,1,0.2101102611496756,11.107456205200709,8.969329674853698
FI,0,1,0.38109464708836605,4.720386065571554,3.998494568166636
WM,0,2,0.2203258785519362,12.108116520564513,9.190667007114975
FI,0,2,0.33685909790360646,4.907362322426804,4.241545458594359
WM,0,3,0.41379124564246544,10.426016693213027,8.961099740064563
FI,0,3,0.22198577225551147,4.640919186671426,3.976671954473014
WM,0,4,0.3645622629850028,12.74852565169736,10.617458230213964
FI,0,4,0.4301185238775372,4.6394561929065015,3.6638097914409724
WM,1,0,0.44757299068149736,10.046232664142096,8.538997172606766
FI,1,0,0.24362888835743826,4.556116110161501,3.633447370109785
WM,1,1,0.09411153151248905,12.20582520060463,9.948780304082458
FI,1,1,0.39231245566561085,4.28532945967981,3.513359311952263
WM,1,2,0.16069440039950042,11.679811649163744,9.94221354861483
FI,1,2,0.43906148726967403,4.770610753593799,3.977349354110661
WM,1,3,0.27373620781455404,12.18075467908116,9.92988983966073
FI,1,3,0.3174854544421248,4.958782165627862,4.294080020758313
WM,1,4,0.33001612018084514,10.326050363231538,8.029238378923202
FI,1,4,0.3304767635115047,4.608582864118105,3.8352701519453465
WM,2,0,0.34490486378880864,12.263145134569998,10.035475092160155
FI,2,0,0.4521725958294556,4.637389689978014,3.8528412543088213
WM,2,1,0.40030037107749716,10.182742158248853,8.332627196425785
FI,2,1,0.3277439355868862,4.495169471144699,3.8646452719198234
WM,2,2,0.26545960950683606,11.487669706069765,8.890062523351936
FI,2,2,0.43433220725899196,4.2416837076234115,3.4728776693201047
WM,2,3,0.3374839914318408,10.85130253313526,9.346934876075789
FI,2,3,0.4367764368117317,4.566720654932367,3.716522645591028
WM,2,4,0.18099290807643878,10.983248210660259,8.756256555214602
FI,2,4,0.36713611760470866,4.567640299282428,3.840145990710417
WM,3,0,0.2373243758611755,9.72767224970052,8.16314230911538
FI,3,0,0.24861303052611777,4.759831389329506,4.0281566059598735
WM,3,1,0.2048428803272447,12.38617787378326,10.677081278832054
FI,3,1,0.36410336895898754,4.541984749437562,3.6380604059604025
WM,3,2,0.12917870985668445,12.247215468820174,9.539058358942869
FI,3,2,0.394858906879131,4.427948963745986,3.5239302279430667
WM,3,3,0.4756420293458916,10.856475692788187,8.906200239635687
FI,3,3,0.4416232674054848,4.588306068250188,3.8404444624543026
WM,3,4,0.385738961260044,10.325573294816808,7.955194563287026
FI,3,4,0.26452651371334973,4.821296411003336,3.957502903114379
WM,4,0,0.17489450754576072,11.150804063387879,8.961442139752615
FI,4,0,0.37222064457212845,4.509378582798186,3.6946211652715166
WM,4,1,0.2575062645541578,11.45985652545102,9.19574882220505
FI,4,1,0.3670144272410201,4.326442430155865,3.628802628291968
WM,4,2,0.17583322405357785,10.756697111044419,8.897436090191785
FI,4,2,0.3503758927362295,4.578089102183271,3.7785630053935124
WM,4,3,0.25569590725184266,11.888491834359991,9.70031892205001
FI,4,3,0.2884704748847677,4.957658488432001,4.059187853548794
WM,4,4,0.4369970258733443,10.600985955936896,8.693071224118047
FI,4,4,0.4592498157877198,4.475505427610909,3.8064231861667506
WM,5,0,0.1002181326277592,12.392287435612074,9.778400637195507
FI,5,0,0.3253810699184733,4.640055252466588,3.8486101332421043
WM,5,1,0.25884253526798257,11.72544733641313,9.699436345535574
FI,5,1,0.38043149482485433,4.3971001279515765,3.6238549019008124
WM,5,2,0.11401801947065747,11.903847309009553,9.490795740872219
FI,5,2,0.4396990936594243,4.769106270326792,4.009520653028538
WM,5,3,0.2604621117237659,11.369105698814469,9.254261656987527
FI,5,3,0.44828196133948145,4.6130136064887575,3.7285377576268885
WM,5,4,0.23535480644552717,11.209387794591299,9.295859368830314
FI,5,4,0.25681206768619086,4.421592655324538,3.740709497092181
WM,6,0,0.2383816157089054,11.630400757162867,9.568786693516966
FI,6,0,0.31519991501956657,4.313195215487629,3.580664378023648
WM,6,1,0.23833166883817977,10.411828880693664,8.46811705220169
FI,6,1,0.44499146207595025,4.217631998561368,3.4950236548661477
WM,6,2,0.03398938164578013,12.762084709882316,10.82767770951538
FI,6,2,0.29011826868590596,4.646702654622811,3.9009174876712125
WM,6,3,0.3433784879253538,10.272983197965054,7.86423535986116
FI,6,3,0.4438891696826938,4.181478232144452,3.529380482577656
WM,6,4,0.30887838319208544,11.881435880294523,9.705415282861793
FI,6,4,0.39488933742232984,5.286155890705485,4.319914115857556
WM,7,0,0.22310314792111588,11.686917002707007,9.04937356083638
FI,7,0,0.31182585582621547,4.446810458184445,3.7554503304999587
WM,7,1,0.29027705660225284,10.326477776057555,8.531622432050028
FI,7,1,0.4795156930709156,4.485292058773559,3.6065872187046515
WM,7,2,0.17923963366298384,11.895376101075886,9.455676379784617
FI,7,2,0.3627153046151443,4.5768227604771035,3.818092556973815
WM,7,3,0.33705057320490817,11.08395227031195,9.411318763382104
FI,7,3,0.35468118254665826,4.833162700613825,3.9812707196363233
WM,7,4,0.26207862722721337,11.195278352499944,9.313906808192721
FI,7,4,0.30761072226138964,4.49052195882734,3.7632777354846016
WM,8,0,0.19415815376736542,11.355771530133572,9.291422023319706
FI,8,0,0.3709996462393512,4.5596093375466085,3.8328709528391336
WM,8,1,0.2953020034216081,11.190829296143324,9.338945023451709
FI,8,1,0.3971008664199941,4.6827325726911955,3.7583952059469996
WM,8,2,0.42825225784860055,10.195538659277828,8.157027984319349
FI,8,2,0.4232006669450106,4.450081937036113,3.615393383655837
WM,8,3,0.2975654758095563,12.478274589340161,10.07589394089895
FI,8,3,0.1924782028014623,4.603430282337957,3.9503984496266114
WM,8,4,0.2643798389413085,11.284660862240157,9.100515057007396
FI,8,4,0.3471849303738852,4.900316694218685,4.095020065285687
WM,9,0,0.47406812470724735,10.981011986261924,8.773831249200757
FI,9,0,0.4810091440511009,4.477161584976401,3.775835422989936
