kernel,mult,lam,w,pearson,rmse,mae,delta_r,selected
P1_rbf,0.5,0.3,0.0,0.13732017583454922,11.909956419790854,9.699775719919904,0.0,False
P1_rbf,0.5,0.3,0.1,0.1387504052932926,11.79120032886511,9.620629018609225,0.0014302294587433817,False
P1_rbf,0.5,0.3,0.2,0.14014716311391898,11.687009935677601,9.54480945834942,0.0028269872793697526,False
P1_rbf,0.5,0.3,0.3,0.1414123270571116,11.597777806326182,9.479588647731218,0.0040921512225623735,False
P1_rbf,0.5,0.3,0.4,0.14237932845792525,11.523851423039273,9.41993038135593,0.005059152623376029,False
P1_rbf,0.5,0.3,0.5,0.14277289000608903,11.465526850639852,9.374623612306086,0.0054527141715398075,False
P1_rbf,0.5,0.3,0.6,0.14215332974290976,11.423043074080107,9.341183709943975,0.004833153908360532,False
P1_rbf,0.5,0.3,0.7,0.13985571131575686,11.39657724709145,9.322477087317521,0.0025355354812076347,False
P1_rbf,0.5,0.3,0.8,0.13496719237671473,11.386241065103203,9.311967844078055,-0.0023529834578344955,False
P1_rbf,0.5,0.3,0.9,0.12644417651537798,11.392078432114548,9.313082170022104,-0.010875999319171242,False
P1_rbf,0.5,0.3,1.0,0.11349648747319425,11.414064533782142,9.326078808007114,-0.02382368836135497,False
P1_rbf,0.5,1.0,0.0,0.13732017583454922,11.909956419790854,9.699775719919904,0.0,False
P1_rbf,0.5,1.0,0.1,0.1384224628839735,11.78106858391128,9.614162747726528,0.0011022870494242776,False
P1_rbf,0.5,1.0,0.2,0.13954049515918163,11.668357002236062,9.533977414247566,0.0022203193246324027,False
P1_rbf,0.5,1.0,0.3,0.1406072681754509,11.572294343808728,9.46473518517933,0.0032870923409016872,False
P1_rbf,0.5,1.0,0.4,0.14149216413952997,11.493298078583438,9.401858536967262,0.0041719883049807505,False
P1_rbf,0.5,1.0,0.5,0.14194621588816825,11.431722012098533,9.35205131052011,0.004626040053619024,False
P1_rbf,0.5,1.0,0.6,0.14150262831704138,11.387848729937211,9.315459557618896,0.0041824524824921605,False
P1_rbf,0.5,1.0,0.7,0.13930945554719704,11.361883308909357,9.293397642178585,0.0019892797126478123,False
P1_rbf,0.5,1.0,0.8,0.13390669984918077,11.353948610501973,9.28275310591954,-0.0034134759853684526,False
P1_rbf,0.5,1.0,0.9,0.12314202475191557,11.364082403338708,9.282151007833003,-0.01417815108263365,False
P1_rbf,0.5,1.0,1.0,0.1048430808841543,11.392236469856622,9.296488433844111,-0.03247709495039493,False
P1_rbf,0.5,3.0,0.0,0.13732017583454922,11.909956419790854,9.699775719919904,0.0,False
P1_rbf,0.5,3.0,0.1,0.1376554984293994,11.772687101912208,9.60858086259515,0.00033532259485016813,False
P1_rbf,0.5,3.0,0.2,0.13794407672626774,11.653770149913713,9.524550271820429,0.0006239008917185151,False
P1_rbf,0.5,3.0,0.3,0.13812108497827813,11.553772251684158,9.452023980493736,0.0008009091437289062,False
P1_rbf,0.5,3.0,0.4,0.13806004419322573,11.473188101387986,9.387452813619051,0.0007398683586765098,False
P1_rbf,0.5,3.0,0.5,0.13750764274540012,11.412428952907094,9.343815901610244,0.00018746691085089195,False
P1_rbf,0.5,3.0,0.6,0.13593951475115323,11.371812583302207,9.308621574577504,-0.0013806610833959898,False
P1_rbf,0.5,3.0,0.7,0.1322367865317424,11.351555209909602,9.284879305776593,-0.005083389302806829,False
P1_rbf,0.5,3.0,0.8,0.12400652661167529,11.351765825931151,9.26982824356666,-0.013313649222873938,False
P1_rbf,0.5,3.0,0.9,0.10660890653036792,11.372443294174214,9.279486875732454,-0.030711269304181305,False
P1_rbf,0.5,3.0,1.0,0.07421230599607216,11.413476377551007,9.317563236451727,-0.06310786983847706,False
P1_rbf,0.5,10.0,0.0,0.13732017583454922,11.909956419790854,9.699775719919904,0.0,False
P1_rbf,0.5,10.0,0.1,0.13658016664865452,11.768520121794188,9.605954589831297,-0.0007400091858947022,False
P1_rbf,0.5,10.0,0.2,0.13560083875561021,11.647488099861425,9.519752910272194,-0.0017193370789390094,False
P1_rbf,0.5,10.0,0.3,0.1342600410467522,11.54750195753756,9.446965437064925,-0.003060134787797014,False
P1_rbf,0.5,10.0,0.4,0.1323454295594718,11.469112133283712,9.391610807248448,-0.004974746275077435,False
P1_rbf,0.5,10.0,0.5,0.1294623995032412,11.412763645844905,9.348811289149042,-0.00785777633130802,False
P1_rbf,0.5,10.0,0.6,0.1248164278298665,11.378783950386964,9.31683263471377,-0.012503748004682722,False
P1_rbf,0.5,10.0,0.7,0.1166529032238864,11.367373645078725,9.296317853307528,-0.020667272610662826,False
P1_rbf,0.5,10.0,0.8,0.10074559032794711,11.378600626951382,9.292973767226492,-0.036574585506602114,False
P1_rbf,0.5,10.0,0.9,0.06706790966002417,11.4123980876969,9.324022745811021,-0.07025226617452505,False
P1_rbf,0.5,10.0,1.0,0.0029406164646721125,11.468566485836792,9.362169663501353,-0.1343795593698771,False
P1_rbf,1.0,0.3,0.0,0.13732017583454922,11.909956419790854,9.699775719919904,0.0,False
P1_rbf,1.0,0.3,0.1,0.13938388065968577,11.813925027334383,9.635602938905574,0.002063704825136542,False
P1_rbf,1.0,0.3,0.2,0.14137593030046405,11.728543016528162,9.573533268991039,0.004055754465914829,False
P1_rbf,1.0,0.3,0.3,0.14320296435482377,11.654044454117157,9.517055371424847,0.005882788520274546,False
P1_rbf,1.0,0.3,0.4,0.1447328657848421,11.59063920133138,9.46647553204416,0.007412689950292872,False
P1_rbf,1.0,0.3,0.5,0.14578538189145754,11.538510136116104,9.422301078156154,0.008465206056908314,False
P1_rbf,1.0,0.3,0.6,0.14612567437571777,11.497810632289173,9.388489224297661,0.00880549854116855,False
P1_rbf,1.0,0.3,0.7,0.1454664124220399,11.46866237272784,9.365884521921897,0.008146236587490668,False
P1_rbf,1.0,0.3,0.8,0.1434865200511641,11.451153566876059,9.353311819507933,0.006166344216614883,False
P1_rbf,1.0,0.3,0.9,0.13987451494199227,11.445337632138541,9.350634906391496,0.0025543391074430433,False
P1_rbf,1.0,0.3,1.0,0.1343974209026905,11.45123238450904,9.354805369408691,-0.0029227549318587287,False
P1_rbf,1.0,1.0,0.0,0.13732017583454922,11.909956419790854,9.699775719919904,0.0,False
P1_rbf,1.0,1.0,0.1,0.1389229891136707,11.790078765017661,9.62015072714739,0.0016028132791214844,False
P1_rbf,1.0,1.0,0.2,0.1405797468794114,11.68405516549063,9.544315897242171,0.003259571044862186,False
P1_rbf,1.0,1.0,0.3,0.14223221025285218,11.592265757652434,9.477310839976662,0.004912034418302957,False
P1_rbf,1.0,1.0,0.4,0.1437709262931569,11.51505093965107,9.415113565266093,0.006450750458607685,False
P1_rbf,1.0,1.0,0.5,0.1449989125082143,11.452705503521072,9.36217319037363,0.0076787366736650875,False
P1_rbf,1.0,1.0,0.6,0.1455736857659972,11.4054732921922,9.322958361971624,0.008253509931447967,False
P1_rbf,1.0,1.0,0.7,0.1449240060701614,11.37354259447523,9.299901003335325,0.0076038302356121745,False
P1_rbf,1.0,1.0,0.8,0.14215893121787226,11.357042473226914,9.287983079013102,0.00483875538332304,False
P1_rbf,1.0,1.0,0.9,0.13605020731789694,11.356040189693006,9.284583944276527,-0.0012699685166522867,False
P1_rbf,1.0,1.0,1.0,0.125276435849989,11.37053984215659,9.288544137366403,-0.012043739984560237,False
P1_rbf,1.0,3.0,0.0,0.13732017583454922,11.909956419790854,9.699775719919904,0.0,False
P1_rbf,1.0,3.0,0.1,0.13787019187117958,11.776086373198229,9.610136639847617,0.0005500160366303519,False
P1_rbf,1.0,3.0,0.2,0.13839809488650998,11.659570973616784,9.526585434903774,0.0010779190519607518,False
P1_rbf,1.0,3.0,0.3,0.13884346582188592,11.560934952704443,9.45491256997733,0.0015232899873366956,False
P1_rbf,1.0,3.0,0.4,0.13908745766699637,11.480639152268218,9.388486309870942,0.0017672818324471484,False
P1_rbf,1.0,3.0,0.5,0.13889421676937516,11.419070469201893,9.345461496251012,0.0015740409348259377,False
P1_rbf,1.0,3.0,0.6,0.13778812861872083,11.376532955548363,9.308467934225032,0.00046795278417161024,False
P1_rbf,1.0,3.0,0.7,0.13479886855877224,11.353240527216514,9.28553261042427,-0.002521307275776985,False
P1_rbf,1.0,3.0,0.8,0.1279802941279271,11.349311676091167,9.275922139720466,-0.009339881706622116,False
P1_rbf,1.0,3.0,0.9,0.11382119001719247,11.364766484418475,9.279969877892066,-0.023498985817356752,False
P1_rbf,1.0,3.0,1.0,0.08794503387842718,11.399526114788188,9.313988903215263,-0.04937514195612204,False
P1_rbf,1.0,10.0,0.0,0.13732017583454922,11.909956419790854,9.699775719919904,0.0,False
