seed,model,task,pearson,rmse,mae
4747,R0,WM,0.2782013660684389,11.171609519214645,9.00446271045736
4747,R0,FI,0.38089232471548295,4.535225529721614,3.78209927756147
4747,P1_rbf,WM,0.23309029830067524,11.232539913735382,9.181530669254705
4747,P1_rbf,FI,0.38066985891915717,4.556955291156695,3.847481920422195
4747,P0_linear,WM,0.2662306142868409,11.240857377068577,9.083471023842343
4747,P0_linear,FI,0.3931485470402099,4.557042081675428,3.7712628977248857
4848,R0,WM,0.31754113292314723,10.882437155924482,8.87049481614288
4848,R0,FI,0.3698832452039454,4.573756079804966,3.778363858813018
4848,P1_rbf,WM,0.27201362930573253,11.023100729819523,9.00083833778073
4848,P1_rbf,FI,0.3742724985425735,4.552011337929144,3.8059375836179
4848,P0_linear,WM,0.26901576801719224,11.345859441217144,9.222407106591238
4848,P0_linear,FI,0.35654382895117853,4.604484851994888,3.7953331393055847
4949,R0,WM,0.3106126994750372,11.021080245009864,9.031360732247299
4949,R0,FI,0.36203512617661876,4.610460524570919,3.8345335248127412
4949,P1_rbf,WM,0.24701193833932766,11.159920564889115,9.120187755392589
4949,P1_rbf,FI,0.3535424377096896,4.606114546836264,3.8727040889744764
4949,P0_linear,WM,0.24227339546148302,11.538202601164059,9.32900175501779
4949,P0_linear,FI,0.37027860258494283,4.595437401416742,3.8026733683499203
5050,R0,WM,0.28905632203968606,11.098903924718622,9.027146719556876
5050,R0,FI,0.4001639871398998,4.507154288914856,3.725501351532408
5050,P1_rbf,WM,0.2674128220014211,11.03209216031971,9.02914000862692
5050,P1_rbf,FI,0.393000029017293,4.537650043069574,3.818987726386033
5050,P0_linear,WM,0.2634025641300494,11.298096039258832,9.162076403958013
5050,P0_linear,FI,0.3983559355833396,4.520747328003151,3.7407174004137245
