task,seed,outer_fold,model,pearson,rmse,mae,selected_lambda,selected_r_A,selected_r_S,n_semantic_edges,n_generic_edges,fused_pearson,fused_rmse,fused_mae
working_memory,505,0,joint_baseline,0.2657842809949768,11.492522755014884,9.559777781615002,100.0,1.0,2.0,1105,5565,,,
working_memory,505,0,palf_mpr,0.1867328110413135,11.852037880972452,9.801231915586529,100.0,0.1,0.25,1105,5565,,,
working_memory,505,0,late_fusion_reference,0.3674967538063655,10.786185482829099,8.87749056746876,,,,1105,5565,0.34749380297324106,10.636477648728393,8.777396649863329
working_memory,505,1,joint_baseline,0.43727085655735576,10.504097850706339,8.73138184787293,100.0,1.0,10.0,1105,5565,,,
working_memory,505,1,palf_mpr,0.43727085655735576,10.504097850706339,8.73138184787293,100.0,1.0,10.0,1105,5565,,,
working_memory,505,1,late_fusion_reference,0.4488108818073594,10.110967246899744,8.640111580571821,,,,1105,5565,0.4213727246205233,10.168592557097028,8.556962421217756
working_memory,505,2,joint_baseline,0.25820967194010597,10.528190450679212,8.691348996848953,100.0,1.0,10.0,1105,5565,,,
working_memory,505,2,palf_mpr,0.25820967194010597,10.528190450679212,8.691348996848953,100.0,1.0,10.0,1105,5565,,,
working_memory,505,2,late_fusion_reference,0.16038812474361974,10.22223607440164,8.405960919384484,,,,1105,5565,0.18136468071639866,10.166826757734933,8.369178775947695
working_memory,505,3,joint_baseline,0.3690428971080172,11.665842228251686,9.443957626480426,100.0,1.0,10.0,1105,5565,,,
working_memory,505,3,palf_mpr,0.3690428971080172,11.665842228251686,9.443957626480426,100.0,1.0,10.0,1105,5565,,,
working_memory,505,3,late_fusion_reference,0.38714552870199653,11.288321658417246,9.32151580781054,,,,1105,5565,0.38714552870199653,11.288321658417246,9.32151580781054
working_memory,505,4,joint_baseline,0.14162649849234082,13.454361178081186,10.622236451246522,100.0,1.0,10.0,1105,5565,,,
working_memory,505,4,palf_mpr,0.14162649849234082,13.454361178081186,10.622236451246522,100.0,1.0,10.0,1105,5565,,,
working_memory,505,4,late_fusion_reference,0.1572542953929038,13.012021290565704,10.278068215454425,,,,1105,5565,0.18682960442232088,12.358347788160124,9.76158467336383
working_memory,606,0,joint_baseline,0.2512947615089922,12.16448003489532,9.803226010412901,100.0,1.0,10.0,1105,5565,,,
working_memory,606,0,palf_mpr,0.14414044317619543,13.387511923349228,10.669908865634937,100.0,0.1,10.0,1105,5565,,,
working_memory,606,0,late_fusion_reference,0.22857851119739042,11.99170700767767,9.66872939749684,,,,1105,5565,0.26965156170610377,11.443498813788725,9.55562305573493
working_memory,606,1,joint_baseline,0.2314575101592476,12.175104858257814,9.80318608069644,100.0,1.0,10.0,1105,5565,,,
working_memory,606,1,palf_mpr,0.2314575101592476,12.175104858257814,9.80318608069644,100.0,1.0,10.0,1105,5565,,,
working_memory,606,1,late_fusion_reference,0.21661942756467512,11.903905616909286,9.617676482790722,,,,1105,5565,0.23942681512958067,11.244759268039775,9.045721650985067
working_memory,606,2,joint_baseline,0.12251271106986734,12.508398807567543,10.209930574528657,10.0,1.0,4.0,1105,5565,,,
