task,seed,model,mean_pearson,mean_rmse,mean_mae,mean_fused_pearson,mean_fused_rmse,mean_fused_mae
working_memory,505,joint_baseline,0.29438684101855933,11.52900289254666,9.409740540812766,,,
working_memory,505,palf_mpr,0.27857654702782664,11.600905917738174,9.458031367607072,,,
working_memory,505,late_fusion_reference,0.304219116890449,11.083946350622686,9.104629418138007,0.30484126828689606,10.923713282027546,8.95732766564063
working_memory,606,joint_baseline,0.25488983260048137,11.976961029172756,9.652543774246727,,,
working_memory,606,palf_mpr,0.219714531816868,12.362260447727174,9.952986988022142,,,
working_memory,606,late_fusion_reference,0.26764520955032695,11.447700666436162,9.322946788602277,0.280318627565661,11.073885425357316,9.088863897300168
working_memory,707,joint_baseline,0.25644705651936656,11.860633151208729,9.643640605888084,,,
working_memory,707,palf_mpr,0.2404254265362032,12.035262961538766,9.759684056515656,,,
working_memory,707,late_fusion_reference,0.26046566941205773,11.52242504958109,9.435271955961039,0.2841783555222397,11.072320167824866,8.989399189292929
working_memory,808,joint_baseline,0.28420896365504067,11.683699341499146,9.426621001461239,,,
working_memory,808,palf_mpr,0.25156384621651323,12.035219586505756,9.610753211105068,,,
working_memory,808,late_fusion_reference,0.2914589240786337,11.105644421784643,9.045797773601153,0.28664874637996607,11.029821243963195,8.990882591271504
fluid_intelligence,505,joint_baseline,0.3657701878162366,4.634435260972045,3.7532624139703943,,,
fluid_intelligence,505,palf_mpr,0.3675733217594494,4.631774869886441,3.7483321301718577,,,
fluid_intelligence,505,late_fusion_reference,0.19450325729612866,4.862958665946384,4.068343033822666,0.3692623740521056,4.567664913794502,3.8284125842658234
fluid_intelligence,606,joint_baseline,0.3963171078558844,4.619820617277364,3.852406460968801,,,
fluid_intelligence,606,palf_mpr,0.39558016274521435,4.631494035863094,3.8597265104886938,,,
fluid_intelligence,606,late_fusion_reference,0.2644374477788048,4.781347003999494,4.035159941375697,0.4077418017030386,4.5676961042257656,3.867641764931154
fluid_intelligence,707,joint_baseline,0.3381282692336904,4.696027567513953,3.9012755045058576,,,
fluid_intelligence,707,palf_mpr,0.3440048834050697,4.688680099711235,3.8887278926738746,,,
fluid_intelligence,707,late_fusion_reference,0.21446351295778904,4.990474053986982,4.141004559829808,0.3499623340171284,4.592797508799185,3.9088232635877134
fluid_intelligence,808,joint_baseline,0.3358008922310051,4.693048278045666,3.8753169075108778,,,
fluid_intelligence,808,palf_mpr,0.33655216278612093,4.691289998710799,3.866858360967207,,,
fluid_intelligence,808,late_fusion_reference,0.24094874442280526,4.909508047003021,4.100716671714429,0.3809899332164987,4.538694087556721,3.8206886122608807
