seed,fold,task,prior_type,mask_family,mask_size,lambda_r,laplacian_ratio,expert_w_fc,expert_w_sc,alpha,ncr_final_r,ridge_final_r,baseline_r
1313,0,WM,matched,direct_topk,1200,0.1,1.0,0.7,0.30000000000000004,0.0,0.15591285832392876,0.15591285832392876,0.15591285832392876
1313,0,WM,cross_task,roi_incident,15,1000.0,0.0,0.5,0.5,0.5,0.14182834709304803,0.14182834709304767,0.15591285832392876
1313,0,WM,shuffled,roi_incident,5,0.1,0.3,0.2,0.8,0.0,0.15591285832392876,0.15591285832392876,0.15591285832392876
1313,0,WM,random,direct_topk,1200,0.1,1.0,0.3,0.7,0.5,0.1788314529211777,0.18036760653776207,0.15591285832392876
1313,0,FI,matched,direct_topk,300,100.0,0.0,0.15,0.85,0.3,0.4811713905810552,0.4784312320372156,0.4822554559661981
1313,0,FI,cross_task,roi_incident,5,1000.0,0.0,0.2,0.8,0.2,0.4807723809278344,0.4791786853421188,0.4822554559661981
1313,0,FI,shuffled,direct_topk,100,1000.0,0.0,0.55,0.44999999999999996,0.35,0.5163212941623245,0.5163212941623245,0.4822554559661981
1313,0,FI,random,direct_topk,100,10.0,0.0,0.35,0.65,0.45,0.5185758290099249,0.5199326754909617,0.4822554559661981
1313,1,WM,matched,direct_topk,1200,1000.0,0.0,0.45,0.55,0.0,0.2138630430943273,0.2138630430943273,0.2138630430943273
1313,1,WM,cross_task,direct_topk,600,1000.0,0.0,1.0,0.0,0.0,0.2138630430943273,0.2138630430943273,0.2138630430943273
1313,1,WM,shuffled,roi_incident,10,1000.0,0.0,0.85,0.15000000000000002,0.5,0.27101528099941,0.27101528099940997,0.2138630430943273
1313,1,WM,random,direct_topk,1200,100.0,0.0,0.6,0.4,0.75,0.2877792277848198,0.22724612021036783,0.2138630430943273
1313,1,FI,matched,roi_incident,5,1000.0,0.0,0.45,0.55,0.0,0.3759394237948884,0.3759394237948884,0.3759394237948884
1313,1,FI,cross_task,roi_incident,5,1000.0,0.0,0.55,0.44999999999999996,0.0,0.3759394237948884,0.3759394237948884,0.3759394237948884
1313,1,FI,shuffled,direct_topk,100,100.0,0.0,0.3,0.7,0.3,0.39762120699065695,0.40219503511213217,0.3759394237948884
1313,1,FI,random,roi_incident,15,1000.0,0.0,0.1,0.9,0.0,0.3759394237948884,0.3759394237948884,0.3759394237948884
1313,2,WM,matched,direct_topk,100,1000.0,0.0,0.3,0.7,0.05,0.2565032780655044,0.2598533983381215,0.2529093345076897
1313,2,WM,cross_task,roi_incident,15,1000.0,0.0,0.65,0.35,0.4,0.2704415511190295,0.262633182109233,0.2529093345076897
1313,2,WM,shuffled,roi_incident,15,1000.0,0.0,0.4,0.6,0.1,0.2666667070322121,0.27331795582838686,0.2529093345076897
1313,2,WM,random,roi_incident,10,1000.0,0.0,0.2,0.8,0.6,0.21844729176839928,0.19964638490741266,0.2529093345076897
1313,2,FI,matched,roi_incident,15,1000.0,0.0,0.25,0.75,0.25,0.24388684464418192,0.2467092962053133,0.23435571679380846
1313,2,FI,cross_task,roi_incident,15,100.0,0.0,0.25,0.75,0.2,0.24327548171940128,0.24546858438595284,0.23435571679380846
1313,2,FI,shuffled,roi_incident,15,0.1,1.0,0.2,0.8,0.45,0.25427863536346984,0.25494340108001695,0.23435571679380846
1313,2,FI,random,roi_incident,15,0.1,1.0,0.25,0.75,0.35,0.22986486358119831,0.23893160474794553,0.23435571679380846
1313,3,WM,matched,direct_topk,100,0.1,0.1,1.0,0.0,0.0,0.3876136458268013,0.3876136458268013,0.3876136458268013
