task,prior_type,mean_final_pearson,std_final_pearson,mean_delta_vs_baseline,mean_expert_w_fc,mean_expert_w_sc,mean_alpha,mean_ridge_final_pearson,mean_ridge_delta
WM,matched,0.27489277038588,0.08583136662589352,-0.004640213154436783,0.7474999999999999,0.25250000000000006,0.24,0.27506152299731923,-0.004471460542997546
WM,cross_task,0.2673055938970198,0.09001427991911584,-0.012227389643296985,0.7675,0.2325,0.255,0.26645222297087245,-0.013080760569444308
WM,shuffled,0.278587767467055,0.07845472447464506,-0.0009452160732618141,0.4750000000000001,0.5249999999999999,0.255,0.2851009002080468,0.005567916667730052
WM,random,0.28066758047168655,0.08992221575419275,0.0011345969313698051,0.5775,0.4225,0.265,0.27648990030350484,-0.003043083236811946
FI,matched,0.35361691394840744,0.09297855622301632,-0.0026183098036068842,0.3225,0.6774999999999999,0.225,0.3533949666409153,-0.0028402571110990164
FI,cross_task,0.356241581653978,0.09938501397638794,6.357901963681412e-06,0.2925,0.7075,0.1475,0.3568061262588115,0.0005709025067971399
FI,shuffled,0.3603094467471362,0.0963239466510815,0.004074222995121895,0.255,0.745,0.21500000000000002,0.3598123497828266,0.0035771260308122737
FI,random,0.35353039172507944,0.10362707540112107,-0.0027048320269348904,0.29500000000000004,0.7050000000000001,0.17750000000000002,0.3531276821525832,-0.003107541599431106
