seed,fold,model,lambda_amp,lambda_prior,alpha_WM,alpha_FI,inner_base_r_WM,inner_base_r_FI,residual_prediction_units,eligible,selected,fisher,candidate_r_WM,candidate_delta_WM,candidate_rmse_WM,candidate_residual_sd_WM_raw,candidate_r_FI,candidate_delta_FI,candidate_rmse_FI,candidate_residual_sd_FI_raw
4343,0,C0,0.1,0.0,0.0,0.0,0.1820840121551768,0.3889310118320534,raw_target_units,True,False,0.2973386139221705,0.1820840121551768,0.0,11.87718521056345,13.308916865057869,0.3889310118320534,0.0,4.410212863605922,5.425104932459813
4343,0,C0,0.1,0.0,0.0,0.25,0.1820840121551768,0.3889310118320534,raw_target_units,False,False,0.2709158316893553,0.1820840121551768,0.0,11.87718521056345,13.308916865057869,0.3431815326634712,-0.04574947916858224,4.635927342258357,5.425104932459813
4343,0,C0,0.1,0.0,0.0,0.5,0.1820840121551768,0.3889310118320534,raw_target_units,False,False,0.242354788227305,0.1820840121551768,0.0,11.87718521056345,13.308916865057869,0.29183621597544745,-0.09709479585660596,5.218954521077529,5.425104932459813
4343,0,C0,0.1,0.0,0.0,0.75,0.1820840121551768,0.3889310118320534,raw_target_units,False,False,0.2239458100907673,0.1820840121551768,0.0,11.87718521056345,13.308916865057869,0.2578036884788335,-0.13112732335321992,6.056976920332946,5.425104932459813
4343,0,C0,0.1,0.0,0.0,1.0,0.1820840121551768,0.3889310118320534,raw_target_units,False,False,0.21195805524070097,0.1820840121551768,0.0,11.87718521056345,13.308916865057869,0.23528679479570558,-0.15364421703634784,7.059764279620802,5.425104932459813
4343,0,C0,0.1,0.0,0.25,0.0,0.1820840121551768,0.3889310118320534,raw_target_units,False,False,0.27574239701970815,0.1400189339143494,-0.04206507824082739,12.931354843209487,13.308916865057869,0.3889310118320534,0.0,4.410212863605922,5.425104932459813
4343,0,C0,0.1,0.0,0.25,0.25,0.1820840121551768,0.3889310118320534,raw_target_units,False,False,0.24931961478689296,0.1400189339143494,-0.04206507824082739,12.931354843209487,13.308916865057869,0.3431815326634712,-0.04574947916858224,4.635927342258357,5.425104932459813
4343,0,C0,0.1,0.0,0.25,0.5,0.1820840121551768,0.3889310118320534,raw_target_units,False,False,0.2207585713248427,0.1400189339143494,-0.04206507824082739,12.931354843209487,13.308916865057869,0.29183621597544745,-0.09709479585660596,5.218954521077529,5.425104932459813
4343,0,C0,0.1,0.0,0.25,0.75,0.1820840121551768,0.3889310118320534,raw_target_units,False,False,0.202349593188305,0.1400189339143494,-0.04206507824082739,12.931354843209487,13.308916865057869,0.2578036884788335,-0.13112732335321992,6.056976920332946,5.425104932459813
4343,0,C0,0.1,0.0,0.25,1.0,0.1820840121551768,0.3889310118320534,raw_target_units,False,False,0.19036183833823866,0.1400189339143494,-0.04206507824082739,12.931354843209487,13.308916865057869,0.23528679479570558,-0.15364421703634784,7.059764279620802,5.425104932459813
4343,0,C0,0.1,0.0,0.5,0.0,0.1820840121551768,0.3889310118320534,raw_target_units,False,False,0.2583840439093555,0.10583040301518033,-0.07625360913999647,14.681118874502287,13.308916865057869,0.3889310118320534,0.0,4.410212863605922,5.425104932459813
4343,0,C0,0.1,0.0,0.5,0.25,0.1820840121551768,0.3889310118320534,raw_target_units,False,False,0.23196126167654027,0.10583040301518033,-0.07625360913999647,14.681118874502287,13.308916865057869,0.3431815326634712,-0.04574947916858224,4.635927342258357,5.425104932459813
4343,0,C0,0.1,0.0,0.5,0.5,0.1820840121551768,0.3889310118320534,raw_target_units,False,False,0.20340021821449,0.10583040301518033,-0.07625360913999647,14.681118874502287,13.308916865057869,0.29183621597544745,-0.09709479585660596,5.218954521077529,5.425104932459813
4343,0,C0,0.1,0.0,0.5,0.75,0.1820840121551768,0.3889310118320534,raw_target_units,False,False,0.1849912400779523,0.10583040301518033,-0.07625360913999647,14.681118874502287,13.308916865057869,0.2578036884788335,-0.13112732335321992,6.056976920332946,5.425104932459813
4343,0,C0,0.1,0.0,0.5,1.0,0.1820840121551768,0.3889310118320534,raw_target_units,False,False,0.17300348522788597,0.10583040301518033,-0.07625360913999647,14.681118874502287,13.308916865057869,0.23528679479570558,-0.15364421703634784,7.059764279620802,5.425104932459813
4343,0,C0,0.1,0.0,0.75,0.0,0.1820840121551768,0.3889310118320534,raw_target_units,False,False,0.2469342145883088,0.08313619004262743,-0.09894782211254938,16.911932725293013,13.308916865057869,0.3889310118320534,0.0,4.410212863605922,5.425104932459813
4343,0,C0,0.1,0.0,0.75,0.25,0.1820840121551768,0.3889310118320534,raw_target_units,False,False,0.2205114323554936,0.08313619004262743,-0.09894782211254938,16.911932725293013,13.308916865057869,0.3431815326634712,-0.04574947916858224,4.635927342258357,5.425104932459813
4343,0,C0,0.1,0.0,0.75,0.5,0.1820840121551768,0.3889310118320534,raw_target_units,False,False,0.19195038889344332,0.08313619004262743,-0.09894782211254938,16.911932725293013,13.308916865057869,0.29183621597544745,-0.09709479585660596,5.218954521077529,5.425104932459813
4343,0,C0,0.1,0.0,0.75,0.75,0.1820840121551768,0.3889310118320534,raw_target_units,False,False,0.17354141075690563,0.08313619004262743,-0.09894782211254938,16.911932725293013,13.308916865057869,0.2578036884788335,-0.13112732335321992,6.056976920332946,5.425104932459813
4343,0,C0,0.1,0.0,0.75,1.0,0.1820840121551768,0.3889310118320534,raw_target_units,False,False,0.1615536559068393,0.08313619004262743,-0.09894782211254938,16.911932725293013,13.308916865057869,0.23528679479570558,-0.15364421703634784,7.059764279620802,5.425104932459813
4343,0,C0,0.1,0.0,1.0,0.0,0.1820840121551768,0.3889310118320534,raw_target_units,False,False,0.2392727329864221,0.06790091768850831,-0.1141830944666685,19.459049035698172,13.308916865057869,0.3889310118320534,0.0,4.410212863605922,5.425104932459813
4343,0,C0,0.1,0.0,1.0,0.25,0.1820840121551768,0.3889310118320534,raw_target_units,False,False,0.21284995075360688,0.06790091768850831,-0.1141830944666685,19.459049035698172,13.308916865057869,0.3431815326634712,-0.04574947916858224,4.635927342258357,5.425104932459813
4343,0,C0,0.1,0.0,1.0,0.5,0.1820840121551768,0.3889310118320534,raw_target_units,False,False,0.18428890729155661,0.06790091768850831,-0.1141830944666685,19.459049035698172,13.308916865057869,0.29183621597544745,-0.09709479585660596,5.218954521077529,5.425104932459813
4343,0,C0,0.1,0.0,1.0,0.75,0.1820840121551768,0.3889310118320534,raw_target_units,False,False,0.16587992915501892,0.06790091768850831,-0.1141830944666685,19.459049035698172,13.308916865057869,0.2578036884788335,-0.13112732335321992,6.056976920332946,5.425104932459813
4343,0,C0,0.1,0.0,1.0,1.0,0.1820840121551768,0.3889310118320534,raw_target_units,False,False,0.15389217430495258,0.06790091768850831,-0.1141830944666685,19.459049035698172,13.308916865057869,0.23528679479570558,-0.15364421703634784,7.059764279620802,5.425104932459813
4343,0,C0,1.0,0.0,0.0,0.0,0.1820840121551768,0.3889310118320534,raw_target_units,True,False,0.2973386139221705,0.1820840121551768,0.0,11.87718521056345,9.612267517167686,0.3889310118320534,0.0,4.410212863605922,3.696821343218399
4343,0,C0,1.0,0.0,0.0,0.25,0.1820840121551768,0.3889310118320534,raw_target_units,False,False,0.28433930529637763,0.1820840121551768,0.0,11.87718521056345,9.612267517167686,0.3666448063895919,-0.022286205442461515,4.502580600102314,3.696821343218399
4343,0,C0,1.0,0.0,0.0,0.5,0.1820840121551768,0.3889310118320534,raw_target_units,False,False,0.2621771349225777,0.1820840121551768,0.0,11.87718521056345,9.612267517167686,0.32767106276484703,-0.06125994906720639,4.775529519466779,3.696821343218399
4343,0,C0,1.0,0.0,0.0,0.75,0.1820840121551768,0.3889310118320534,raw_target_units,False,False,0.244027538076837,0.1820840121551768,0.0,11.87718521056345,9.612267517167686,0.29489378826395973,-0.09403722356809369,5.200704557553508,3.696821343218399
4343,0,C0,1.0,0.0,0.0,1.0,0.1820840121551768,0.3889310118320534,raw_target_units,False,False,0.2306019178389502,0.1820840121551768,0.0,11.87718521056345,9.612267517167686,0.27018790422221994,-0.11874310760983348,5.7444032911517775,3.696821343218399
