seed,fold,model,r_WM,rmse_WM,mae_WM,r_FI,rmse_FI,mae_FI,alpha_WM,alpha_FI
4343,0,A0,0.33139011145594943,11.150536904626982,8.873219176908059,0.3462619169787975,5.034455960311019,4.403031922791007,0.0,0.0
4343,0,B0,0.33139011145594943,11.150536904626982,8.873219176908059,0.34414268541647475,5.053584692681965,4.411919868871871,0.0,0.25
4343,0,B1,0.2133703877276675,11.990308027394324,9.47775292300494,0.32365864305027875,5.136551914403591,4.461120694986142,0.5,0.5
4343,0,C0,0.33139011145594943,11.150536904626982,8.873219176908059,0.3462619169787975,5.034455960311019,4.403031922791007,0.0,0.0
4343,0,C1,0.24646712863327516,12.65374187579289,10.070418341940236,0.3462619169787975,5.034455960311019,4.403031922791007,1.0,0.0
4343,0,C2,0.31126014523794954,11.33659731417222,8.8537532232531,0.3805299950059695,4.980661576647713,4.309637715165972,1.0,0.5
4343,0,C3,0.30311926384008503,11.77401969766674,9.383170015975281,0.3462619169787975,5.034455960311019,4.403031922791007,0.75,0.0
4343,0,C4,0.29923456252822406,12.069445349303791,9.712949470209564,0.3462619169787975,5.034455960311019,4.403031922791007,1.0,0.0
4343,1,A0,0.43775422782331336,10.910762774939093,8.920531850608386,0.46250054245054584,4.352849246238028,3.598193267710058,0.0,0.0
4343,1,B0,0.408255636979876,11.046523500098713,9.109884899781129,0.4645809588559305,4.301339244661578,3.442573261766985,0.25,0.5
4343,1,B1,0.43763553893599133,10.900729212048926,8.94991118138058,0.4779995100238558,4.2822517880466275,3.4712761128650538,1.0,0.25
4343,1,C0,0.4055637316899377,12.214696080357031,10.601345249914614,0.42691782788081367,4.389832087457543,3.5098415871177484,0.75,0.25
4343,1,C1,0.42790560611748996,11.123484091142585,9.348448146292322,0.46250054245054584,4.352849246238028,3.598193267710058,0.5,0.0
4343,1,C2,0.4652389348889981,10.70788307084951,8.92228779383716,0.4445669713230021,4.354076443254219,3.5899497530453144,0.25,0.25
4343,1,C3,0.4498383605678483,10.80025790495486,8.942722813560716,0.4576612431088717,4.3229752346879975,3.5481545228605067,0.25,0.25
4343,1,C4,0.44789804548465384,10.851231337010653,8.873253747077532,0.4558482588957777,4.333947163417887,3.590355226108051,0.25,0.75
4343,2,A0,0.06218056705142484,11.339683653354294,8.687334459631728,0.2874680905023482,4.975691458349966,4.073859785099767,0.0,0.0
4343,2,B0,0.06218056705142484,11.339683653354294,8.687334459631728,0.3408491694033586,4.932994213374885,3.9456728672325068,0.0,0.5
