seed,model,r_WM,r_FI,rmse_WM,rmse_FI,mae_WM,mae_FI
4343,A0,0.24389552129691228,0.3786321427866911,11.381260853277137,4.569290234654811,9.155919432637539,3.825962036832356
4343,B0,0.2374701606767057,0.3907561107538974,11.446538843135594,4.5691547732520625,9.24550283943469,3.7872054654672693
4343,B1,0.20695581300691232,0.37180533620652606,11.753425861222915,4.626311541915733,9.446950149334516,3.8388953173127467
4343,C0,0.2346684025846666,0.36241462940587227,11.701194714266066,4.639008360820309,9.556929984845883,3.8591738193293517
4343,C1,0.2365508536300111,0.3905242595229518,11.734455330870174,4.606788468701833,9.463322458044242,3.855219618675985
4343,C2,0.2506090881044309,0.405794003950556,11.376458458029118,4.54496991710539,9.14682599422613,3.7986864234159925
4343,C3,0.24339838439553518,0.40080537832774266,11.498232409598703,4.549362653705472,9.27362506613911,3.8001668522043737
4343,C4,0.2504940360863882,0.37500067882516036,11.55283175135164,4.610384022811293,9.292330937653428,3.843163666892496
4444,A0,0.30481985731291783,0.3836427839161219,11.001424006889938,4.522342322477641,8.894009893783856,3.776318818716843
4444,B0,0.2997010679665652,0.36528635699523093,11.0473327041996,4.595756337368573,8.949914290720846,3.807697662280559
4444,B1,0.29741017108917334,0.3416581436838748,11.24108939579614,4.66830745081136,9.087029110434475,3.8419424722618145
4444,C0,0.30481985731291783,0.35878061863348554,11.001424006889938,4.617280389849077,8.894009893783856,3.8256143856715354
4444,C1,0.30214190503239613,0.38764400506159225,11.071082628593022,4.517516228562744,8.948122836730727,3.762036419513701
4444,C2,0.2927316272970083,0.38751776579164326,11.145108186256225,4.514582641076072,9.005761104300612,3.7609800145368135
4444,C3,0.31046854310867056,0.3927835648281454,11.031905441862268,4.503455557870017,8.95351354359176,3.7534975644687263
4444,C4,0.29974455424464297,0.3893654368879084,11.115316997210009,4.525574358151315,9.044958815999703,3.791396423860796
4545,A0,0.27659055423548584,0.40661444950522263,11.220588277709034,4.497772193538173,9.072768969381684,3.7540704359475847
4545,B0,0.24921666171871135,0.36446418389673474,11.65015745044589,4.618687611563318,9.354104453131574,3.760091366800296
4545,B1,0.24900564318978455,0.3779936536805157,11.730590360821209,4.574033868217646,9.440871513849974,3.8086590140249412
4545,C0,0.2706335770665561,0.37061994505585966,11.740343636232115,4.591587140458185,9.384219020454339,3.7723919266575736
4545,C1,0.23636159305489005,0.37093607039121784,12.071852489167046,4.655827953949336,9.648313934493764,3.8134755574073997
4545,C2,0.25916674942093954,0.3730442130649216,11.573115605854664,4.604920508748935,9.280437090967519,3.8018633688811563
4545,C3,0.2231130312970258,0.3762676014663547,11.66609532381147,4.572356462917206,9.448759978728239,3.7763110863341978
4545,C4,0.25674567629319983,0.3632458855386738,11.426782204863745,4.671371034536257,9.224060001637898,3.835881114596711
4646,A0,0.22759846510294873,0.35993129556199627,11.236886506118628,4.591015248588808,9.15608140290659,3.8207643446647177
4646,B0,0.21964751593372434,0.3461785051258805,11.429514869170223,4.653418041083749,9.340295388276443,3.854430642354726
4646,B1,0.22354260366851597,0.35685616037901424,11.600449463408555,4.632710292663534,9.416552857803934,3.8340343192112663
4646,C0,0.22759846510294873,0.34929490691421056,11.236886506118628,4.618198420313526,9.15608140290659,3.838487741976563
4646,C1,0.1889083426254271,0.34275938711828213,11.770735495305779,4.647527667651184,9.549300892872262,3.84286546858459
4646,C2,0.19372816225562878,0.3418771816734499,11.607743082948463,4.694707473643557,9.42852871595875,3.871097149265173
4646,C3,0.209737688128575,0.3554744690637395,11.425153408727283,4.612947088402611,9.304952074937656,3.810641802456608
4646,C4,0.21284134839767138,0.35518473525239047,11.354931258963262,4.61670047405296,9.214823800887915,3.832251172174945
