roi_index,prior_score
1,0.1075268817204301
2,0.1075268817204301
3,1.0
4,0.978494623655914
5,0.2365591397849462
6,0.2150537634408602
7,0.956989247311828
8,0.935483870967742
9,0.2150537634408602
10,0.1935483870967742
11,0.8817204301075268
12,0.7526881720430106
13,0.5913978494623656
14,0.4838709677419354
15,0.1935483870967742
16,0.1720430107526881
17,0.086021505376344
18,0.086021505376344
19,0.3763440860215053
20,0.3440860215053763
21,0.0
22,0.0
23,0.1290322580645161
24,0.1290322580645161
25,0.2150537634408602
26,0.1935483870967742
27,0.1075268817204301
28,0.1075268817204301
29,0.4516129032258064
30,0.4086021505376344
31,0.5376344086021505
32,0.5161290322580645
33,0.3010752688172043
34,0.2795698924731182
35,0.1075268817204301
36,0.1075268817204301
37,0.1935483870967742
38,0.1720430107526881
39,0.1505376344086021
40,0.1290322580645161
41,0.043010752688172
42,0.043010752688172
43,0.021505376344086
44,0.021505376344086
45,0.075268817204301
46,0.075268817204301
47,0.053763440860215
48,0.053763440860215
49,0.053763440860215
50,0.053763440860215
51,0.032258064516129
52,0.032258064516129
53,0.032258064516129
54,0.032258064516129
55,0.064516129032258
56,0.064516129032258
57,0.086021505376344
58,0.086021505376344
59,0.8817204301075268
60,0.9247311827956988
61,0.7741935483870968
62,0.8064516129032258
63,0.8924731182795698
64,0.7741935483870968
65,0.7526881720430106
66,0.7849462365591398
67,0.1290322580645161
68,0.1290322580645161
69,0.1075268817204301
70,0.1075268817204301
71,0.3870967741935484
72,0.3548387096774194
73,0.3548387096774194
74,0.3225806451612903
75,0.2365591397849462
76,0.2150537634408602
77,0.5591397849462365
78,0.5376344086021505
79,0.1290322580645161
80,0.1075268817204301
81,0.7204301075268817
82,0.5913978494623656
83,0.3440860215053763
84,0.3010752688172043
85,0.5161290322580645
86,0.4301075268817204
87,0.3010752688172043
88,0.2580645161290322
89,0.3548387096774194
90,0.3010752688172043
91,0.4086021505376344
92,0.3763440860215053
93,0.3870967741935484
94,0.3548387096774194
95,0.2365591397849462
96,0.2150537634408602
97,0.1935483870967742
98,0.1720430107526881
99,0.4731182795698924
100,0.4516129032258064
101,0.4516129032258064
102,0.4301075268817204
103,0.3010752688172043
104,0.2795698924731182
105,0.2580645161290322
106,0.2365591397849462
107,0.3655913978494624
108,0.3440860215053763
109,0.021505376344086
110,0.021505376344086
111,0.021505376344086
112,0.043010752688172
113,0.043010752688172
114,0.032258064516129
115,0.032258064516129
116,0.043010752688172
