roi_index,prior_score
1,0.0526315789473684
2,0.0526315789473684
3,1.0
4,0.9684210526315792
5,0.1052631578947368
6,0.1052631578947368
7,0.9473684210526316
8,0.9263157894736842
9,0.1052631578947368
10,0.1052631578947368
11,0.5473684210526316
12,0.5263157894736842
13,0.3368421052631579
14,0.3157894736842105
15,0.1052631578947368
16,0.1052631578947368
17,0.0526315789473684
18,0.0526315789473684
19,0.4
20,0.4
21,0.0
22,0.0
23,0.7368421052631579
24,0.7157894736842106
25,0.1052631578947368
26,0.1052631578947368
27,0.1052631578947368
28,0.1052631578947368
29,0.4736842105263158
30,0.4526315789473684
31,0.7894736842105263
32,0.768421052631579
33,0.5263157894736842
34,0.5052631578947369
35,0.4421052631578947
36,0.4421052631578947
37,0.231578947368421
38,0.231578947368421
39,0.1894736842105263
40,0.1894736842105263
41,0.1263157894736842
42,0.1263157894736842
43,0.0
44,0.0
45,0.0526315789473684
46,0.0526315789473684
47,0.0526315789473684
48,0.0526315789473684
49,0.0526315789473684
50,0.0526315789473684
51,0.0526315789473684
52,0.0526315789473684
53,0.0526315789473684
54,0.0526315789473684
55,0.0842105263157894
56,0.0842105263157894
57,0.0526315789473684
58,0.0526315789473684
59,0.9473684210526316
60,0.9684210526315792
61,0.6105263157894737
62,0.6105263157894737
63,0.8947368421052632
64,0.8947368421052632
65,0.8947368421052632
66,0.9157894736842106
67,0.6526315789473685
68,0.6526315789473685
69,0.0526315789473684
70,0.0526315789473684
71,0.5263157894736842
72,0.5052631578947369
73,0.4
74,0.4
75,0.231578947368421
76,0.231578947368421
77,0.4421052631578947
78,0.4421052631578947
79,0.0526315789473684
80,0.0526315789473684
81,0.2947368421052632
82,0.2736842105263158
83,0.1263157894736842
84,0.1263157894736842
85,0.1894736842105263
86,0.1894736842105263
87,0.1263157894736842
88,0.1263157894736842
89,0.1263157894736842
90,0.1263157894736842
91,0.3684210526315789
92,0.3684210526315789
93,0.3684210526315789
94,0.3684210526315789
95,0.2947368421052632
96,0.2947368421052632
97,0.2947368421052632
98,0.2947368421052632
99,0.6105263157894737
100,0.6105263157894737
101,0.6526315789473685
102,0.6526315789473685
103,0.6105263157894737
104,0.6105263157894737
105,0.5473684210526316
106,0.5473684210526316
107,0.5473684210526316
108,0.5473684210526316
109,0.1052631578947368
110,0.1052631578947368
111,0.1263157894736842
112,0.1263157894736842
113,0.1578947368421052
114,0.1578947368421052
115,0.1578947368421052
116,0.1894736842105263
