seed,fold,model,rW,rF,rmW,rmF,maW,maF,n_tr,n_te
3535,0,A0,0.2551460465309718,0.371093453264227,12.164731419429271,4.540166391017978,10.035799048128302,3.5629388028938873,329,83
3535,0,B0,0.2551460465309718,0.371093453264227,12.164731419429271,4.540166391017978,10.035799048128302,3.5629388028938873,329,83
3535,0,B1,0.2551460465309718,0.371093453264227,12.164731419429271,4.540166391017978,10.035799048128302,3.5629388028938873,329,83
3535,0,C0,0.26058876061489766,0.371093453264227,12.164186567742938,4.540166391017978,10.019957056277393,3.5629388028938873,329,83
3535,0,C1,0.2551460465309718,0.21243369269167303,12.164731419429271,6.462368370966196,10.035799048128302,5.100772540124567,329,83
3535,0,C2,0.2551460465309718,0.3705485186025603,12.164731419429271,4.990998389741763,10.035799048128302,3.7517343879783627,329,83
3535,0,C3,0.2555463344544615,0.371093453264227,12.178418955756374,4.540166391017978,10.07683895552467,3.5629388028938873,329,83
3535,0,C4,0.2551460465309718,0.371093453264227,12.164731419429271,4.540166391017978,10.035799048128302,3.5629388028938873,329,83
3535,1,A0,0.21648697834869582,0.35993143177144193,12.351224168084892,4.698231587387264,10.149335702594357,3.82667013936248,329,83
3535,1,B0,0.21648697834869582,0.35993143177144193,12.351224168084892,4.698231587387264,10.149335702594357,3.82667013936248,329,83
3535,1,B1,0.21648697834869582,0.35993143177144193,12.351224168084892,4.698231587387264,10.149335702594357,3.82667013936248,329,83
3535,1,C0,0.21648697834869582,0.35993143177144193,12.351224168084892,4.698231587387264,10.149335702594357,3.82667013936248,329,83
3535,1,C1,0.21648697834869582,0.35993143177144193,12.351224168084892,4.698231587387264,10.149335702594357,3.82667013936248,329,83
3535,1,C2,0.21648697834869582,0.35993143177144193,12.351224168084892,4.698231587387264,10.149335702594357,3.82667013936248,329,83
3535,1,C3,0.21648697834869582,0.35993143177144193,12.351224168084892,4.698231587387264,10.149335702594357,3.82667013936248,329,83
3535,1,C4,0.2396609663320991,0.35993143177144193,12.189369169684817,4.698231587387264,9.977912279729294,3.82667013936248,329,83
3535,2,A0,0.15708432021436158,0.543766512275872,11.404488750183988,4.449683177065249,9.24435208098976,3.7259275314482077,330,82
3535,2,B0,0.15708432021436158,0.5408300290344982,11.404488750183988,4.459345626814474,9.24435208098976,3.768408496291564,330,82
