task,condition,seed,model,mean_pearson,mean_rmse,mean_mae,n_folds
working_memory,R0,0,fc,0.24105008043972115,12.565748090018314,10.283234432132065,5
working_memory,R0,0,sc,0.1545590367290333,11.989127433718954,9.672281473511477,5
working_memory,R0,0,fp,0.26574074388043395,11.668866993806587,9.52341792739802,5
working_memory,R0,0,fused,0.2602507907586447,11.654599965118674,9.506368621072273,5
working_memory,R0,0,equal_weight,0.26438157830323483,11.38337925729499,9.244217771803799,5
working_memory,R0,1,fc,0.2659107833524295,12.15157396348525,9.798228064330084,5
working_memory,R0,1,sc,0.12737921740403083,12.136407817169195,9.869711657689097,5
working_memory,R0,1,fp,0.29374698082805784,11.361591064738093,9.258097664522115,5
working_memory,R0,1,fused,0.2632846986523294,11.353144752316869,9.288401359160067,5
working_memory,R0,1,equal_weight,0.26225241596474774,11.30069207874762,9.24096887185991,5
working_memory,R0,2,fc,0.29424756875123287,12.307399520808783,9.96320732335013,5
working_memory,R0,2,sc,0.1526215476431127,11.966425473301573,9.757997439399128,5
working_memory,R0,2,fp,0.3049092074407823,11.386266679453874,9.311375063748553,5
working_memory,R0,2,fused,0.29596228553223175,11.64123536972713,9.360891961567436,5
working_memory,R0,2,equal_weight,0.3008335899214658,11.180116735633362,9.063290951250192,5
working_memory,R0,3,fc,0.2596077683614047,12.354167307142125,10.14868157474323,5
working_memory,R0,3,sc,0.12821697770748955,12.095668314237844,9.846121181207772,5
working_memory,R0,3,fp,0.2805636766524103,11.417212495922927,9.364522514133208,5
working_memory,R0,3,fused,0.27573752996843187,11.326790399706262,9.155718652452535,5
working_memory,R0,3,equal_weight,0.26512572520603833,11.284711200742219,9.139916614114593,5
working_memory,R0,4,fc,0.22616473365673792,12.569071329981574,10.216317219650046,5
working_memory,R0,4,sc,0.11878365017151786,12.179381386690823,9.925331959849084,5
working_memory,R0,4,fp,0.24689809569689397,11.412278443376252,9.278921642962032,5
working_memory,R0,4,fused,0.2400470936091732,11.854247059387097,9.638263496349674,5
working_memory,R0,4,equal_weight,0.24174303612987497,11.431208832299209,9.318264649548214,5
working_memory,R0,5,fc,0.2241449585709764,12.760107355058619,10.270812077336036,5
working_memory,R0,5,sc,0.05664177150729708,12.590692734311466,10.182680268836402,5
working_memory,R0,5,fp,0.25313444026797594,11.916015049763043,9.571883135805027,5
working_memory,R0,5,fused,0.17893581486949056,11.999920923248748,9.725236372545234,5
working_memory,R0,5,equal_weight,0.20274720038892005,11.694098902477764,9.456092341665421,5
working_memory,R0,6,fc,0.2422784105615276,12.425919125925589,10.161169901294963,5
working_memory,R0,6,sc,0.14471254944053175,11.986849428565568,9.685772726422934,5
working_memory,R0,6,fp,0.24818902445944416,11.48952830942109,9.420015836407176,5
working_memory,R0,6,fused,0.2455453758741757,11.771103871497516,9.54524323126078,5
working_memory,R0,6,equal_weight,0.261094178673026,11.294271057308274,9.18303284583172,5
working_memory,R0,7,fc,0.24231435407936788,12.630577697249684,10.217190891387657,5
working_memory,R0,7,sc,0.08728795967208323,12.385968857526839,9.996111927014642,5
working_memory,R0,7,fp,0.27139459079143735,11.400862198152979,9.323924991426301,5
working_memory,R0,7,fused,0.2360487231211355,11.845569576915768,9.587985310318157,5
working_memory,R0,7,equal_weight,0.23967994214086055,11.469267876436778,9.229456624021859,5
working_memory,R0,8,fc,0.30575178735498004,12.04206133875238,9.724318918939463,5
working_memory,R0,8,sc,0.18245715244138277,11.732377737477398,9.534447066774382,5
working_memory,R0,8,fp,0.29430814436658215,11.545745846519043,9.324668664463793,5
working_memory,R0,8,fused,0.3045344731344698,11.492917907023365,9.322598901905977,5
working_memory,R0,8,equal_weight,0.32622634276706647,10.925491315048333,8.91816927384232,5
working_memory,R0,9,fc,0.297866020077338,12.113634797460001,9.599500090777923,5
working_memory,R0,9,sc,0.16708868690793033,11.923376616807912,9.638328762013668,5
working_memory,R0,9,fp,0.29234515772811037,11.673545388887224,9.235736213582662,5
working_memory,R0,9,fused,0.27246710401795693,11.457944953254046,9.2765229413569,5
working_memory,R0,9,equal_weight,0.31143922996962126,11.083162765390956,8.885287383016689,5
working_memory,R1,0,fc,0.24105008043972115,12.565748090018314,10.283234432132065,5
working_memory,R1,0,sc,0.1545590367290333,11.989127433718954,9.672281473511477,5
working_memory,R1,0,fp,0.2463570123855779,11.708936001636136,9.475540959362196,5
working_memory,R1,0,fused,0.2603106385993172,11.367000574873481,9.232392287593026,5
working_memory,R1,0,equal_weight,0.24728489513552976,11.333440483180993,9.218771259462919,5
working_memory,R1,1,fc,0.2659107833524295,12.15157396348525,9.798228064330084,5
working_memory,R1,1,sc,0.12737921740403083,12.136407817169195,9.869711657689097,5
working_memory,R1,1,fp,0.28863166414790903,11.124692655985566,9.082502195209038,5
working_memory,R1,1,fused,0.26319084733375153,11.098717151074336,9.127508798126794,5
working_memory,R1,1,equal_weight,0.25056448180095436,11.123030254854829,9.157915210919212,5
working_memory,R1,2,fc,0.29424756875123287,12.307399520808783,9.96320732335013,5
working_memory,R1,2,sc,0.1526215476431127,11.966425473301573,9.757997439399128,5
working_memory,R1,2,fp,0.29305718098362993,11.529474038095696,9.36058215225528,5
working_memory,R1,2,fused,0.2923432811099648,11.274531757376606,9.134925749874181,5
working_memory,R1,2,equal_weight,0.27538173113681647,11.148876224288717,9.08325555450467,5
working_memory,R1,3,fc,0.2596077683614047,12.354167307142125,10.14868157474323,5
working_memory,R1,3,sc,0.12821697770748955,12.095668314237844,9.846121181207772,5
working_memory,R1,3,fp,0.29839021259090936,11.10938808074297,9.027162287393002,5
working_memory,R1,3,fused,0.2859527591833177,10.995968943899154,8.924151897809516,5
working_memory,R1,3,equal_weight,0.26564608686726326,11.051585000824339,9.035716877992002,5
working_memory,R1,4,fc,0.22616473365673792,12.569071329981574,10.216317219650046,5
working_memory,R1,4,sc,0.11878365017151786,12.179381386690823,9.925331959849084,5
working_memory,R1,4,fp,0.24855196768837481,11.286612349751568,9.165654167287197,5
working_memory,R1,4,fused,0.24582735433887568,11.21749777376851,9.10504858567759,5
working_memory,R1,4,equal_weight,0.21792291965453287,11.27545007377982,9.21435227933718,5
working_memory,R1,5,fc,0.2241449585709764,12.760107355058619,10.270812077336036,5
working_memory,R1,5,sc,0.05664177150729708,12.590692734311466,10.182680268836402,5
working_memory,R1,5,fp,0.24753810595171943,11.738247294524232,9.349081156160935,5
working_memory,R1,5,fused,0.19209686249129815,11.678066791670894,9.438970063153636,5
working_memory,R1,5,equal_weight,0.19177480631458618,11.55718451162998,9.39732934686607,5
working_memory,R1,6,fc,0.2422784105615276,12.425919125925589,10.161169901294963,5
working_memory,R1,6,sc,0.14471254944053175,11.986849428565568,9.685772726422934,5
working_memory,R1,6,fp,0.26675252432290775,11.040801233681684,8.953888659981944,5
working_memory,R1,6,fused,0.23447979166066424,11.134265861410936,9.0371746714324,5
working_memory,R1,6,equal_weight,0.24190581053540897,11.111537002196801,9.053856211619335,5
working_memory,R1,7,fc,0.24231435407936788,12.630577697249684,10.217190891387657,5
working_memory,R1,7,sc,0.08728795967208323,12.385968857526839,9.996111927014642,5
working_memory,R1,7,fp,0.28285307924403086,11.206760001739237,9.099148169184163,5
working_memory,R1,7,fused,0.25400761611533007,11.176422057192493,9.100550148591532,5
working_memory,R1,7,equal_weight,0.2221476801141616,11.28035077050539,9.207701213231383,5
working_memory,R1,8,fc,0.30575178735498004,12.04206133875238,9.724318918939463,5
working_memory,R1,8,sc,0.18245715244138277,11.732377737477398,9.534447066774382,5
working_memory,R1,8,fp,0.31784538924710815,10.878379592045395,8.745326083336597,5
working_memory,R1,8,fused,0.30281421944070847,10.879214631782606,8.916537493042485,5
working_memory,R1,8,equal_weight,0.31551140018467716,10.83855312617336,8.853376215072272,5
working_memory,R1,9,fc,0.297866020077338,12.113634797460001,9.599500090777923,5
working_memory,R1,9,sc,0.16708868690793033,11.923376616807912,9.638328762013668,5
working_memory,R1,9,fp,0.2843524909627638,11.504555052129287,9.202950473460644,5
working_memory,R1,9,fused,0.2471581593454745,11.452019416895848,9.303301072398538,5
working_memory,R1,9,equal_weight,0.28191464426632634,11.105792997078776,8.988987815721416,5
working_memory,R2,0,fc,0.24105008043972115,12.565748090018314,10.283234432132065,5
working_memory,R2,0,sc,0.1545590367290333,11.989127433718954,9.672281473511477,5
working_memory,R2,0,fp,0.2617397932620785,11.939504654078428,9.730524321461512,5
working_memory,R2,0,fused,0.2695309285932112,11.441940388235743,9.334591661923785,5
