task,condition,model,mean_pearson,std_pearson,mean_rmse,mean_mae,n_seeds
working_memory,R0,fc,0.2599336465205716,0.030094942663532385,12.392026052588232,10.03826604939416,10
working_memory,R0,sc,0.13197485496244096,0.03765525650394482,12.098627579980757,9.810878446271857,10
working_memory,R0,fp,0.275123006211213,0.02117612136542944,11.527191247004108,9.361256365444886,10
working_memory,R0,fused,0.257281388953804,0.03554147483069161,11.639747477819547,9.440723084798904,10
working_memory,R0,equal_weight,0.2675523239464856,0.03682507507503646,11.304640002137951,9.167869732695472,10
working_memory,R1,fc,0.2599336465205716,0.030094942663532385,12.392026052588232,10.03826604939416,10
working_memory,R1,sc,0.13197485496244096,0.03765525650394482,12.098627579980757,9.810878446271857,10
working_memory,R1,fp,0.2751230062112129,0.02117612136542963,11.527191247004108,9.361256365444886,10
working_memory,R1,fused,0.26351477359024333,0.03239731619287489,11.292921002711033,9.196209542309225,10
working_memory,R1,equal_weight,0.2645622725433126,0.03414333328254982,11.171369028964094,9.116803947751448,10
working_memory,R2,fc,0.2599336465205716,0.030094942663532385,12.392026052588232,10.03826604939416,10
working_memory,R2,sc,0.13197485496244096,0.03765525650394482,12.098627579980757,9.810878446271857,10
working_memory,R2,fp,0.2760426556932297,0.021639895795877,11.574102767586322,9.373247099176577,10
working_memory,R2,fused,0.26282092403276447,0.03649919835343058,11.309949775212148,9.20446342352096,10
working_memory,R2,equal_weight,0.2650564252282802,0.03423093706534471,11.185379887091045,9.11943179754203,10
working_memory,R3,fc,0.2599336465205716,0.030094942663532385,12.392026052588232,10.03826604939416,10
working_memory,R3,sc,0.13197485496244096,0.03765525650394482,12.098627579980757,9.810878446271857,10
working_memory,R3,fp,0.2760426556932296,0.02163989579587725,11.574102767586329,9.373247099176584,10
working_memory,R3,fused,0.26282092403276425,0.036499198353430844,11.30994977521215,9.204463423520966,10
working_memory,R3,equal_weight,0.26505642522828016,0.03423093706534501,11.185379887091049,9.119431797542031,10
