edge_index,roi_i_0based,roi_j_0based,roi_i_1based,roi_j_1based,mean_signed_coef,mean_abs_coef,median_abs_coef,rank_mean_abs,roi_i_name,roi_j_name,top10_frequency,top20_frequency,top50_frequency,sign_consistency
6640,107,114,108,115,-0.0015738255941147522,0.0015738255941147522,0.0015738255941147522,5463,Cerebelum_10_R,Vermis_9,0.0,0.0,0.0,1.0
1061,9,72,10,73,-0.0015518162848940518,0.0015518162848940518,0.0015518162848940518,5464,Frontal_Mid_Orb_R,Putamen_L,0.0,0.0,0.0,1.0
4601,51,63,52,64,0.0015447614357455013,0.0015447614357455013,0.0015447614357455013,5465,Occipital_Mid_R,SupraMarginal_R,0.0,0.0,0.0,1.0
3342,33,109,34,110,0.0015321446737858173,0.0015321446737858173,0.0015321446737858173,5466,Cingulum_Mid_R,Vermis_3,0.0,0.0,0.0,1.0
2161,20,72,21,73,-0.0015267970044166707,0.0015267970044166707,0.0015267970044166707,5467,Olfactory_L,Putamen_L,0.0,0.0,0.0,1.0
6028,79,104,80,105,-0.0015113640227717255,0.0015113640227717255,0.0015113640227717255,5468,Heschl_R,Cerebelum_9_L,0.0,0.0,0.0,1.0
3784,39,80,40,81,0.0015059330120775541,0.0015059330120775541,0.0015059330120775541,5469,ParaHippocampal_R,Temporal_Sup_L,0.0,0.0,0.0,1.0
4356,47,80,48,81,0.0015021046571147476,0.0015021046571147476,0.0015021046571147476,5470,Lingual_R,Temporal_Sup_L,0.0,0.0,0.0,1.0
56,0,57,1,58,-0.0014602185646699962,0.0014602185646699962,0.0014602185646699962,5471,Precentral_L,Postcentral_R,0.0,0.0,0.0,1.0
3821,40,42,41,43,-0.0014494632610565156,0.0014494632610565156,0.0014494632610565156,5472,Amygdala_L,Calcarine_L,0.0,0.0,0.0,1.0
5459,66,81,67,82,0.0014375834675514905,0.0014375834675514905,0.0014375834675514905,5473,Precuneus_L,Temporal_Sup_R,0.0,0.0,0.0,1.0
1977,18,79,19,80,0.0014244978024009944,0.0014244978024009944,0.0014244978024009944,5474,Supp_Motor_Area_L,Heschl_R,0.0,0.0,0.0,1.0
1409,12,108,13,109,0.00140447732923308,0.00140447732923308,0.00140447732923308,5475,Frontal_Inf_Tri_L,Vermis_1_2,0.0,0.0,0.0,1.0
3279,33,46,34,47,-0.0013917888849641557,0.0013917888849641557,0.0013917888849641557,5476,Cingulum_Mid_R,Lingual_L,0.0,0.0,0.0,1.0
2753,26,115,27,116,-0.0013823224599209222,0.0013823224599209222,0.0013823224599209222,5477,Rectus_L,Vermis_10,0.0,0.0,0.0,1.0
3748,39,44,40,45,0.0013638144985292516,0.0013638144985292516,0.0013638144985292516,5478,ParaHippocampal_R,Cuneus_L,0.0,0.0,0.0,1.0
1645,15,41,16,42,0.0013629869478432395,0.0013629869478432395,0.0013629869478432395,5479,Frontal_Inf_Orb_R,Amygdala_R,0.0,0.0,0.0,1.0
2297,21,114,22,115,-0.0013464187323432093,0.0013464187323432093,0.0013464187323432093,5480,Olfactory_R,Vermis_9,0.0,0.0,0.0,1.0
2135,20,46,21,47,-0.0013425248821612515,0.0013425248821612515,0.0013425248821612515,5481,Olfactory_L,Lingual_L,0.0,0.0,0.0,1.0
4527,50,53,51,54,-0.0013365620591451975,0.0013365620591451975,0.0013365620591451975,5482,Occipital_Mid_L,Occipital_Inf_R,0.0,0.0,0.0,1.0
3206,32,55,33,56,0.0013321248540229063,0.0013321248540229063,0.0013321248540229063,5483,Cingulum_Mid_L,Fusiform_R,0.0,0.0,0.0,1.0
3818,39,114,40,115,-0.0013108079758965916,0.0013108079758965916,0.0013108079758965916,5484,ParaHippocampal_R,Vermis_9,0.0,0.0,0.0,1.0
5336,63,108,64,109,0.0013062046872681474,0.0013062046872681474,0.0013062046872681474,5485,SupraMarginal_R,Vermis_1_2,0.0,0.0,0.0,1.0
6578,101,115,102,116,-0.0012975277921193553,0.0012975277921193553,0.0012975277921193553,5486,Cerebelum_7b_R,Vermis_10,0.0,0.0,0.0,1.0
6131,82,105,83,106,0.0012517310440466783,0.0012517310440466783,0.0012517310440466783,5487,Temporal_Pole_Sup_L,Cerebelum_9_R,0.0,0.0,0.0,1.0
4894,55,110,56,111,-0.0012426299826816894,0.0012426299826816894,0.0012426299826816894,5488,Fusiform_R,Vermis_4_5,0.0,0.0,0.0,1.0
4020,42,94,43,95,-0.0012376029812587695,0.0012376029812587695,0.0012376029812587695,5489,Calcarine_L,Cerebelum_3_L,0.0,0.0,0.0,1.0
6539,99,105,100,106,0.0012305162323314976,0.0012305162323314976,0.0012305162323314976,5490,Cerebelum_6_R,Cerebelum_9_R,0.0,0.0,0.0,1.0
5587,68,114,69,115,-0.0012228907811974458,0.0012228907811974458,0.0012228907811974458,5491,Paracentral_Lobule_L,Vermis_9,0.0,0.0,0.0,1.0
3234,32,83,33,84,-0.0011722212614831632,0.0011722212614831632,0.0011722212614831632,5492,Cingulum_Mid_L,Temporal_Pole_Sup_R,0.0,0.0,0.0,1.0
2132,20,43,21,44,-0.001163160762403037,0.001163160762403037,0.001163160762403037,5493,Olfactory_L,Calcarine_R,0.0,0.0,0.0,1.0
1995,18,97,19,98,0.0011478998990122429,0.0011478998990122429,0.0011478998990122429,5494,Supp_Motor_Area_L,Cerebelum_4_5_R,0.0,0.0,0.0,1.0
4951,56,108,57,109,0.0011294602242324188,0.0011294602242324188,0.0011294602242324188,5495,Postcentral_L,Vermis_1_2,0.0,0.0,0.0,1.0
3685,38,57,39,58,0.0010960520732016619,0.0010960520732016619,0.0010960520732016619,5496,ParaHippocampal_L,Postcentral_R,0.0,0.0,0.0,1.0
2772,27,46,28,47,0.001055083099657605,0.001055083099657605,0.001055083099657605,5497,Rectus_R,Lingual_L,0.0,0.0,0.0,1.0
5079,59,65,60,66,0.001029347119101335,0.001029347119101335,0.001029347119101335,5498,Parietal_Sup_R,Angular_R,0.0,0.0,0.0,1.0
403,3,65,4,66,0.0010249109176773208,0.0010249109176773208,0.0010249109176773208,5499,Frontal_Sup_R,Angular_R,0.0,0.0,0.0,1.0
5023,58,65,59,66,0.001024605988016084,0.001024605988016084,0.001024605988016084,5500,Parietal_Sup_L,Angular_R,0.0,0.0,0.0,1.0
4579,50,105,51,106,0.001021609012088334,0.001021609012088334,0.001021609012088334,5501,Occipital_Mid_L,Cerebelum_9_R,0.0,0.0,0.0,1.0
4111,43,113,44,114,-0.000985064970934,0.000985064970934,0.000985064970934,5502,Calcarine_R,Vermis_8,0.0,0.0,0.0,1.0
291,2,65,3,66,0.0009772345819238375,0.0009772345819238375,0.0009772345819238375,5503,Frontal_Sup_L,Angular_R,0.0,0.0,0.0,1.0
3208,32,57,33,58,0.0009702065529204677,0.0009702065529204677,0.0009702065529204677,5504,Cingulum_Mid_L,Postcentral_R,0.0,0.0,0.0,1.0
733,6,65,7,66,0.0009663858808396561,0.0009663858808396561,0.0009663858808396561,5505,Frontal_Mid_L,Angular_R,0.0,0.0,0.0,1.0
1159,10,65,11,66,0.0009623228807403298,0.0009623228807403298,0.0009623228807403298,5506,Frontal_Inf_Oper_L,Angular_R,0.0,0.0,0.0,1.0
5241,62,65,63,66,0.0009595459509846618,0.0009595459509846618,0.0009595459509846618,5507,SupraMarginal_L,Angular_R,0.0,0.0,0.0,1.0
20,0,21,1,22,-0.0009536147336094578,0.0009536147336094578,0.0009536147336094578,5508,Precentral_L,Olfactory_R,0.0,0.0,0.0,1.0
5188,61,65,62,66,0.0009478507020282349,0.0009478507020282349,0.0009478507020282349,5509,Parietal_Inf_R,Angular_R,0.0,0.0,0.0,1.0
460,4,11,5,12,0.0009406955304168733,0.0009406955304168733,0.0009406955304168733,5510,Frontal_Sup_Orb_L,Frontal_Inf_Oper_R,0.0,0.0,0.0,1.0
5395,65,66,66,67,0.0009273678971402447,0.0009273678971402447,0.0009273678971402447,5511,Angular_R,Precuneus_L,0.0,0.0,0.0,1.0
5413,65,84,66,85,0.0008952459891047539,0.0008952459891047539,0.0008952459891047539,5512,Angular_R,Temporal_Mid_L,0.0,0.0,0.0,1.0
5423,65,94,66,95,0.000894609394399633,0.000894609394399633,0.000894609394399633,5513,Angular_R,Cerebelum_3_L,0.0,0.0,0.0,1.0
591,5,32,6,33,0.0008908148127750058,0.0008908148127750058,0.0008908148127750058,5514,Frontal_Sup_Orb_R,Cingulum_Mid_L,0.0,0.0,0.0,1.0
4789,54,65,55,66,0.0008907076416699688,0.0008907076416699688,0.0008907076416699688,5515,Fusiform_L,Angular_R,0.0,0.0,0.0,1.0
1366,12,65,13,66,0.00089051285460534,0.00089051285460534,0.00089051285460534,5516,Frontal_Inf_Tri_L,Angular_R,0.0,0.0,0.0,1.0
5439,65,110,66,111,0.0008902881253466182,0.0008902881253466182,0.0008902881253466182,5517,Angular_R,Vermis_4_5,0.0,0.0,0.0,1.0
5396,65,67,66,68,0.0008896931007367116,0.0008896931007367116,0.0008896931007367116,5518,Angular_R,Precuneus_R,0.0,0.0,0.0,1.0
1963,18,65,19,66,0.0008896717560168204,0.0008896717560168204,0.0008896717560168204,5519,Supp_Motor_Area_L,Angular_R,0.0,0.0,0.0,1.0
1669,15,65,16,66,0.0008895590162019691,0.0008895590162019691,0.0008895590162019691,5520,Frontal_Inf_Orb_R,Angular_R,0.0,0.0,0.0,1.0
3991,42,65,43,66,0.0008895274471182521,0.0008895274471182521,0.0008895274471182521,5521,Calcarine_L,Angular_R,0.0,0.0,0.0,1.0
4539,50,65,51,66,0.0008888411666179617,0.0008888411666179617,0.0008888411666179617,5522,Occipital_Mid_L,Angular_R,0.0,0.0,0.0,1.0
3769,39,65,40,66,0.000888192408663236,0.000888192408663236,0.000888192408663236,5523,ParaHippocampal_R,Angular_R,0.0,0.0,0.0,1.0
3216,32,65,33,66,0.0008872976085680804,0.0008872976085680804,0.0008872976085680804,5524,Cingulum_Mid_L,Angular_R,0.0,0.0,0.0,1.0
5425,65,96,66,97,0.0008847831835346269,0.0008847831835346269,0.0008847831835346269,5525,Angular_R,Cerebelum_4_5_L,0.0,0.0,0.0,1.0
5436,65,107,66,108,0.0008847597446156743,0.0008847597446156743,0.0008847597446156743,5526,Angular_R,Cerebelum_10_R,0.0,0.0,0.0,1.0
5398,65,69,66,70,0.0008834672638223693,0.0008834672638223693,0.0008834672638223693,5527,Angular_R,Paracentral_Lobule_R,0.0,0.0,0.0,1.0
2703,26,65,27,66,0.000882578838789366,0.000882578838789366,0.000882578838789366,5528,Rectus_L,Angular_R,0.0,0.0,0.0,1.0
5424,65,95,66,96,0.0008817043294813926,0.0008817043294813926,0.0008817043294813926,5529,Angular_R,Cerebelum_3_R,0.0,0.0,0.0,1.0
3693,38,65,39,66,0.000881437015721222,0.000881437015721222,0.000881437015721222,5530,ParaHippocampal_L,Angular_R,0.0,0.0,0.0,1.0
4273,46,65,47,66,0.0008811496381908107,0.0008811496381908107,0.0008811496381908107,5531,Lingual_L,Angular_R,0.0,0.0,0.0,1.0
995,8,112,9,113,0.000880150607748712,0.000880150607748712,0.000880150607748712,5532,Frontal_Mid_Orb_L,Vermis_7,0.0,0.0,0.0,1.0
5175,60,106,61,107,0.0008800536315155029,0.0008800536315155029,0.0008800536315155029,5533,Parietal_Inf_L,Cerebelum_10_L,0.0,0.0,0.0,1.0
64,0,65,1,66,0.0008788430600176111,0.0008788430600176111,0.0008788430600176111,5534,Precentral_L,Angular_R,0.0,0.0,0.0,1.0
2878,28,65,29,66,0.0008782129742222859,0.0008782129742222859,0.0008782129742222859,5535,Insula_L,Angular_R,0.0,0.0,0.0,1.0
178,1,65,2,66,0.0008780036170395445,0.0008780036170395445,0.0008780036170395445,5536,Precentral_R,Angular_R,0.0,0.0,0.0,1.0
4849,55,65,56,66,0.0008774861781932414,0.0008774861781932414,0.0008774861781932414,5537,Fusiform_R,Angular_R,0.0,0.0,0.0,1.0
1468,13,65,14,66,0.0008774286419335139,0.0008774286419335139,0.0008774286419335139,5538,Frontal_Inf_Tri_R,Angular_R,0.0,0.0,0.0,1.0
3844,40,65,41,66,0.0008770796924739337,0.0008770796924739337,0.0008770796924739337,5539,Amygdala_L,Angular_R,0.0,0.0,0.0,1.0
2059,19,65,20,66,0.0008762063043569169,0.0008762063043569169,0.0008762063043569169,5540,Supp_Motor_Area_R,Angular_R,0.0,0.0,0.0,1.0
2341,22,65,23,66,0.0008761220019668486,0.0008761220019668486,0.0008761220019668486,5541,Frontal_Sup_Medial_L,Angular_R,0.0,0.0,0.0,1.0
4134,44,65,45,66,0.0008753797226069058,0.0008753797226069058,0.0008753797226069058,5542,Cuneus_L,Angular_R,0.0,0.0,0.0,1.0
4666,52,65,53,66,0.000874262473031747,0.000874262473031747,0.000874262473031747,5543,Occipital_Inf_L,Angular_R,0.0,0.0,0.0,1.0
5426,65,97,66,98,0.0008737691752536644,0.0008737691752536644,0.0008737691752536644,5544,Angular_R,Cerebelum_4_5_R,0.0,0.0,0.0,1.0
5416,65,87,66,88,0.0008737048986083869,0.0008737048986083869,0.0008737048986083869,5545,Angular_R,Temporal_Pole_Mid_R,0.0,0.0,0.0,1.0
5405,65,76,66,77,0.0008734791164285383,0.0008734791164285383,0.0008734791164285383,5546,Angular_R,Thalamus_L,0.0,0.0,0.0,1.0
5407,65,78,66,79,0.0008732052379089088,0.0008732052379089088,0.0008732052379089088,5547,Angular_R,Heschl_L,0.0,0.0,0.0,1.0
3918,41,65,42,66,0.0008730659349379877,0.0008730659349379877,0.0008730659349379877,5548,Amygdala_R,Angular_R,0.0,0.0,0.0,1.0
5438,65,109,66,110,0.000872837191062534,0.000872837191062534,0.000872837191062534,5549,Angular_R,Vermis_3,0.0,0.0,0.0,1.0
5402,65,73,66,74,0.0008725775242108556,0.0008725775242108556,0.0008725775242108556,5550,Angular_R,Putamen_R,0.0,0.0,0.0,1.0
5430,65,101,66,102,0.0008724410819415129,0.0008724410819415129,0.0008724410819415129,5551,Angular_R,Cerebelum_7b_R,0.0,0.0,0.0,1.0
5429,65,100,66,101,0.0008722372540233283,0.0008722372540233283,0.0008722372540233283,5552,Angular_R,Cerebelum_7b_L,0.0,0.0,0.0,1.0
5409,65,80,66,81,0.000871634484020404,0.000871634484020404,0.000871634484020404,5553,Angular_R,Temporal_Sup_L,0.0,0.0,0.0,1.0
5408,65,79,66,80,0.000871534872877877,0.000871534872877877,0.000871534872877877,5554,Angular_R,Heschl_R,0.0,0.0,0.0,1.0
5411,65,82,66,83,0.0008715168379644402,0.0008715168379644402,0.0008715168379644402,5555,Angular_R,Temporal_Pole_Sup_L,0.0,0.0,0.0,1.0
