task,condition,model,mean_pearson,std_pearson,mean_rmse,mean_mae,n_seeds
fluid_intelligence,R0,fc,0.18475973688924344,0.019857979339049425,5.629180954408208,4.5321916305005505,10
fluid_intelligence,R0,sc,0.3571364654113033,0.02106392841346591,4.642978800809293,3.81020425419531,10
fluid_intelligence,R0,fp,0.21658854348408632,0.017700700034785976,4.961905126778065,4.134029544976698,10
fluid_intelligence,R0,fused,0.36416975480085634,0.028641939770012583,4.6012280567195525,3.798649968311558,10
fluid_intelligence,R0,equal_weight,0.3231462336235057,0.026051711291125667,4.728725373977064,3.9004923594655425,10
fluid_intelligence,R1,fc,0.18475973688924344,0.019857979339049425,5.629180954408208,4.5321916305005505,10
fluid_intelligence,R1,sc,0.3571364654113033,0.02106392841346591,4.642978800809293,3.81020425419531,10
fluid_intelligence,R1,fp,0.21658854348408604,0.01770070003478565,4.961905126778065,4.134029544976698,10
fluid_intelligence,R1,fused,0.3709173349695605,0.024727471407249717,4.566689193658602,3.788658490169982,10
fluid_intelligence,R1,equal_weight,0.3699582427129679,0.022526585282188705,4.569507138317431,3.8259955175467617,10
fluid_intelligence,R2,fc,0.18475973688924344,0.019857979339049425,5.629180954408208,4.5321916305005505,10
fluid_intelligence,R2,sc,0.3571364654113033,0.02106392841346591,4.642978800809293,3.81020425419531,10
fluid_intelligence,R2,fp,0.21251261014880218,0.01766532423398592,4.98339484712626,4.15274644908629,10
fluid_intelligence,R2,fused,0.3689074083856311,0.022290810209091867,4.571537064403853,3.79096092760697,10
fluid_intelligence,R2,equal_weight,0.3671358858376721,0.020816244412864334,4.578200052788093,3.832727355894869,10
fluid_intelligence,R3,fc,0.18475973688924344,0.019857979339049425,5.629180954408208,4.5321916305005505,10
fluid_intelligence,R3,sc,0.3571364654113033,0.02106392841346591,4.642978800809293,3.81020425419531,10
fluid_intelligence,R3,fp,0.2125126101488024,0.01766532423398624,4.98339484712626,4.15274644908629,10
fluid_intelligence,R3,fused,0.3689074083856311,0.022290810209091766,4.571537064403853,3.79096092760697,10
fluid_intelligence,R3,equal_weight,0.3671358858376722,0.020816244412864303,4.578200052788092,3.8327273558948685,10
