task,seed,outer_fold,n_train,n_test,model_a_lambda_F,model_a_alpha_SC,model_a_w_fp,model_a_w_sc,model_a_fp_pearson,model_a_fp_rmse,model_a_fp_mae,model_a_sc_pearson,model_a_sc_rmse,model_a_sc_mae,model_a_fused_pearson,model_a_fused_rmse,model_a_fused_mae,model_b_rho,model_b_tau,model_b_lambda_F,model_b_alpha_SC,model_b_w_fp,model_b_w_sc,model_b_fp_pearson,model_b_fp_rmse,model_b_fp_mae,model_b_sc_pearson,model_b_sc_rmse,model_b_sc_mae,model_b_fused_pearson,model_b_fused_rmse,model_b_fused_mae,delta_fused_pearson,delta_fused_rmse,delta_fused_mae
working_memory,101,0,329,83,0.1,3000.0,0.6,0.4,0.3967713206712391,10.442668416686601,8.731421053788452,0.21835378377665723,11.09763026129991,9.21070896915178,0.3969660714620036,10.288757789638757,8.597955437329171,0.0,0.0,0.1,3000.0,0.6,0.4,0.3967713206712391,10.442668416686601,8.731421053788452,0.21835378377665723,11.09763026129991,9.21070896915178,0.3969660714620036,10.288757789638757,8.597955437329171,0.0,0.0,0.0
working_memory,101,1,329,83,0.01,3000.0,0.9,0.1,0.2519422261379106,13.096267509188772,10.992982941275987,0.19917695086966125,12.169430260198455,9.739444420159426,0.2595420124932644,12.722503367930017,10.671441465492173,0.0,0.0,0.1,3000.0,0.95,0.05,0.2615174204276685,12.212652005338894,10.042877233478153,0.19917695086966125,12.169430260198455,9.739444420159426,0.26632147128008965,12.126879941939341,9.978685059077206,0.006779458786825232,-0.5956234259906754,-0.6927564064149667
working_memory,101,2,330,82,0.1,3000.0,0.65,0.35,0.3178297519311929,11.498220721011371,9.35222697123526,0.05774907875427785,12.331661623022763,10.459063086708742,0.3004238883100412,11.423097171539947,9.411405639020488,0.0,0.0,0.1,3000.0,0.65,0.35,0.3178297519311929,11.498220721011371,9.35222697123526,0.05774907875427785,12.331661623022763,10.459063086708742,0.3004238883100412,11.423097171539947,9.411405639020488,0.0,0.0,0.0
working_memory,101,3,330,82,0.1,3000.0,0.7,0.3,0.3252863458839481,10.604004030738935,8.954506953168416,0.10417196750823501,11.323587068684912,8.985197381580416,0.3174161282153507,10.520621344225878,8.808344090473899,0.0,0.0,0.1,3000.0,0.7,0.3,0.3252863458839481,10.604004030738935,8.954506953168416,0.10417196750823501,11.323587068684912,8.985197381580416,0.3174161282153507,10.520621344225878,8.808344090473899,0.0,0.0,0.0
working_memory,101,4,330,82,0.1,3000.0,1.0,0.0,0.4061621045607856,10.169355134678746,8.312806838786038,0.28355958035054496,10.403965395203247,8.12009108967107,0.4061621045607856,10.169355134678746,8.312806838786038,0.0,0.01,0.1,3000.0,1.0,0.0,0.40592362153786665,10.167317454347803,8.308180460540761,0.28355958035054496,10.403965395203247,8.12009108967107,0.40592362153786665,10.167317454347803,8.308180460540761,-0.00023848302291895607,-0.0020376803309432034,-0.0046263782452768965
working_memory,202,0,329,83,0.01,3000.0,0.55,0.45,0.24895940049593449,12.732194602249823,10.772864882275076,0.23134228190329253,11.770315174859066,9.79048706767448,0.29073653157629065,11.576143348007662,9.466220751208123,0.25,0.0,1.0,3000.0,0.75,0.25,0.3362218980505757,11.379351646159162,9.26957022929728,0.23134228190329253,11.770315174859066,9.79048706767448,0.35310556968271584,11.360886921397592,9.318403105382908,0.06236903810642519,-0.21525642661007005,-0.1478176458252154
working_memory,202,1,329,83,0.1,0.001,0.8,0.2,0.3145714875266149,11.578880340034297,9.943599123025313,0.35431910244876536,10.94464910309507,8.761064817395008,0.38235238296765617,10.8599364603396,9.297864874320348,0.0,0.0,0.1,3000.0,0.75,0.25,0.3145714875266149,11.578880340034297,9.943599123025313,0.4058056243256166,10.508433370530714,8.431366396993198,0.38588147425073127,10.776806493520361,9.2655144760484,0.003529091283075103,-0.08312996681923934,-0.03235039827194797
working_memory,202,2,330,82,0.1,3000.0,0.6,0.4,0.23223407000172724,10.5710242043201,8.573924338088915,0.14916972946762505,10.554112951045399,8.566079838018197,0.24340556366409982,10.256562405238814,8.383312735674798,0.0,0.0,0.1,3000.0,0.6,0.4,0.23223407000172724,10.5710242043201,8.573924338088915,0.14916972946762505,10.554112951045399,8.566079838018197,0.24340556366409982,10.256562405238814,8.383312735674798,0.0,0.0,0.0
working_memory,202,3,330,82,0.001,3000.0,0.65,0.35,0.2951613358988195,12.126528406836279,9.697895821480799,0.13325697201683656,11.374718220281526,9.08572899860594,0.30364268025416985,11.030076027621915,8.660134288511399,0.0,0.0,0.1,3000.0,0.75,0.25,0.3090874021611119,10.943229313087638,8.538848507340981,0.13325697201683656,11.374718220281526,9.08572899860594,0.31395348493844755,10.68003960308376,8.2642298999608,0.010310804684277697,-0.3500364245381551,-0.3959043885505995
working_memory,202,4,330,82,1.0,3000.0,0.55,0.45,0.2337377000687087,11.922380861307532,9.628378105130178,0.018537153755169813,13.282689967438637,10.57972924465845,0.13373711310017988,12.253520062525062,9.84776053149068,0.0,0.0,0.1,3000.0,0.45,0.55,0.31811047681195925,11.81917913734886,9.48000849202418,0.018537153755169813,13.282689967438637,10.57972924465845,0.21239568274523363,12.101173403464646,9.731061245439596,0.07865856964505374,-0.15234665906041656,-0.11669928605108382
