seed,base_late_fusion_WM_mean_r,base_late_fusion_WM_std_r,base_late_fusion_FI_mean_r,base_late_fusion_FI_std_r,ind_residual_no_prior_WM_mean_r,ind_residual_no_prior_WM_std_r,ind_residual_no_prior_FI_mean_r,ind_residual_no_prior_FI_std_r,ind_residual_prior_WM_mean_r,ind_residual_prior_WM_std_r,ind_residual_prior_FI_mean_r,ind_residual_prior_FI_std_r,mt_residual_no_prior_WM_mean_r,mt_residual_no_prior_WM_std_r,mt_residual_no_prior_FI_mean_r,mt_residual_no_prior_FI_std_r,mt_residual_prior_WM_mean_r,mt_residual_prior_WM_std_r,mt_residual_prior_FI_mean_r,mt_residual_prior_FI_std_r
909,0.2692811239180803,0.09856967646886092,0.37658861076553884,0.03603457131726932,0.2659441047597211,0.09822708747129243,0.3502512766112707,0.037753634746506136,0.26926717512859505,0.09858923640377754,0.37685374223313833,0.03611500819402027,0.2685871059910648,0.09866293656180926,0.3705660075426763,0.034512929276724114,0.2692678954962768,0.09858951942750807,0.3768549894395499,0.03611549310910021
1010,0.23668787130831212,0.10739699614064682,0.3416668401554836,0.06884676081371888,0.23618569049012422,0.11290936775071435,0.3307092846205478,0.06261419455946234,0.23664404373073297,0.10741017384920172,0.3418477632932081,0.06894074836773523,0.23539248805096946,0.10934609525468825,0.33926395513843033,0.06831024015076101,0.23664466334146353,0.1074104396036745,0.3418500322647361,0.06894243268652016
1111,0.3092916736290385,0.059454339445399323,0.3395620246993001,0.06618756619151855,0.30740002541341793,0.0601635505998854,0.3192466354789759,0.064994386656271,0.3093034206906535,0.05947018643007892,0.33951635638740785,0.06607378037323243,0.30736607437200625,0.06128467101977324,0.3341950117553666,0.06671103205726037,0.30930425567200864,0.05947076352701954,0.3395174841714527,0.06607524630678793
1212,0.18542021649808374,0.08148833474167975,0.3937882520629451,0.07630526936840659,0.18469171714896868,0.08633412134461649,0.37514320321791583,0.07111641279375423,0.18422477686403962,0.08196986280207755,0.39432121395641173,0.07620447526795864,0.18363333979358126,0.08360724369715385,0.3923409933337073,0.07583798552289736,0.18548110461751893,0.08145725943653045,0.39467167879662013,0.07558435365731046
