seed,fold,task,model,pearson_r,rmse,mae,alpha_fc,alpha_sc,lambda2_wm,lambda2_fi,eta_wm,eta_fi
909,1,FI,ind_residual_prior,0.3268468960280629,4.502254142113411,3.444972154456045,100,100,10.0,10.0,0.75,1.0
909,1,WM,mt_residual_no_prior,0.25558535726238263,11.795807151492548,9.502555977626873,100,100,10.0,10.0,0.75,1.0
909,1,FI,mt_residual_no_prior,0.3226924655861919,4.525568401684805,3.4479549622664436,100,100,10.0,10.0,0.75,1.0
909,1,WM,mt_residual_prior,0.2584533913371859,11.731062385765052,9.450423115712205,100,100,10.0,10.0,0.75,1.0
909,1,FI,mt_residual_prior,0.32684755789291087,4.502257277337,3.444976556227008,100,100,10.0,10.0,0.75,1.0
909,2,WM,base_late_fusion,0.4017082522672193,11.311479268542076,9.476273284398046,100,50,10.0,10.0,0.0,0.0
909,2,FI,base_late_fusion,0.3931764791760087,4.739411146737053,3.8553585766565797,100,50,10.0,10.0,0.0,0.0
909,2,WM,ind_residual_no_prior,0.3965717056939075,11.388655652910467,9.506356530573722,100,50,10.0,10.0,1.0,1.0
909,2,FI,ind_residual_no_prior,0.40389367010520094,4.779930886775641,3.8698214936118855,100,50,10.0,10.0,1.0,1.0
909,2,WM,ind_residual_prior,0.4016884253578167,11.311612445889716,9.476466420516326,100,50,10.0,10.0,1.0,1.0
909,2,FI,ind_residual_prior,0.39349112037822953,4.738602755627361,3.854615980328116,100,50,10.0,10.0,1.0,1.0
909,2,WM,mt_residual_no_prior,0.40067139809648045,11.327016407003764,9.483794095941963,100,50,10.0,10.0,1.0,1.0
909,2,FI,mt_residual_no_prior,0.398413740660651,4.736526733572393,3.848507823693033,100,50,10.0,10.0,1.0,1.0
909,2,WM,mt_residual_prior,0.4016905162430729,11.31160002651502,9.476458976524722,100,50,10.0,10.0,1.0,1.0
909,2,FI,mt_residual_prior,0.3934945758264309,4.738593865785717,3.8546063115957008,100,50,10.0,10.0,1.0,1.0
909,3,WM,base_late_fusion,0.132490292305437,11.72969162110624,9.189814913863584,100,100,10.0,10.0,0.0,0.0
909,3,FI,base_late_fusion,0.4008330241284729,4.79301472119411,4.025689129099747,100,100,10.0,10.0,0.0,0.0
909,3,WM,ind_residual_no_prior,0.1293591009880125,11.916262076415173,9.27296766180237,100,100,10.0,10.0,1.0,0.75
909,3,FI,ind_residual_no_prior,0.36098803410442815,4.907799126463782,4.0943008411731086,100,100,10.0,10.0,1.0,0.75
909,3,WM,ind_residual_prior,0.13241252646387897,11.730639171821808,9.190446563158403,100,100,10.0,10.0,1.0,0.75
909,3,FI,ind_residual_prior,0.40106632292039335,4.792631528425617,4.025981649389142,100,100,10.0,10.0,1.0,0.75
909,3,WM,mt_residual_no_prior,0.13174568793997188,11.77312017553168,9.210603100848282,100,100,10.0,10.0,1.0,0.75
909,3,FI,mt_residual_no_prior,0.38826385848166656,4.8254748050608685,4.047520415257465,100,100,10.0,10.0,1.0,0.75
909,3,WM,mt_residual_prior,0.1324137080450863,11.730647315180192,9.19044830971677,100,100,10.0,10.0,1.0,0.75
909,3,FI,mt_residual_prior,0.4010657124765533,4.79263230628894,4.025985578752263,100,100,10.0,10.0,1.0,0.75
909,4,WM,base_late_fusion,0.24238310995350423,11.459912212977057,9.287549504620639,100,1,10.0,10.0,0.0,0.0
909,4,FI,base_late_fusion,0.3513743378386649,4.244658360688935,3.5733352669013048,100,1,10.0,10.0,0.0,0.0
909,4,WM,ind_residual_no_prior,0.24238310995350423,11.459912212977057,9.287549504620639,100,1,10.0,10.0,0.0,1.0
909,4,FI,ind_residual_no_prior,0.32278247045468206,4.363543533541273,3.7065613060954217,100,1,10.0,10.0,0.0,1.0
909,4,WM,ind_residual_prior,0.24238310995350423,11.459912212977057,9.287549504620639,100,1,10.0,10.0,0.0,1.0
909,4,FI,ind_residual_prior,0.35133638146289714,4.244797550752148,3.5734530854527664,100,1,10.0,10.0,0.0,1.0
909,4,WM,mt_residual_no_prior,0.24254568993144113,11.497187284375157,9.305165000098388,100,1,10.0,10.0,0.0,1.0
909,4,FI,mt_residual_no_prior,0.3454500200928977,4.266845204116108,3.601881109396994,100,1,10.0,10.0,0.0,1.0
909,4,WM,mt_residual_prior,0.24238310995350423,11.459912212977057,9.287549504620639,100,1,10.0,10.0,0.0,1.0
909,4,FI,mt_residual_prior,0.3513369495942169,4.244798141828589,3.573455334605491,100,1,10.0,10.0,0.0,1.0
1010,0,WM,base_late_fusion,0.2661937471694756,10.925515254020945,8.590977429022123,100,100,10.0,10.0,0.0,0.0
1010,0,FI,base_late_fusion,0.31743951241512247,5.130178686311671,4.278845554132247,100,100,10.0,10.0,0.0,0.0
1010,0,WM,ind_residual_no_prior,0.27177879694312823,10.95921055903495,8.637392526303575,100,100,10.0,10.0,1.0,0.5
1010,0,FI,ind_residual_no_prior,0.2894375953391375,5.209364954738949,4.3323401909119434,100,100,10.0,10.0,1.0,0.5
1010,0,WM,ind_residual_prior,0.26608600543651034,10.926204209260693,8.591810681479565,100,100,10.0,10.0,1.0,0.5
1010,0,FI,ind_residual_prior,0.3177607916688361,5.129466784003878,4.277906876177904,100,100,10.0,10.0,1.0,0.5
1010,0,WM,mt_residual_no_prior,0.2679856993715948,10.930349541328853,8.59812838242602,100,100,10.0,10.0,1.0,0.5
1010,0,FI,mt_residual_no_prior,0.30366894113935233,5.166610422495842,4.304711039867084,100,100,10.0,10.0,1.0,0.5
1010,0,WM,mt_residual_prior,0.266090215442822,10.926186859613136,8.591804725101367,100,100,10.0,10.0,1.0,0.5
1010,0,FI,mt_residual_prior,0.3177618339288584,5.129464144671612,4.277904739809044,100,100,10.0,10.0,1.0,0.5
1010,1,WM,base_late_fusion,0.30604189371656776,10.844556995812859,9.152594618144407,100,100,10.0,10.0,0.0,0.0
1010,1,FI,base_late_fusion,0.307779409020723,4.524412402101088,3.739460909675588,100,100,10.0,10.0,0.0,0.0
1010,1,WM,ind_residual_no_prior,0.30604189371656776,10.844556995812859,9.152594618144407,100,100,10.0,10.0,0.0,1.0
1010,1,FI,ind_residual_no_prior,0.3178024053432956,4.569836566107354,3.828646112436995,100,100,10.0,10.0,0.0,1.0
1010,1,WM,ind_residual_prior,0.30604189371656776,10.844556995812859,9.152594618144407,100,100,10.0,10.0,0.0,1.0
1010,1,FI,ind_residual_prior,0.30872416081953824,4.522094729790695,3.7383090726385375,100,100,10.0,10.0,0.0,1.0
