prior_type,n_valid_fits,fc_abs_edge_spearman,sc_abs_edge_spearman,fc_top10_roi_jaccard,sc_top10_roi_jaccard
matched,18,0.7534976335861657,0.7900204967854955,0.589898119309884,0.527650891549392
cross_task,19,0.7330357328891719,0.626275062519799,0.5824623719360561,0.4977265998394671
shuffled,17,0.18444720024559103,0.1716032322584574,0.1866336429712864,0.17283524426462873
random,15,0.1656777840727557,0.1374024796296849,0.15588121806609198,0.14552261177648174
