seed,fold,pearson,rmse,mae
0,0,0.18150781171657135,9.953708897125898,8.282356821465513
0,1,0.21011026114967574,11.107456205200709,8.969329674853698
0,2,0.2203258785519361,12.108116520564513,9.190667007114975
0,3,0.4137912456424654,10.426016693213027,8.961099740064563
0,4,0.36456226298500294,12.74852565169736,10.617458230213964
1,0,0.44757299068149686,10.046232664142096,8.538997172606766
1,1,0.09411153151248908,12.20582520060463,9.948780304082458
1,2,0.16069440039950034,11.679811649163744,9.94221354861483
1,3,0.27373620781455393,12.18075467908116,9.92988983966073
1,4,0.3300161201808451,10.326050363231538,8.029238378923202
2,0,0.3449048637888088,12.263145134569998,10.035475092160155
2,1,0.4003003710774971,10.182742158248853,8.332627196425785
2,2,0.265459609506836,11.487669706069765,8.890062523351936
2,3,0.3374839914318407,10.85130253313526,9.346934876075789
2,4,0.18099290807643875,10.983248210660259,8.756256555214602
3,0,0.23732437586117544,9.72767224970052,8.16314230911538
3,1,0.2048428803272447,12.38617787378326,10.677081278832054
3,2,0.12917870985668445,12.247215468820174,9.539058358942869
3,3,0.4756420293458916,10.856475692788187,8.906200239635687
3,4,0.38573896126004403,10.325573294816808,7.955194563287026
4,0,0.17489450754576064,11.150804063387879,8.961442139752615
4,1,0.25750626455415776,11.45985652545102,9.19574882220505
4,2,0.17583322405357787,10.756697111044419,8.897436090191785
4,3,0.25569590725184277,11.888491834359991,9.70031892205001
4,4,0.43699702587334405,10.600985955936896,8.693071224118047
5,0,0.10021813262775923,12.392287435612074,9.778400637195507
5,1,0.25884253526798273,11.72544733641313,9.699436345535574
5,2,0.11401801947065751,11.903847309009553,9.490795740872219
5,3,0.26046211172376604,11.369105698814469,9.254261656987527
5,4,0.23535480644552714,11.209387794591299,9.295859368830314
6,0,0.23838161570890548,11.630400757162867,9.568786693516966
6,1,0.23833166883817974,10.411828880693664,8.46811705220169
6,2,0.03398938164578015,12.762084709882316,10.82767770951538
6,3,0.34337848792535364,10.272983197965054,7.86423535986116
6,4,0.30887838319208544,11.881435880294523,9.705415282861793
7,0,0.22310314792111585,11.686917002707007,9.04937356083638
7,1,0.29027705660225234,10.326477776057555,8.531622432050028
7,2,0.17923963366298384,11.895376101075886,9.455676379784617
7,3,0.33705057320490805,11.08395227031195,9.411318763382104
7,4,0.2620786272272133,11.195278352499944,9.313906808192721
8,0,0.19415815376736537,11.355771530133572,9.291422023319706
8,1,0.295302003421608,11.190829296143324,9.338945023451709
8,2,0.4282522578486009,10.195538659277828,8.157027984319349
8,3,0.29756547580955645,12.478274589340161,10.07589394089895
8,4,0.2643798389413085,11.284660862240157,9.100515057007396
9,0,0.47406812470724763,10.981011986261924,8.773831249200757
9,1,0.1854870011719335,11.546229928843266,9.319022844480612
9,2,0.26046010993862667,11.093588557508394,8.853924813364051
9,3,0.20357359268103922,11.098623885644253,9.102409260069313
9,4,0.18966359931472204,11.724154000269664,9.622520218766054
