ranking,top10_delta_rmse,top5_delta_rmse
matched,-0.37981859784576244,-0.04361207884209506
cross_task,0.27516163866038923,0.35826748840953115
shuffled,0.6467367303317921,0.729021567772346
random,0.7318655048585505,0.14363143104777443
matched_ridge,0.22608151362707574,-0.04361207884209506
