roi_index,roi_label,system,winning_network,winning_overlap_fraction,n_voxels,overlap_VIS,overlap_SM,overlap_DATN,overlap_LIMBIC,overlap_FPN,overlap_DMN,overlap_VAS
71,Caudate_L,SUBCORTICAL,SUBCORTICAL,1.0,962,0,0,0,0,0,0,0
72,Caudate_R,SUBCORTICAL,SUBCORTICAL,1.0,994,0,0,0,0,0,0,0
73,Putamen_L,SUBCORTICAL,SUBCORTICAL,1.0,1009,0,0,0,0,0,0,0
74,Putamen_R,SUBCORTICAL,SUBCORTICAL,1.0,1064,0,0,0,0,0,0,0
75,Pallidum_L,SUBCORTICAL,SUBCORTICAL,1.0,293,0,0,0,0,0,0,0
76,Pallidum_R,SUBCORTICAL,SUBCORTICAL,1.0,280,0,0,0,0,0,0,0
77,Thalamus_L,SUBCORTICAL,SUBCORTICAL,1.0,1100,0,0,0,0,0,0,0
78,Thalamus_R,SUBCORTICAL,SUBCORTICAL,1.0,1057,0,0,0,0,0,0,0
79,Heschl_L,SM,SM,0.9378,225,0,211,0,6,0,0,0
80,Heschl_R,SM,SM,0.9317,249,0,232,0,0,0,0,0
81,Temporal_Sup_L,SM,SM,0.6137,2296,0,1409,0,402,13,0,288
82,Temporal_Sup_R,SM,SM,0.5301,3141,0,1665,0,427,0,2,565
83,Temporal_Pole_Sup_L,FPN,FPN,0.4444,1285,0,62,0,84,571,1,242
84,Temporal_Pole_Sup_R,FPN,FPN,0.3602,1338,0,212,0,47,482,0,197
85,Temporal_Mid_L,VAS,VAS,0.5706,4942,103,211,608,254,2,177,2820
86,Temporal_Mid_R,VAS,VAS,0.4021,4409,525,62,761,289,0,323,1773
87,Temporal_Pole_Mid_L,FPN,FPN,0.5589,755,0,0,0,0,422,0,199
88,Temporal_Pole_Mid_R,FPN,FPN,0.4238,1187,0,0,0,0,503,0,314
89,Temporal_Inf_L,FPN,FPN,0.3119,3200,30,0,666,0,998,465,571
90,Temporal_Inf_R,FPN,FPN,0.2674,3557,399,0,827,0,951,457,363
91,Cerebelum_Crus1_L,CEREBELLAR,CEREBELLAR,1.0,2603,0,0,0,0,0,0,0
92,Cerebelum_Crus1_R,CEREBELLAR,CEREBELLAR,1.0,2648,0,0,0,0,0,0,0
93,Cerebelum_Crus2_L,CEREBELLAR,CEREBELLAR,1.0,1894,0,0,0,0,0,0,0
94,Cerebelum_Crus2_R,CEREBELLAR,CEREBELLAR,1.0,2117,0,0,0,0,0,0,0
95,Cerebelum_3_L,CEREBELLAR,CEREBELLAR,1.0,136,0,0,0,0,0,0,0
96,Cerebelum_3_R,CEREBELLAR,CEREBELLAR,1.0,207,0,0,0,0,0,0,0
97,Cerebelum_4_5_L,CEREBELLAR,CEREBELLAR,1.0,1125,0,0,0,0,0,0,0
98,Cerebelum_4_5_R,CEREBELLAR,CEREBELLAR,1.0,861,0,0,0,0,0,0,0
99,Cerebelum_6_L,CEREBELLAR,CEREBELLAR,1.0,1694,0,0,0,0,0,0,0
100,Cerebelum_6_R,CEREBELLAR,CEREBELLAR,1.0,1795,0,0,0,0,0,0,0
101,Cerebelum_7b_L,CEREBELLAR,CEREBELLAR,1.0,585,0,0,0,0,0,0,0
102,Cerebelum_7b_R,CEREBELLAR,CEREBELLAR,1.0,534,0,0,0,0,0,0,0
103,Cerebelum_8_L,CEREBELLAR,CEREBELLAR,1.0,1887,0,0,0,0,0,0,0
104,Cerebelum_8_R,CEREBELLAR,CEREBELLAR,1.0,2308,0,0,0,0,0,0,0
