task,candidate,n_selected,frac_selected,mean_oof_pearson,mean_test_pearson,mean_hyperparam
working_memory,A,16,0.32,0.23455414549413678,0.24879093442873024,0.0
working_memory,B,34,0.68,0.22624225637024095,0.25717688123317567,0.7102941176470587
fluid_intelligence,A,18,0.36,0.3240948402949464,0.3805693871616795,0.0
fluid_intelligence,B,32,0.64,0.32336527081422795,0.3571683723920065,0.45156250000000003
