task,task_display,condition_1,condition_2,metric,mean_baseline,mean_selected,mean_difference,std_difference,cohens_dz,positive_seeds,n_seeds,wilcoxon_statistic,raw_p,ci_95_lower,ci_95_upper,direction,p_holm,significant_holm_005
working_memory,Working Memory,Differential Stack,Same-solver Baseline,Pearson r,0.2635147735902435,0.25449337825575313,-0.009021395334490359,0.02740474783447423,-0.32919096314915747,6,10,26.0,0.921875,-0.027200873975058004,0.003433951349290168,negative,0.921875,False
fluid_intelligence,Fluid Intelligence,Differential Stack,Same-solver Baseline,Pearson r,0.3709173349695604,0.3655927377090888,-0.005324597260471631,0.00726468596415326,-0.7329425231517551,1,10,3.0,0.009765625,-0.010004725081271475,-0.001708176317242149,negative,0.01953125,True
