system_a,system_b,pair_name,n_seeds,median_score,mean_score,std_score,min_score,max_score,normalized_score
VIS,VIS,VIS,0,0.002242525655636995,0.002242525655636995,0.0,0.002242525655636995,0.002242525655636995,0.0
VIS,SM,VIS-SM,0,0.00976800976800976,0.00976800976800976,0.0,0.00976800976800976,0.00976800976800976,0.009255164719430841
VIS,DATN,VIS-DATN,0,0.04301075268817201,0.04301075268817201,0.0,0.04301075268817201,0.04301075268817201,0.05013852276758018
VIS,LIMBIC,VIS-LIMBIC,0,0.023699802501645786,0.023699802501645786,0.0,0.023699802501645786,0.023699802501645786,0.02638908390142435
VIS,FPN,VIS-FPN,0,0.010027308414405172,0.010027308414405172,0.0,0.010027308414405172,0.010027308414405172,0.009574061370872754
VIS,DMN,VIS-DMN,0,0.031387608806963604,0.031387608806963604,0.0,0.031387608806963604,0.031387608806963604,0.0358438794500341
VIS,VAS,VIS-VAS,0,0.01857541104852931,0.01857541104852931,0.0,0.01857541104852931,0.01857541104852931,0.020086886424525694
VIS,SUBCORTICAL,VIS-SUBCORTICAL,0,0.012581376636676151,0.012581376636676151,0.0,0.012581376636676151,0.012581376636676151,0.012715164554243734
VIS,CEREBELLAR,VIS-CEREBELLAR,0,0.01134349521446294,0.01134349521446294,0.0,0.01134349521446294,0.01134349521446294,0.011192764626926064
SM,SM,SM,0,0.03858901725707136,0.03858901725707136,0.0,0.03858901725707136,0.03858901725707136,0.04470048195193398
SM,DATN,SM-DATN,0,0.1852770885028949,0.1852770885028949,0.0,0.1852770885028949,0.1852770885028949,0.22510379441439948
SM,LIMBIC,SM-LIMBIC,0,0.10209145693016662,0.10209145693016662,0.0,0.10209145693016662,0.10209145693016662,0.12279851929865138
SM,FPN,SM-FPN,0,0.043194559323591585,0.043194559323591585,0.0,0.043194559323591585,0.043194559323591585,0.05036457609012133
SM,DMN,SM-DMN,0,0.1352081610146126,0.1352081610146126,0.0,0.1352081610146126,0.1352081610146126,0.1635268693542011
SM,VAS,SM-VAS,0,0.0800171552859725,0.0800171552859725,0.0,0.0800171552859725,0.0800171552859725,0.09565059170585709
SM,SUBCORTICAL,SM-SUBCORTICAL,0,0.05419669935798967,0.05419669935798967,0.0,0.05419669935798967,0.05419669935798967,0.06389548211079633
SM,CEREBELLAR,SM-CEREBELLAR,0,0.04886428707768657,0.04886428707768657,0.0,0.04886428707768657,0.04886428707768657,0.05733745165465864
DATN,DATN,DATN,0,0.8153543762284655,0.8153543762284655,0.0,0.8153543762284655,0.8153543762284655,1.0
DATN,LIMBIC,DATN-LIMBIC,0,0.44953173777315286,0.44953173777315286,0.0,0.44953173777315286,0.44953173777315286,0.5500955518018898
DATN,FPN,DATN-FPN,0,0.19019539831194354,0.19019539831194354,0.0,0.19019539831194354,0.19019539831194354,0.23115254380303987
DATN,DMN,DATN-DMN,0,0.5953520638224072,0.5953520638224072,0.0,0.5953520638224072,0.5953520638224072,0.7294316738206816
DATN,VAS,DATN-VAS,0,0.35233360311404005,0.35233360311404005,0.0,0.35233360311404005,0.35233360311404005,0.43055709643361817
DATN,SUBCORTICAL,DATN-SUBCORTICAL,0,0.23864030523759963,0.23864030523759963,0.0,0.23864030523759963,0.23864030523759963,0.29073217837794757
DATN,CEREBELLAR,DATN-CEREBELLAR,0,0.21516048987432954,0.21516048987432954,0.0,0.21516048987432954,0.21516048987432954,0.2618556894339864
LIMBIC,LIMBIC,LIMBIC,0,0.23952672756002613,0.23952672756002613,0.0,0.23952672756002613,0.23952672756002613,0.29182233875600877
LIMBIC,FPN,LIMBIC-FPN,0,0.10480154600862197,0.10480154600862197,0.0,0.10480154600862197,0.10480154600862197,0.12613150365565728
LIMBIC,DMN,LIMBIC-DMN,0,0.32805113720826523,0.32805113720826523,0.0,0.32805113720826523,0.32805113720826523,0.400693473257215
LIMBIC,VAS,LIMBIC-VAS,0,0.19414300579753227,0.19414300579753227,0.0,0.19414300579753227,0.19414300579753227,0.23600748163577184
LIMBIC,SUBCORTICAL,LIMBIC-SUBCORTICAL,0,0.1314956783962284,0.1314956783962284,0.0,0.1314956783962284,0.1314956783962284,0.15896109821734114
LIMBIC,CEREBELLAR,LIMBIC-CEREBELLAR,0,0.11855782095116124,0.11855782095116124,0.0,0.11855782095116124,0.11855782095116124,0.14304956349311768
FPN,FPN,FPN,0,0.043007249042628856,0.043007249042628856,0.0,0.043007249042628856,0.043007249042628856,0.05013421383327958
FPN,DMN,FPN-DMN,0,0.1387973561490731,0.1387973561490731,0.0,0.1387973561490731,0.1387973561490731,0.1679410162294827
FPN,VAS,FPN-VAS,0,0.08214126659900735,0.08214126659900735,0.0,0.08214126659900735,0.08214126659900735,0.09826291535055423
FPN,SUBCORTICAL,FPN-SUBCORTICAL,0,0.05563538862186103,0.05563538862186103,0.0,0.05563538862186103,0.05563538862186103,0.06566484417686119
FPN,CEREBELLAR,FPN-CEREBELLAR,0,0.05016142373062249,0.05016142373062249,0.0,0.05016142373062249,0.05016142373062249,0.05893272621869568
DMN,DMN,DMN,0,0.4266029470330546,0.4266029470330546,0.0,0.4266029470330546,0.4266029470330546,0.5218967366893746
DMN,VAS,DMN-VAS,0,0.257119641320127,0.257119641320127,0.0,0.257119641320127,0.257119641320127,0.3134588623753692
DMN,SUBCORTICAL,DMN-SUBCORTICAL,0,0.17415060370315313,0.17415060370315313,0.0,0.17415060370315313,0.17415060370315313,0.21141996384188566
DMN,CEREBELLAR,DMN-CEREBELLAR,0,0.15701592892019525,0.15701592892019525,0.0,0.15701592892019525,0.15701592892019525,0.1903470022673044
VAS,VAS,VAS,0,0.1467780853428974,0.1467780853428974,0.0,0.1467780853428974,0.1467780853428974,0.1777560609717306
VAS,SUBCORTICAL,VAS-SUBCORTICAL,0,0.1030635709789369,0.1030635709789369,0.0,0.1030635709789369,0.1030635709789369,0.12399406705519365
VAS,CEREBELLAR,VAS-CEREBELLAR,0,0.09292314807403268,0.09292314807403268,0.0,0.09292314807403268,0.09292314807403268,0.11152293790148571
SUBCORTICAL,SUBCORTICAL,SUBCORTICAL,0,0.06792502213938216,0.06792502213938216,0.0,0.06792502213938216,0.06792502213938216,0.08077916517570437
SUBCORTICAL,CEREBELLAR,SUBCORTICAL-CEREBELLAR,0,0.06293810248024607,0.06293810248024607,0.0,0.06293810248024607,0.06293810248024607,0.07464603643625375
CEREBELLAR,CEREBELLAR,CEREBELLAR,0,0.05574961978708077,0.05574961978708077,0.0,0.05574961978708077,0.05574961978708077,0.06580533058735843
