model,arch,prior,n_folds,n_valid,n_abstained,n_pairs,fc_edge_spearman,sc_edge_spearman,fc_top100_jaccard,sc_top100_jaccard,fc_top300_jaccard,sc_top300_jaccard,fc_top10_roi_jaccard,sc_top10_roi_jaccard,multimodal_top10_roi_jaccard,multimodal_top20_roi_jaccard,sign_consistency_fc,sign_consistency_sc
R-MATCHED,ridge,matched,25,22,3,22,0.7228746090633988,,0.25821952447928015,0.19609613019425817,0.30067032753765305,0.21770672382484726,0.4795897926652621,0.4795897926652621,0.4795897926652621,0.49253422521402124,0.9987530228774468,0.6951253281680885
R-CROSS,ridge,cross,25,22,3,22,0.652057392238446,,0.19769431417206523,0.2149185586934686,0.25028940827299834,0.2857651016290814,0.5138101860790936,0.5138101860790936,0.5138101860790936,0.5598691586227625,0.9913805433300487,0.820976761444958
R-SHUFFLED,ridge,shuffled,25,18,7,18,0.521849387056523,0.5028354453546883,0.20146365289010548,0.23073565516638198,0.22902176605117,0.24858206962764168,0.5492035197917551,0.5492035197917551,0.5492035197917551,0.5708712432021871,0.9515614510204056,0.9265790029495216
R-RANDOM,ridge,random,25,22,3,22,0.6012484214623609,,0.2080503557843977,0.27938569002824293,0.2376191363395654,0.308523526523481,0.5017656211315493,0.5017656211315493,0.5017656211315493,0.4618290947823507,0.9772373284315582,0.7494897662911671
N-MATCHED,ncr,matched,25,19,6,19,0.6977463375349754,,0.1946589489966895,0.19904962715987715,0.25109039927496907,0.21508822784224602,0.38749713956112297,0.38749713956112297,0.38749713956112297,0.46260346876204106,0.9983600846541951,0.803211521142377
N-CROSS,ncr,cross,25,22,3,22,0.6289975251069916,,0.15949479754802495,0.19818446767805836,0.22126745022521904,0.2532565607474008,0.4419059917532034,0.4419059917532034,0.4419059917532034,0.544860942797406,0.9897886188529134,0.819015996294457
N-SHUFFLED,ncr,shuffled,25,18,7,18,0.5188071008751647,0.5012204213072494,0.19154242419430711,0.2311385882853951,0.21991436232107284,0.2451868816198394,0.5492448727742846,0.5492448727742846,0.5492448727742846,0.6137878543166095,0.95648120710827,0.9100140574264994
N-RANDOM,ncr,random,25,21,4,21,0.5929494184489942,,0.19588869628686548,0.284856264490361,0.2326102656778802,0.31917200443898336,0.4392495770647031,0.4392495770647031,0.4392495770647031,0.4253596534333036,0.9749697962647829,0.7999414116504496
