model,arch,prior,n_valid,n_abstained,fc_edge_spearman,sc_edge_spearman,edge_rank_stability,multimodal_top10_roi_jaccard,top10_roi_jaccard,sign_consistency,top10_delta_rmse,random10_mean,top10_minus_random10,percentile,bottom10_delta_rmse,top5_minus_random5
R-MATCHED,ridge,matched,22,3,0.7228746090633988,,0.7228746090633988,0.4795897926652621,0.4795897926652621,0.8469391755227677,0.04038495097618025,0.0421089181812532,-0.001723967205072987,0.5495454545454546,0.04415957493310858,0.020572478102383874
R-CROSS,ridge,cross,22,3,0.652057392238446,,0.652057392238446,0.5138101860790936,0.5138101860790936,0.9061786523875034,0.005340777910371391,0.029629998774673705,-0.024289220864302366,0.506818181818182,0.023918030704316917,0.061359773528736054
R-SHUFFLED,ridge,shuffled,18,7,0.521849387056523,0.5028354453546883,0.5123424162056056,0.5492035197917551,0.5492035197917551,0.9390702269849636,-0.12460041133515591,0.025221497281093366,-0.14982190861624928,0.33055555555555555,0.03226320096562317,-0.030978603575355573
R-RANDOM,ridge,random,22,3,0.6012484214623609,,0.6012484214623609,0.5017656211315493,0.5017656211315493,0.8633635473613627,-0.18167228571591434,0.032448344746831,-0.21412063046274535,0.3559090909090909,0.032072805711562506,-0.17830404568567054
N-MATCHED,ncr,matched,19,6,0.6977463375349754,,0.6977463375349754,0.3874971395611229,0.3874971395611229,0.9007858028982861,-0.14141703316579377,0.029766384378704203,-0.171183417544498,0.33631578947368423,0.02167444494625708,-0.13886231812886263
N-CROSS,ncr,cross,22,3,0.6289975251069916,,0.6289975251069916,0.4419059917532034,0.4419059917532034,0.9044023075736851,0.08479138364358718,0.03756619388265217,0.04722518976093501,0.5340909090909091,0.029268083031511547,0.024601765578904197
N-SHUFFLED,ncr,shuffled,18,7,0.5188071008751647,0.5012204213072494,0.510013761091207,0.5492448727742846,0.5492448727742846,0.9332476322673847,-0.09587437730051757,0.026932981090108457,-0.12280735839062605,0.32166666666666666,0.02512955358953583,-0.05120968456021924
N-RANDOM,ncr,random,21,4,0.5929494184489942,,0.5929494184489942,0.4392495770647031,0.4392495770647031,0.8874556039576162,-0.18733007008143754,0.03672588454346396,-0.22405595462490152,0.3604761904761905,0.0015748351297765408,-0.16503839266561537
