ratio,seed,fold,v_fc,alpha,lambda_r_fc,lambda_r_sc,runtime_s,pearson,rmse,mae
0.0,7171,0,0.55,0.35,1000.0,1000.0,0.0005702972412109375,0.2924339036708129,11.20410186168478,8.939876294816633
0.1,7171,0,0.55,0.45,0.1,0.1,11.604151487350464,0.27762515188507436,11.318636385387714,9.072866533682362
0.3,7171,0,0.5,0.45,0.1,0.1,9.617454051971436,0.27259336021052927,11.330711796784954,9.083495782749889
1.0,7171,0,0.5,0.45,0.1,0.1,9.77254843711853,0.2758229329269806,11.298363567209282,9.054269617330984
0.0,7171,1,1.0,0.4,1000.0,1000.0,0.0004413127899169922,0.32644768998591295,10.785573870020984,8.893366990068397
0.1,7171,1,0.95,0.25,0.1,1.0,11.30866289138794,0.3166698176120443,10.905070041243807,8.981986972504673
0.3,7171,1,0.95,0.25,0.1,1.0,10.732022762298584,0.31795760384016913,10.891794852531737,8.96552873995654
1.0,7171,1,0.9,0.3,0.1,1.0,12.856797218322754,0.32107079372661024,10.849228830316083,8.927264222023412
0.0,7171,2,0.9,0.65,1000.0,100.0,0.0004477500915527344,0.29957252442527954,11.584065435253489,9.496573094639597
0.1,7171,2,0.8,0.5,1.0,0.1,12.262616157531738,0.3075776050431608,11.547293633968147,9.493613137389229
0.3,7171,2,0.75,0.55,0.1,0.1,11.635353565216064,0.29958821447542316,11.742655298919678,9.527227356975423
1.0,7171,2,0.75,0.6,0.1,0.1,11.85107684135437,0.29197934286731103,11.724605645882246,9.55945900502233
0.0,7171,3,0.75,0.2,1000.0,1000.0,0.00042557716369628906,0.24172649156389303,10.535878182634264,8.523890812775022
0.1,7171,3,0.75,0.0,1.0,1.0,11.917515516281128,0.2510343153405401,10.542584748859571,8.489944004096431
0.3,7171,3,0.8,0.0,1.0,1.0,13.582426071166992,0.2510343153405401,10.542584748859571,8.489944004096431
1.0,7171,3,0.85,0.05,1.0,1.0,14.005262613296509,0.25057563128681903,10.523342620891986,8.482257901289543
0.0,7171,4,0.7,0.1,1000.0,100.0,0.0004448890686035156,0.15302867686778632,12.119751339525132,9.5547393221225
0.1,7171,4,0.75,0.1,1.0,0.1,16.60660982131958,0.15300673617201066,12.106319832058547,9.55091681581987
0.3,7171,4,0.75,0.1,1.0,0.1,15.687484502792358,0.15318769251963918,12.103469492711653,9.54924624268157
1.0,7171,4,0.65,0.15,0.1,0.01,15.441201448440552,0.15649332316005354,12.05811000268346,9.488901753445127
