model,arch,prior,pearson_mean,pearson_std,pearson_median,rmse_mean,mae_mean,delta_r_mean,delta_r_std,positive_seeds,n_seeds
R0,R0,none,0.2429745469736274,0.02479428681404911,0.23550973495668232,11.40308992326241,9.195019768189441,0.0,0.0,0,5
R-MATCHED,ridge,matched,0.2439394255602847,0.012882159963215685,0.23893267624466458,11.29281962674214,9.129860617049806,0.0009648785866573251,0.013480373655650354,3,5
R-CROSS,ridge,cross,0.2439158798907286,0.021447865996492264,0.2446985009012396,11.2922332680374,9.132268680012755,0.0009413329171012452,0.017899625714042747,2,5
R-SHUFFLED,ridge,shuffled,0.23125775884282412,0.02591799532110828,0.21773274488232303,11.365483137933651,9.189167926463638,-0.011716788130803225,0.012040015831458369,1,5
R-RANDOM,ridge,random,0.2291605183208479,0.03124212057380447,0.23314488800915234,11.389818698525522,9.190538744601493,-0.013814028652779437,0.024611254242631674,2,5
N-MATCHED,ncr,matched,0.23864388830476177,0.01801360194889904,0.22806781530018472,11.337812214167585,9.155162909578276,-0.004330658668865589,0.011756699272390881,2,5
N-CROSS,ncr,cross,0.24393405810139165,0.01905474662175983,0.24283551899307698,11.287817394397349,9.1205559982462,0.0009595111277642621,0.013085163217258493,2,5
N-SHUFFLED,ncr,shuffled,0.23199140272813484,0.02095389387861472,0.2215473131647946,11.329611718978988,9.165138378481085,-0.010983144245492477,0.007821499233451646,0,5
N-RANDOM,ncr,random,0.23183593136464045,0.036021556938991416,0.2410057812492976,11.375037877876087,9.174894274286075,-0.011138615608986924,0.023764103720817546,3,5
