seed,fold,model,modality,family,size,inner_r,inner_rmse,inner_mae,inner_lambda,selected,n_edges
7171,2,R-MATCHED/N-MATCHED,sc,roi_incident,15,0.055941803209792224,11.849640302443843,9.366055128365874,1000.0,0,1620
7171,3,R-MATCHED/N-MATCHED,fc,direct_topk,100,0.19132601213161254,11.586711381187728,9.321730373769503,100.0,0,100
7171,3,R-MATCHED/N-MATCHED,fc,direct_topk,300,0.2097981742436998,11.411161167494495,9.18737260705702,1000.0,0,300
7171,3,R-MATCHED/N-MATCHED,fc,direct_topk,600,0.21052595206162683,11.514223698722422,9.20290037042551,1000.0,0,600
7171,3,R-MATCHED/N-MATCHED,fc,direct_topk,1200,0.230612315850672,11.594277289956816,9.174191945628563,1000.0,0,1200
7171,3,R-MATCHED/N-MATCHED,fc,roi_incident,5,0.20573820738655943,11.460445158248486,9.206125781802477,1000.0,0,565
7171,3,R-MATCHED/N-MATCHED,fc,roi_incident,10,0.23612678878821483,11.533104898560651,9.143767780071716,1000.0,0,1105
7171,3,R-MATCHED/N-MATCHED,fc,roi_incident,15,0.23712186188467815,11.64888606068589,9.179923632730478,1000.0,1,1620
7171,3,R-MATCHED/N-MATCHED,sc,direct_topk,100,0.07521562398412593,11.682422070807517,9.474565273587917,1000.0,0,100
7171,3,R-MATCHED/N-MATCHED,sc,direct_topk,300,0.09477757284657531,69.17186713071574,51.69684182591628,0.01,0,300
7171,3,R-MATCHED/N-MATCHED,sc,direct_topk,600,0.019731261094139065,12.161023094319722,9.853753270683931,1000.0,0,600
7171,3,R-MATCHED/N-MATCHED,sc,direct_topk,1200,0.07113639511820997,12.220543069597632,9.902867575061956,1000.0,0,1200
7171,3,R-MATCHED/N-MATCHED,sc,roi_incident,5,0.12773784848981334,11.786619356717836,9.55577359359103,1000.0,1,565
7171,3,R-MATCHED/N-MATCHED,sc,roi_incident,10,0.09778309606085778,12.06398688060346,9.7985046550665,1000.0,0,1105
7171,3,R-MATCHED/N-MATCHED,sc,roi_incident,15,0.06844324698971302,12.348133321020237,10.015696700311354,1000.0,0,1620
7171,4,R-MATCHED/N-MATCHED,fc,direct_topk,100,0.22738441985100818,11.198558457488861,9.054053696206903,100.0,0,100
7171,4,R-MATCHED/N-MATCHED,fc,direct_topk,300,0.24783325677860962,11.080175536240661,8.981999124145487,1000.0,0,300
7171,4,R-MATCHED/N-MATCHED,fc,direct_topk,600,0.24273981183239107,11.120757284634369,9.097153962430012,1000.0,0,600
7171,4,R-MATCHED/N-MATCHED,fc,direct_topk,1200,0.27552223209454324,11.061698110325874,8.940215248006261,1000.0,1,1200
7171,4,R-MATCHED/N-MATCHED,fc,roi_incident,5,0.27075831465661265,11.53236761637645,9.400153198083471,100.0,0,565
7171,4,R-MATCHED/N-MATCHED,fc,roi_incident,10,0.2659866883989931,11.101963698129428,9.07619032758173,1000.0,0,1105
7171,4,R-MATCHED/N-MATCHED,fc,roi_incident,15,0.2609117142208709,11.20517159030879,9.15500054176557,1000.0,0,1620
7171,4,R-MATCHED/N-MATCHED,sc,direct_topk,100,0.07128683561484297,11.448590646280683,9.293778187794562,1000.0,0,100
7171,4,R-MATCHED/N-MATCHED,sc,direct_topk,300,0.08828931421844484,11.48972352848451,9.342898816692086,1000.0,0,300
7171,4,R-MATCHED/N-MATCHED,sc,direct_topk,600,0.13965995017989824,11.424746026167792,9.285433050740146,1000.0,0,600
7171,4,R-MATCHED/N-MATCHED,sc,direct_topk,1200,0.12216532225620581,11.641537477792596,9.419361542722607,1000.0,0,1200
