model,seed,fold,n,pearson,rmse,mae
R0,7373,3,102,0.24419937440556777,11.28727975791202,9.158603938444813
R-MATCHED,7373,3,102,0.24549024580977394,11.275928243033224,9.141619218901859
R-CROSS,7373,3,102,0.24029650352005133,11.23247499764367,9.14351637682426
R-SHUFFLED,7373,3,102,0.23623312203672542,11.274842957544204,9.15271873945151
R-RANDOM,7373,3,102,0.24419937440556777,11.28727975791202,9.158603938444813
N-MATCHED,7373,3,102,0.24419937440556777,11.28727975791202,9.158603938444813
N-CROSS,7373,3,102,0.2521264240763563,11.180474805155217,9.107949972741533
N-SHUFFLED,7373,3,102,0.24074054642057843,11.27062384762265,9.143792476193468
N-RANDOM,7373,3,102,0.24419937440556777,11.28727975791202,9.158603938444813
R0,7373,4,102,0.33593035771094903,10.551503311579156,8.734589400874226
R-MATCHED,7373,4,102,0.3400913561540165,10.491209739098979,8.707231721572068
R-CROSS,7373,4,102,0.3298858631192425,10.43584568743994,8.78268352842245
R-SHUFFLED,7373,4,102,0.33522331767333546,10.409968619194142,8.651447321252805
R-RANDOM,7373,4,102,0.3370316171188842,10.273325258099367,8.567906582684973
N-MATCHED,7373,4,102,0.3377972575042233,10.502481197915829,8.717702044940017
N-CROSS,7373,4,102,0.33872510648273135,10.396007180059565,8.683931594579457
N-SHUFFLED,7373,4,102,0.30219120541774025,10.3350752686945,8.704706069431234
N-RANDOM,7373,4,102,0.33957535035019687,10.241898567835554,8.568680991608824
R0,7474,0,102,0.1536142794741202,11.975009300920721,9.562686313524381
R-MATCHED,7474,0,102,0.2109279543118908,11.789177543366348,9.418512815328928
R-CROSS,7474,0,102,0.23166458988458719,11.701871488642425,9.315626292555484
R-SHUFFLED,7474,0,102,0.15051842951021166,12.025411924753122,9.564846832749412
R-RANDOM,7474,0,102,0.17697083369042912,11.898884642001628,9.505138122970338
N-MATCHED,7474,0,102,0.21821588496860364,11.758709722126838,9.399326003561706
N-CROSS,7474,0,102,0.2372280559122345,11.684010034960545,9.294241251367062
N-SHUFFLED,7474,0,102,0.15682600899414115,11.980378287350286,9.517806662157907
N-RANDOM,7474,0,102,0.1536142794741202,11.975009300920721,9.562686313524381
R0,7474,1,102,0.289259153962545,11.04529652533808,8.76554675703587
R-MATCHED,7474,1,102,0.29662182535983617,10.812380289779874,8.571286353451434
R-CROSS,7474,1,102,0.289259153962545,11.04529652533808,8.76554675703587
R-SHUFFLED,7474,1,102,0.289259153962545,11.04529652533808,8.76554675703587
R-RANDOM,7474,1,102,0.2921686565927736,10.836292274831901,8.575668453657906
N-MATCHED,7474,1,102,0.27662530258919105,11.011873408103863,8.62423068551125
N-CROSS,7474,1,102,0.28779581873288274,10.999691677897271,8.739732824260905
