model,task,n_valid_outer_folds,n_inactive_outer_folds,n_fc_active_folds,n_sc_active_folds,n_abstained,n_valid,fc_edge_spearman,fc_edge_spearman_median,fc_edge_spearman_sd,fc_edge_spearman_n_pairs,fc_edge_spearman_n_excluded_inactive,fc_top100_edge_jaccard,fc_top100_edge_jaccard_median,fc_top100_edge_jaccard_sd,fc_top100_edge_jaccard_n_pairs,fc_top100_edge_jaccard_n_excluded_inactive,fc_top300_edge_jaccard,fc_top300_edge_jaccard_median,fc_top300_edge_jaccard_sd,fc_top300_edge_jaccard_n_pairs,fc_top300_edge_jaccard_n_excluded_inactive,fc_top10_roi_jaccard,fc_top10_roi_jaccard_median,fc_top10_roi_jaccard_sd,fc_top10_roi_jaccard_n_pairs,fc_top10_roi_jaccard_n_excluded_inactive,fc_sign_consistency,fc_sign_consistency_median,fc_sign_consistency_sd,fc_sign_consistency_n_pairs,sc_edge_spearman,sc_edge_spearman_median,sc_edge_spearman_sd,sc_edge_spearman_n_pairs,sc_edge_spearman_n_excluded_inactive,sc_top100_edge_jaccard,sc_top100_edge_jaccard_median,sc_top100_edge_jaccard_sd,sc_top100_edge_jaccard_n_pairs,sc_top100_edge_jaccard_n_excluded_inactive,sc_top300_edge_jaccard,sc_top300_edge_jaccard_median,sc_top300_edge_jaccard_sd,sc_top300_edge_jaccard_n_pairs,sc_top300_edge_jaccard_n_excluded_inactive,sc_top10_roi_jaccard,sc_top10_roi_jaccard_median,sc_top10_roi_jaccard_sd,sc_top10_roi_jaccard_n_pairs,sc_top10_roi_jaccard_n_excluded_inactive,sc_sign_consistency,sc_sign_consistency_median,sc_sign_consistency_sd,sc_sign_consistency_n_pairs,multimodal_edge_spearman,multimodal_edge_spearman_median,multimodal_edge_spearman_sd,multimodal_edge_spearman_n_pairs,multimodal_edge_spearman_n_excluded_inactive,multimodal_top100_edge_jaccard,multimodal_top100_edge_jaccard_median,multimodal_top100_edge_jaccard_sd,multimodal_top100_edge_jaccard_n_pairs,multimodal_top100_edge_jaccard_n_excluded_inactive,multimodal_top300_edge_jaccard,multimodal_top300_edge_jaccard_median,multimodal_top300_edge_jaccard_sd,multimodal_top300_edge_jaccard_n_pairs,multimodal_top300_edge_jaccard_n_excluded_inactive,multimodal_top10_roi_jaccard,multimodal_top10_roi_jaccard_median,multimodal_top10_roi_jaccard_sd,multimodal_top10_roi_jaccard_n_pairs,multimodal_top10_roi_jaccard_n_excluded_inactive,multimodal_sign_consistency,multimodal_sign_consistency_median,multimodal_sign_consistency_sd,multimodal_sign_consistency_n_pairs,multimodal_top20_roi_jaccard,multimodal_top20_roi_jaccard_median,multimodal_top20_roi_jaccard_sd,multimodal_top20_roi_jaccard_n_pairs,fc_top100_jaccard,sc_top100_jaccard,fc_top300_jaccard,sc_top300_jaccard,sign_consistency_fc,sign_consistency_sc,old_fc_top10_roi_jaccard,old_sc_top10_roi_jaccard,old_multimodal_top10_roi_jaccard,old_fc_edge_spearman,old_sc_edge_spearman
R-MATCHED,WM,22,3,22,16,3,22,0.7228746090633988,0.7744566475554454,0.2168941619101695,231,69,0.25821952447928015,0.25,0.10052920459282749,231,69,0.30067032753765305,0.2987012987012987,0.11191714727520558,231,69,0.6293850449694605,0.5384615384615384,0.1738246129123458,231,69,0.9987530228774468,1.0,0.006931947881373292,231,0.5536179025078751,0.4906446200780783,0.26618468510852017,120,180,0.24996741192540378,0.17647058823529413,0.17411464813856375,120,180,0.2616606265355336,0.16505293638584745,0.1928870939607284,120,180,0.4097654316501066,0.3333333333333333,0.1795842543138861,120,180,0.8850661254563348,0.9030017921146953,0.08865514631505954,120,0.755430578961011,0.7742965340287673,0.16945439737858808,231,69,0.14716444343078997,0.11731843575418995,0.1367338310587675,231,69,0.20579872959334433,0.171875,0.11224996430199857,231,69,0.4795897926652621,0.5384615384615384,0.2029262217098162,231,69,0.8330018078460554,0.9090909090909091,0.191794290097067,231,0.49253422521402124,0.48148148148148145,0.1665544915407003,231,0.25821952447928015,0.24996741192540378,0.30067032753765305,0.2616606265355336,0.9987530228774468,0.8850661254563348,0.4795897926652621,0.4795897926652621,0.4795897926652621,0.7228746090633988,
R-CROSS,WM,22,3,22,19,3,22,0.652057392238446,0.465446893587372,0.2568263462936491,231,69,0.19769431417206523,0.13636363636363635,0.1456163493640899,231,69,0.25028940827299834,0.16279069767441862,0.15558367822595406,231,69,0.6081148288940497,0.5384615384615384,0.1921154614670052,231,69,0.9913805433300487,1.0,0.03898756034369791,224,0.5289238978164797,0.4613077517851132,0.2601094783680096,171,129,0.26854769663637007,0.1695906432748538,0.27598011332576233,171,129,0.297142801693044,0.1834319526627219,0.3035911973950269,171,129,0.45522456177770937,0.42857142857142855,0.17577745952531604,171,129,0.8390599961097744,0.8461538461538461,0.10755131807916597,171,0.6704604771273255,0.7096989687870353,0.21658855867489363,231,69,0.15717460741087858,0.12359550561797752,0.12602165334501397,231,69,0.22660962653327618,0.18811881188118812,0.11056310099910464,231,69,0.5138101860790936,0.5384615384615384,0.1613411993093883,231,69,0.8305859250650988,0.8636363636363636,0.14412717977083933,231,0.5598691586227625,0.6,0.17292689932246463,231,0.19769431417206523,0.26854769663637007,0.25028940827299834,0.297142801693044,0.9913805433300487,0.8390599961097744,0.5138101860790936,0.5138101860790936,0.5138101860790936,0.652057392238446,
R-SHUFFLED,WM,18,7,18,18,7,18,0.521849387056523,0.4656948936911033,0.28834616718829714,153,147,0.20146365289010548,0.14285714285714285,0.24053231084858662,153,147,0.22902176605117,0.171875,0.24035113759652116,153,147,0.6416704210821857,0.6666666666666666,0.20694329883219448,153,147,0.9515614510204056,0.9827586206896551,0.06743343361249095,153,0.5028354453546883,0.4039650271958208,0.23661057824846335,153,147,0.23073565516638198,0.16279069767441862,0.21763155814064797,153,147,0.24858206962764168,0.171875,0.2437022791110553,153,147,0.5556351248392771,0.6666666666666666,0.24251377211026934,153,147,0.9265790029495216,0.9302325581395349,0.06026025346175176,153,0.6204850396830213,0.5738709598084188,0.20483107618124516,153,147,0.16887802979592337,0.14285714285714285,0.11170230468681258,153,147,0.2201732593002652,0.20724346076458752,0.09693001641972007,153,147,0.5492035197917551,0.5384615384615384,0.1511165165860195,153,147,0.868300017070396,0.9090909090909091,0.12234872427678592,153,0.5716527903889631,0.6,0.11450647049784844,153,0.20146365289010548,0.23073565516638198,0.22902176605117,0.24858206962764168,0.9515614510204056,0.9265790029495216,0.5492035197917551,0.5492035197917551,0.5492035197917551,0.521849387056523,0.5028354453546883
R-RANDOM,WM,22,3,22,19,3,22,0.6012484214623609,0.4297254104948154,0.25302079965911756,231,69,0.2080503557843977,0.16279069767441862,0.1097534227039091,231,69,0.2376191363395654,0.1695906432748538,0.12332846682691857,231,69,0.4777925368070517,0.42857142857142855,0.2547019735913669,231,69,0.9772373284315582,1.0,0.030155509808986836,231,0.6706083876327723,0.6535138957518242,0.30965591491864475,171,129,0.35800980822657913,0.30718954248366015,0.2007913253822016,171,129,0.39379329145823494,0.2903225806451613,0.22917435628281735,171,129,0.4053655704842496,0.3333333333333333,0.18111338769925198,171,129,0.9028821691295036,0.9347826086956522,0.10191902497670736,171,0.7168020434817706,0.7209672773188079,0.15786167681340293,231,69,0.20686681679168173,0.16279069767441862,0.1326048149986966,231,69,0.2506408960116392,0.23711340206185566,0.10380632263229386,231,69,0.5017656211315493,0.42857142857142855,0.18952748794779592,231,69,0.866408529649722,0.9090909090909091,0.13234218777847348,231,0.4618290947823507,0.42857142857142855,0.15437086105871545,231,0.2080503557843977,0.35800980822657913,0.2376191363395654,0.39379329145823494,0.9772373284315582,0.9028821691295036,0.5017656211315493,0.5017656211315493,0.5017656211315493,0.6012484214623609,
N-MATCHED,WM,19,6,19,17,6,19,0.6977463375349754,0.7486575034025262,0.22395818110220392,171,129,0.1946589489966895,0.14285714285714285,0.10563385526629868,171,129,0.25109039927496907,0.1857707509881423,0.11791362657292967,171,129,0.5061984813899431,0.5384615384615384,0.24006098930125994,171,129,0.9983600846541951,1.0,0.009548170759683585,171,0.5468236689155629,0.46970038333204356,0.2824620319696092,136,164,0.24240540062900748,0.15606936416184972,0.18528842978213952,136,164,0.25470130818669523,0.14504233815897294,0.20580242872790966,136,164,0.3682874667724877,0.3333333333333333,0.21887494218220865,136,164,0.884448085974257,0.9078787878787878,0.11028288290714937,136,0.7480155303700399,0.755344186748806,0.1527940169298878,171,129,0.1443626968989013,0.12359550561797752,0.11748307627613873,171,129,0.1911474617777676,0.16731517509727625,0.10768772064620286,171,129,0.38749713956112297,0.3333333333333333,0.19314818676733292,171,129,0.8776648736073053,0.9090909090909091,0.1328797551766124,167,0.46260346876204106,0.48148148148148145,0.15952768659746158,171,0.1946589489966895,0.24240540062900748,0.25109039927496907,0.25470130818669523,0.9983600846541951,0.884448085974257,0.3874971395611229,0.3874971395611229,0.3874971395611229,0.6977463375349754,
N-CROSS,WM,22,3,22,19,3,22,0.6289975251069916,0.46420525312069016,0.2544955156328992,231,69,0.15949479754802495,0.0989010989010989,0.13169161179073788,231,69,0.22126745022521904,0.14722753346080306,0.15176688069853236,231,69,0.4765862174792254,0.42857142857142855,0.2333998680509991,231,69,0.9897886188529134,1.0,0.04351619392310921,223,0.5184150104617475,0.4548703767827678,0.24495936129394805,171,129,0.2487467964526904,0.17647058823529413,0.24840080972411177,171,129,0.26463419183731896,0.17416829745596868,0.27372417013076666,171,129,0.3746039982664826,0.3333333333333333,0.20490765050712353,171,129,0.8525966274833472,0.873015873015873,0.10934123699479661,171,0.6665468194143251,0.6967205789375974,0.20893358080173,231,69,0.1361918217549854,0.1111111111111111,0.09560270015894926,231,69,0.2078565828922272,0.17647058823529413,0.09850289306356297,231,69,0.4419059917532034,0.42857142857142855,0.1846289918497474,231,69,0.867098025919363,0.9,0.13766873796459458,231,0.544860942797406,0.5384615384615384,0.15034326890795818,231,0.15949479754802495,0.2487467964526904,0.22126745022521904,0.26463419183731896,0.9897886188529134,0.8525966274833472,0.4419059917532034,0.4419059917532034,0.4419059917532034,0.6289975251069916,
N-SHUFFLED,WM,18,7,18,18,7,18,0.5188071008751647,0.4638280902545168,0.28850376945060546,153,147,0.19154242419430711,0.0989010989010989,0.2421255688701779,153,147,0.21991436232107284,0.14722753346080306,0.24137557948880836,153,147,0.5846204929249913,0.5384615384615384,0.2171250704049254,153,147,0.95648120710827,1.0,0.06411437023508706,153,0.5012204213072494,0.4009205732110598,0.2358705157909935,153,147,0.2311385882853951,0.15606936416184972,0.21785324721166982,153,147,0.2451868816198394,0.16731517509727625,0.23740533136200856,153,147,0.5194980272834945,0.5384615384615384,0.23549055615607825,153,147,0.9100140574264994,0.9183673469387755,0.06920897462989166,153,0.6227321137056219,0.5783050806707112,0.20659357347021692,153,147,0.1940853140320498,0.14285714285714285,0.166731124994388,153,147,0.21721087019180566,0.20481927710843373,0.09411224625648842,153,147,0.5492448727742846,0.5384615384615384,0.16297316398169365,153,147,0.8086488478341485,0.8414634146341463,0.1471749487274836,153,0.6146338923891324,0.6,0.09624930425266277,153,0.19154242419430711,0.2311385882853951,0.21991436232107284,0.2451868816198394,0.95648120710827,0.9100140574264994,0.5492448727742846,0.5492448727742846,0.5492448727742846,0.5188071008751647,0.5012204213072494
N-RANDOM,WM,21,4,21,19,4,21,0.5929494184489942,0.4268427469164236,0.2547048042891094,210,90,0.19588869628686548,0.15274732575908578,0.11205645230613712,210,90,0.2326102656778802,0.1695950875486381,0.13269070230115423,210,90,0.4296283536111046,0.3333333333333333,0.2667182521834915,210,90,0.9749697962647829,1.0,0.03775683911603326,210,0.6624717668553627,0.6740290059133537,0.30403426371347825,171,129,0.3427347396497108,0.32450331125827814,0.20401422511554504,171,129,0.38222879126580667,0.29310344827586204,0.2382022007647677,171,129,0.3661009849158239,0.3333333333333333,0.21457741745660694,171,129,0.9110439572133808,0.9433962264150944,0.10161999710145028,171,0.7206404430436729,0.7203355731378631,0.15403656370559343,210,90,0.18315785296846548,0.13636363636363635,0.13086409196299414,210,90,0.23250002716386187,0.20240963855421687,0.10400428006503433,210,90,0.4392495770647031,0.42857142857142855,0.21333346329093364,210,90,0.8517009599749066,0.9090909090909091,0.1453804516346065,210,0.4253596534333036,0.42857142857142855,0.15896054434047374,210,0.19588869628686548,0.3427347396497108,0.2326102656778802,0.38222879126580667,0.9749697962647829,0.9110439572133808,0.4392495770647031,0.4392495770647031,0.4392495770647031,0.5929494184489942,
