model,ensemble_r,ensemble_delta_r_vs_R0,boot_ci_lo,boot_ci_hi,fraction_le_0,estimand
R0,0.2767858374893624,0.0,0.0,0.0,1.0,sensitivity_ensemble
R-MATCHED,0.273518827143287,-0.003267010346075405,-0.017416550788379167,0.010881559994516947,0.6791,sensitivity_ensemble
R-CROSS,0.27689758729264496,0.00011174980328254591,-0.014931728520714168,0.015112547715428484,0.5023,sensitivity_ensemble
R-SHUFFLED,0.26652318811770936,-0.010262649371653054,-0.028166011087386186,0.007320725003978963,0.8679,sensitivity_ensemble
R-RANDOM,0.26793065221413614,-0.008855185275226274,-0.029171532107144783,0.010657902204126397,0.811,sensitivity_ensemble
N-MATCHED,0.27077934683969557,-0.006006490649666851,-0.02034909935279517,0.00867924083359426,0.7901,sensitivity_ensemble
N-CROSS,0.27722896609869224,0.0004431286093298237,-0.015363705912017536,0.01627652380187981,0.4859,sensitivity_ensemble
N-SHUFFLED,0.2688498712843088,-0.007935966205053602,-0.026812990217310283,0.011320257073083205,0.789,sensitivity_ensemble
N-RANDOM,0.2711600213213071,-0.005625816168055298,-0.02629437919265836,0.014250694212712231,0.7065,sensitivity_ensemble
