model,rank,roi_index,roi_label,mean_importance
R-MATCHED,103,52,Occipital_Mid_R,0.9936909523543608
R-MATCHED,104,35,Cingulum_Post_L,0.9913001803547036
R-MATCHED,105,17,Rolandic_Oper_L,0.9797812505467298
R-MATCHED,106,2,Precentral_R,0.9706532647951654
R-MATCHED,107,67,Precuneus_L,0.9671189897354683
R-MATCHED,108,70,Paracentral_Lobule_R,0.944518820995497
R-MATCHED,109,57,Postcentral_L,0.9307472049678703
R-MATCHED,110,53,Occipital_Inf_L,0.9303459487785163
R-MATCHED,111,55,Fusiform_L,0.8874805560599893
R-MATCHED,112,18,Rolandic_Oper_R,0.8654419534434389
R-MATCHED,113,47,Lingual_L,0.81816338257584
R-MATCHED,114,49,Occipital_Sup_L,0.779384947362116
R-MATCHED,115,56,Fusiform_R,0.7176146069205498
R-MATCHED,116,50,Occipital_Sup_R,0.6868363585764876
N-MATCHED,1,7,Frontal_Mid_L,58.251242770928094
N-MATCHED,2,4,Frontal_Sup_R,58.23450782810928
N-MATCHED,3,3,Frontal_Sup_L,53.41625679463334
N-MATCHED,4,8,Frontal_Mid_R,53.12410060147133
N-MATCHED,5,60,Parietal_Sup_R,44.411560904998076
N-MATCHED,6,65,Angular_L,26.4759849964926
N-MATCHED,7,12,Frontal_Inf_Oper_R,25.92018162441325
N-MATCHED,8,11,Frontal_Inf_Oper_L,24.770349745534777
N-MATCHED,9,66,Angular_R,24.625256856821252
N-MATCHED,10,61,Parietal_Inf_L,22.218675441433867
N-MATCHED,11,59,Parietal_Sup_L,22.075791626339026
N-MATCHED,12,81,Temporal_Sup_L,21.88630854546338
N-MATCHED,13,62,Parietal_Inf_R,21.49678399137747
N-MATCHED,14,64,SupraMarginal_R,19.001170523104616
N-MATCHED,15,63,SupraMarginal_L,16.70214120925574
N-MATCHED,16,113,Vermis_7,15.225321106137441
N-MATCHED,17,85,Temporal_Mid_L,14.722895738666187
N-MATCHED,18,112,Vermis_6,13.645065027116502
N-MATCHED,19,99,Cerebelum_6_L,13.027173558267577
N-MATCHED,20,101,Cerebelum_7b_L,12.96297249965729
N-MATCHED,21,92,Cerebelum_Crus1_R,12.86482066514613
N-MATCHED,22,100,Cerebelum_6_R,10.898355165421703
N-MATCHED,23,104,Cerebelum_8_R,10.860289389141117
N-MATCHED,24,114,Vermis_8,9.812212890521453
N-MATCHED,25,80,Heschl_R,9.55404770359939
N-MATCHED,26,107,Cerebelum_10_L,9.062075479306321
N-MATCHED,27,82,Temporal_Sup_R,8.90810587304911
N-MATCHED,28,103,Cerebelum_8_L,8.68186980806343
N-MATCHED,29,14,Frontal_Inf_Tri_R,8.46929424255391
N-MATCHED,30,31,Cingulum_Ant_L,8.207602127971247
N-MATCHED,31,108,Cerebelum_10_R,8.16007617707242
N-MATCHED,32,93,Cerebelum_Crus2_L,7.9857020343326255
