model,seed,n,pearson,rmse,mae
R0,7171,510,0.2720007021574198,11.341000740860743,9.076648887178342
R0,7272,510,0.23550973495668232,11.336633532590437,9.135453869188698
R0,7373,510,0.2654385028241173,11.425981406189202,9.215849843976299
R0,7474,510,0.21436482455223257,11.542853779037813,9.332866791512474
R0,7575,510,0.22755897037768483,11.368980157633857,9.214279449091393
R-MATCHED,7171,510,0.25749632556859103,11.260054847576475,9.08168930288443
R-MATCHED,7272,510,0.23893267624466458,11.271223753880937,9.101115110765365
R-MATCHED,7373,510,0.2577481531150597,11.288919880603867,9.153420966369053
R-MATCHED,7474,510,0.23543416199197553,11.308993899102736,9.125439281386019
R-MATCHED,7575,510,0.23008581088113256,11.334905752546693,9.18763842384416
R-CROSS,7171,510,0.2664952818652371,11.256077433757646,9.062105262016685
R-CROSS,7272,510,0.23889173711508663,11.309061870754709,9.117495758202688
R-CROSS,7373,510,0.2585820084677602,11.221356860348964,9.110655060393135
R-CROSS,7474,510,0.2446985009012396,11.28152125424928,9.118627295623165
R-CROSS,7575,510,0.21091187110431953,11.393148921076394,9.252460023828105
R-SHUFFLED,7171,510,0.25385319292553354,11.258984270508094,9.091559918144952
R-SHUFFLED,7272,510,0.2118311704722089,11.386974612312889,9.181625796438118
R-SHUFFLED,7373,510,0.2643864497200676,11.345443311862297,9.193206375995583
R-SHUFFLED,7474,510,0.21773274488232303,11.439162895335352,9.22781726764388
R-SHUFFLED,7575,510,0.20848523621398762,11.396850599649621,9.251630274095655
R-RANDOM,7171,510,0.23314488800915234,11.305223471242218,9.154686437522209
R-RANDOM,7272,510,0.23359087264963418,11.293927465196068,9.079503884152563
R-RANDOM,7373,510,0.2726841561878395,11.276394636863778,9.113273532374967
R-RANDOM,7474,510,0.2208785273721736,11.336824698649062,9.15123432212054
R-RANDOM,7575,510,0.18550414738544002,11.736723220676485,9.453995546837195
N-MATCHED,7171,510,0.2556737483257405,11.306037005275115,9.097712743889758
N-MATCHED,7272,510,0.22171492791902617,11.36006134300021,9.175495318954292
N-MATCHED,7373,510,0.2605343372037845,11.334634922007794,9.193861673245102
N-MATCHED,7474,510,0.22722861277507295,11.345282704903427,9.120010920743999
N-MATCHED,7575,510,0.22806781530018472,11.343045095651373,9.188733891058234
N-CROSS,7171,510,0.2648282033887733,11.25722158340819,9.062100214378201
N-CROSS,7272,510,0.24283551899307698,11.297703704938792,9.096708810568463
N-CROSS,7373,510,0.25926354126126716,11.264998498887683,9.111837843246548
N-CROSS,7474,510,0.23539044838378426,11.280756864889737,9.119004893161303
N-CROSS,7575,510,0.21735257848005643,11.338406319862344,9.213128229876487
N-SHUFFLED,7171,510,0.24957387206116788,11.249933888100491,9.096259055176926
N-SHUFFLED,7272,510,0.2215473131647946,11.317044163258839,9.126885876466586
N-SHUFFLED,7373,510,0.25916072095823367,11.329298282393657,9.203175257699955
N-SHUFFLED,7474,510,0.21245432944797896,11.399849182653584,9.170836919440085
N-SHUFFLED,7575,510,0.21722077800849932,11.351933078488374,9.228534783621882
N-RANDOM,7171,510,0.2528542051865845,11.270108894325976,9.099307471346625
N-RANDOM,7272,510,0.2410057812492976,11.203307470700143,9.023143016334457
N-RANDOM,7373,510,0.2709777790486686,11.243054218989,9.089131554520847
N-RANDOM,7474,510,0.21626216838085244,11.350482409155255,9.15544293489176
N-RANDOM,7575,510,0.178079722957799,11.808236396210061,9.507446394336682
