seed,fold,model,arch,prior,fc_family,fc_size,sc_family,sc_size,n_fc_edges,n_sc_edges,lambda_r_fc,lambda_r_sc,ratio_fc,ratio_sc,v_fc,alpha,abstained,runtime_s
7575,2,R-MATCHED,ridge,matched,direct_topk,1200,roi_incident,10,1200,1105,1000.0,1000.0,0.0,0.0,0.2,0.0,1,3.4768590927124023
7575,2,R-CROSS,ridge,cross,direct_topk,600,direct_topk,1200,600,1200,1000.0,1000.0,0.0,0.0,0.55,0.05,0,4.824387073516846
7575,2,R-SHUFFLED,ridge,shuffled,roi_incident,10,direct_topk,600,1105,600,1000.0,1000.0,0.0,0.0,0.4,0.35,0,4.646291017532349
7575,2,R-RANDOM,ridge,random,direct_topk,1200,direct_topk,1200,1200,1200,100.0,1000.0,0.0,0.0,0.4,0.0,1,5.457003355026245
7575,2,N-MATCHED,ncr,matched,direct_topk,1200,roi_incident,10,1200,1105,1000.0,1.0,0.0,0.3,0.15,0.0,1,38.55270528793335
7575,2,N-CROSS,ncr,cross,direct_topk,600,direct_topk,1200,600,1200,1000.0,1.0,0.0,0.1,0.6,0.2,0,24.03533697128296
7575,2,N-SHUFFLED,ncr,shuffled,roi_incident,10,direct_topk,600,1105,600,1000.0,1.0,0.0,0.3,0.35,0.45,0,33.193544149398804
7575,2,N-RANDOM,ncr,random,direct_topk,1200,direct_topk,1200,1200,1200,0.1,1.0,0.1,0.3,0.2,0.0,1,32.39690136909485
7575,3,R-MATCHED,ridge,matched,roi_incident,10,roi_incident,5,1105,565,1000.0,1000.0,0.0,0.0,0.7,0.0,1,3.385197877883911
7575,3,R-CROSS,ridge,cross,roi_incident,10,direct_topk,100,1105,100,1000.0,10.0,0.0,0.0,0.75,0.0,1,7.780562400817871
7575,3,R-SHUFFLED,ridge,shuffled,roi_incident,15,direct_topk,1200,1620,1200,1000.0,1000.0,0.0,0.0,0.3,0.6,0,4.567746639251709
7575,3,R-RANDOM,ridge,random,roi_incident,10,direct_topk,600,1105,600,100.0,1000.0,0.0,0.0,0.7,0.0,1,4.846390247344971
7575,3,N-MATCHED,ncr,matched,roi_incident,10,roi_incident,5,1105,565,0.1,10.0,1.0,0.1,0.6,0.05,0,23.712729692459106
7575,3,N-CROSS,ncr,cross,roi_incident,10,direct_topk,100,1105,100,1.0,0.1,1.0,0.1,0.8,0.0,1,20.448086261749268
7575,3,N-SHUFFLED,ncr,shuffled,roi_incident,15,direct_topk,1200,1620,1200,0.1,1.0,1.0,0.1,0.3,0.55,0,21.153622150421143
7575,3,N-RANDOM,ncr,random,roi_incident,10,direct_topk,600,1105,600,100.0,10.0,0.0,0.1,0.65,0.0,1,34.645923376083374
7575,4,R-MATCHED,ridge,matched,direct_topk,1200,direct_topk,1200,1200,1200,1000.0,1000.0,0.0,0.0,0.75,0.15,0,4.022018671035767
7575,4,R-CROSS,ridge,cross,direct_topk,600,direct_topk,1200,600,1200,100.0,1000.0,0.0,0.0,0.85,0.45,0,5.150690078735352
7575,4,R-SHUFFLED,ridge,shuffled,roi_incident,15,direct_topk,300,1620,300,100.0,1000.0,0.0,0.0,1.0,0.0,1,5.255469560623169
7575,4,R-RANDOM,ridge,random,direct_topk,1200,roi_incident,5,1200,565,100.0,1000.0,0.0,0.0,0.75,0.4,0,8.395533800125122
7575,4,N-MATCHED,ncr,matched,direct_topk,1200,direct_topk,1200,1200,1200,0.1,1.0,1.0,0.3,0.75,0.2,0,20.53027105331421
7575,4,N-CROSS,ncr,cross,direct_topk,600,direct_topk,1200,600,1200,0.1,1.0,1.0,1.0,0.85,0.45,0,31.193140506744385
7575,4,N-SHUFFLED,ncr,shuffled,roi_incident,15,direct_topk,300,1620,300,100.0,1000.0,0.0,0.0,1.0,0.0,1,23.924011945724487
7575,4,N-RANDOM,ncr,random,direct_topk,1200,roi_incident,5,1200,565,0.01,1000.0,1.0,0.0,0.8,0.4,0,28.335824012756348
