seed,fold,model,arch,prior,fc_family,fc_size,sc_family,sc_size,n_fc_edges,n_sc_edges,lambda_r_fc,lambda_r_sc,ratio_fc,ratio_sc,v_fc,alpha,abstained,runtime_s
7171,4,R-RANDOM,ridge,random,direct_topk,1200,roi_incident,10,1200,1105,100.0,100.0,0.0,0.0,0.6,0.4,0,5.313340902328491
7171,4,N-MATCHED,ncr,matched,direct_topk,1200,roi_incident,15,1200,1620,1000.0,100.0,0.0,0.0,0.7,0.15,0,45.298381328582764
7171,4,N-CROSS,ncr,cross,direct_topk,600,direct_topk,300,600,300,1000.0,1.0,0.0,0.1,1.0,0.05,0,29.897834062576294
7171,4,N-SHUFFLED,ncr,shuffled,direct_topk,100,direct_topk,1200,100,1200,10.0,10.0,0.0,0.1,0.5,0.1,0,26.706920385360718
7171,4,N-RANDOM,ncr,random,direct_topk,1200,roi_incident,10,1200,1105,0.01,0.1,0.3,0.1,0.6,0.4,0,31.84958529472351
7272,0,R-MATCHED,ridge,matched,roi_incident,10,roi_incident,5,1105,565,1000.0,1000.0,0.0,0.0,0.45,0.15,0,3.5154759883880615
7272,0,R-CROSS,ridge,cross,roi_incident,10,direct_topk,100,1105,100,1000.0,100.0,0.0,0.0,0.35,0.05,0,4.395858526229858
7272,0,R-SHUFFLED,ridge,shuffled,roi_incident,5,direct_topk,300,565,300,100.0,1000.0,0.0,0.0,0.25,0.25,0,4.84392786026001
7272,0,R-RANDOM,ridge,random,roi_incident,10,direct_topk,1200,1105,1200,1000.0,1000.0,0.0,0.0,0.35,0.25,0,4.9181578159332275
7272,0,N-MATCHED,ncr,matched,roi_incident,10,roi_incident,5,1105,565,1000.0,1000.0,0.0,0.0,0.5,0.15,0,21.82646870613098
7272,0,N-CROSS,ncr,cross,roi_incident,10,direct_topk,100,1105,100,1000.0,1.0,0.0,0.3,0.4,0.0,1,25.009117603302002
7272,0,N-SHUFFLED,ncr,shuffled,roi_incident,5,direct_topk,300,565,300,0.1,1000.0,0.1,0.0,0.25,0.25,0,24.418473958969116
7272,0,N-RANDOM,ncr,random,roi_incident,10,direct_topk,1200,1105,1200,0.1,1.0,1.0,1.0,0.25,0.2,0,41.042325258255005
7272,1,R-MATCHED,ridge,matched,direct_topk,1200,roi_incident,5,1200,565,1000.0,100.0,0.0,0.0,0.45,0.15,0,3.1769015789031982
7272,1,R-CROSS,ridge,cross,roi_incident,15,roi_incident,5,1620,565,1000.0,0.001,0.0,0.0,0.75,0.3,0,4.633175373077393
7272,1,R-SHUFFLED,ridge,shuffled,direct_topk,600,direct_topk,600,600,600,100.0,1000.0,0.0,0.0,0.85,0.3,0,5.904294490814209
7272,1,R-RANDOM,ridge,random,direct_topk,300,roi_incident,10,300,1105,10.0,1000.0,0.0,0.0,0.5,0.3,0,7.026814699172974
7272,1,N-MATCHED,ncr,matched,direct_topk,1200,roi_incident,5,1200,565,1000.0,0.01,0.0,1.0,0.3,0.3,0,26.746787309646606
7272,1,N-CROSS,ncr,cross,roi_incident,15,roi_incident,5,1620,565,0.1,0.001,1.0,0.0,0.8,0.35,0,30.277748107910156
7272,1,N-SHUFFLED,ncr,shuffled,direct_topk,600,direct_topk,600,600,600,0.1,1.0,0.3,1.0,0.95,0.3,0,37.197853088378906
7272,1,N-RANDOM,ncr,random,direct_topk,300,roi_incident,10,300,1105,0.1,1000.0,0.1,0.0,0.55,0.3,0,32.9712860584259
7272,2,R-MATCHED,ridge,matched,roi_incident,10,direct_topk,1200,1105,1200,1000.0,1000.0,0.0,0.0,0.8,0.2,0,3.343703508377075
7272,2,R-CROSS,ridge,cross,roi_incident,15,direct_topk,1200,1620,1200,1000.0,1000.0,0.0,0.0,0.55,0.05,0,4.756122589111328
7272,2,R-SHUFFLED,ridge,shuffled,direct_topk,100,direct_topk,600,100,600,0.001,1000.0,0.0,0.0,0.65,0.0,1,4.333119630813599
7272,2,R-RANDOM,ridge,random,direct_topk,1200,roi_incident,5,1200,565,100.0,1000.0,0.0,0.0,0.8,0.05,0,4.688293695449829
7272,2,N-MATCHED,ncr,matched,roi_incident,10,direct_topk,1200,1105,1200,1.0,1.0,1.0,1.0,0.85,0.25,0,25.0768985748291
7272,2,N-CROSS,ncr,cross,roi_incident,15,direct_topk,1200,1620,1200,0.1,1.0,1.0,0.3,0.6,0.1,0,25.201109647750854
7272,2,N-SHUFFLED,ncr,shuffled,direct_topk,100,direct_topk,600,100,600,0.001,1.0,0.0,0.3,0.65,0.0,1,16.906163692474365
7272,2,N-RANDOM,ncr,random,direct_topk,1200,roi_incident,5,1200,565,0.1,1.0,0.1,0.3,0.8,0.05,0,26.962565898895264
7272,3,R-MATCHED,ridge,matched,roi_incident,15,roi_incident,5,1620,565,100.0,1000.0,0.0,0.0,0.95,0.15,0,3.21294903755188
7272,3,R-CROSS,ridge,cross,roi_incident,10,direct_topk,300,1105,300,100.0,1000.0,0.0,0.0,1.0,0.0,1,8.36748719215393
7272,3,R-SHUFFLED,ridge,shuffled,roi_incident,10,direct_topk,300,1105,300,10.0,1000.0,0.0,0.0,0.95,0.4,0,5.52094578742981
7272,3,R-RANDOM,ridge,random,roi_incident,15,roi_incident,5,1620,565,100.0,1000.0,0.0,0.0,0.5,0.1,0,5.2429375648498535
7272,3,N-MATCHED,ncr,matched,roi_incident,15,roi_incident,5,1620,565,0.1,1.0,0.3,1.0,0.8,0.0,1,26.595059871673584
7272,3,N-CROSS,ncr,cross,roi_incident,10,direct_topk,300,1105,300,0.1,1.0,0.3,1.0,1.0,0.0,1,31.752275705337524
7272,3,N-SHUFFLED,ncr,shuffled,roi_incident,10,direct_topk,300,1105,300,10.0,1.0,0.0,1.0,0.9,0.35,0,35.902140378952026
7272,3,N-RANDOM,ncr,random,roi_incident,15,roi_incident,5,1620,565,100.0,0.1,0.0,1.0,0.5,0.1,0,24.31037735939026
7272,4,R-MATCHED,ridge,matched,roi_incident,10,roi_incident,15,1105,1620,1000.0,100.0,0.0,0.0,0.45,0.2,0,3.7365715503692627
7272,4,R-CROSS,ridge,cross,roi_incident,10,direct_topk,600,1105,600,1000.0,0.001,0.0,0.0,1.0,0.1,0,5.089172601699829
7272,4,R-SHUFFLED,ridge,shuffled,roi_incident,15,roi_incident,10,1620,1105,1000.0,1000.0,0.0,0.0,0.5,0.75,0,5.308355093002319
7272,4,R-RANDOM,ridge,random,direct_topk,1200,direct_topk,1200,1200,1200,100.0,1000.0,0.0,0.0,0.8,0.65,0,4.593275308609009
7272,4,N-MATCHED,ncr,matched,roi_incident,10,roi_incident,15,1105,1620,1000.0,0.01,0.0,1.0,0.4,0.2,0,40.324188470840454
7272,4,N-CROSS,ncr,cross,roi_incident,10,direct_topk,600,1105,600,1000.0,0.001,0.0,1.0,1.0,0.1,0,32.689316272735596
7272,4,N-SHUFFLED,ncr,shuffled,roi_incident,15,roi_incident,10,1620,1105,0.1,1.0,0.1,0.1,0.35,0.75,0,43.194607734680176
7272,4,N-RANDOM,ncr,random,direct_topk,1200,direct_topk,1200,1200,1200,100.0,1.0,0.0,1.0,0.45,0.8,0,33.41460418701172
7373,0,R-MATCHED,ridge,matched,roi_incident,15,roi_incident,5,1620,565,1000.0,1000.0,0.0,0.0,0.1,0.15,0,3.2452423572540283
7373,0,R-CROSS,ridge,cross,roi_incident,15,direct_topk,100,1620,100,1000.0,1000.0,0.0,0.0,0.55,0.2,0,4.41151762008667
7373,0,R-SHUFFLED,ridge,shuffled,roi_incident,15,direct_topk,300,1620,300,100.0,1000.0,0.0,0.0,1.0,0.0,1,4.433556079864502
7373,0,R-RANDOM,ridge,random,roi_incident,10,roi_incident,15,1105,1620,100.0,1000.0,0.0,0.0,1.0,0.15,0,4.923492670059204
7373,0,N-MATCHED,ncr,matched,roi_incident,15,roi_incident,5,1620,565,1.0,1.0,1.0,1.0,0.1,0.15,0,28.210110425949097
7373,0,N-CROSS,ncr,cross,roi_incident,15,direct_topk,100,1620,100,0.1,1.0,1.0,1.0,0.7,0.2,0,25.132168769836426
7373,0,N-SHUFFLED,ncr,shuffled,roi_incident,15,direct_topk,300,1620,300,0.01,10.0,1.0,0.1,0.15,0.0,1,33.05131125450134
7373,0,N-RANDOM,ncr,random,roi_incident,10,roi_incident,15,1105,1620,0.1,1.0,1.0,1.0,1.0,0.35,0,36.84164905548096
7373,1,R-MATCHED,ridge,matched,direct_topk,1200,roi_incident,5,1200,565,1000.0,1000.0,0.0,0.0,1.0,1.0,0,3.377314329147339
7373,1,R-CROSS,ridge,cross,direct_topk,600,direct_topk,100,600,100,1000.0,1000.0,0.0,0.0,1.0,0.65,0,4.324044227600098
7373,1,R-SHUFFLED,ridge,shuffled,roi_incident,15,roi_incident,5,1620,565,100.0,1000.0,0.0,0.0,1.0,0.0,1,4.875572681427002
7373,1,R-RANDOM,ridge,random,direct_topk,300,roi_incident,5,300,565,10.0,1000.0,0.0,0.0,0.7,0.15,0,4.503778696060181
7373,1,N-MATCHED,ncr,matched,direct_topk,1200,roi_incident,5,1200,565,0.1,1.0,0.3,0.3,1.0,0.7,0,40.368489027023315
7373,1,N-CROSS,ncr,cross,direct_topk,600,direct_topk,100,600,100,0.1,1000.0,1.0,0.0,1.0,0.65,0,24.730328798294067
7373,1,N-SHUFFLED,ncr,shuffled,roi_incident,15,roi_incident,5,1620,565,100.0,10.0,0.0,1.0,1.0,0.0,1,22.350258111953735
7373,1,N-RANDOM,ncr,random,direct_topk,300,roi_incident,5,300,565,0.01,10.0,1.0,0.1,0.7,0.15,0,29.725993156433105
7373,2,R-MATCHED,ridge,matched,direct_topk,1200,roi_incident,5,1200,565,1000.0,100.0,0.0,0.0,1.0,0.3,0,3.364316940307617
7373,2,R-CROSS,ridge,cross,roi_incident,15,direct_topk,300,1620,300,1000.0,1000.0,0.0,0.0,0.6,0.45,0,4.617607831954956
7373,2,R-SHUFFLED,ridge,shuffled,direct_topk,300,direct_topk,100,300,100,100.0,1000.0,0.0,0.0,0.75,0.5,0,4.5230183601379395
7373,2,R-RANDOM,ridge,random,direct_topk,1200,roi_incident,5,1200,565,100.0,1000.0,0.0,0.0,0.55,0.35,0,5.317673206329346
7373,2,N-MATCHED,ncr,matched,direct_topk,1200,roi_incident,5,1200,565,1000.0,100.0,0.0,0.0,0.9,0.35,0,15.720441341400146
7373,2,N-CROSS,ncr,cross,roi_incident,15,direct_topk,300,1620,300,1000.0,10.0,0.0,0.1,0.65,0.55,0,32.86814999580383
7373,2,N-SHUFFLED,ncr,shuffled,direct_topk,300,direct_topk,100,300,100,0.1,10.0,0.1,0.1,0.75,0.5,0,25.720778942108154
7373,2,N-RANDOM,ncr,random,direct_topk,1200,roi_incident,5,1200,565,0.1,10.0,0.1,0.1,0.55,0.4,0,17.8862247467041
7373,3,R-MATCHED,ridge,matched,roi_incident,15,roi_incident,15,1620,1620,1000.0,1000.0,0.0,0.0,1.0,0.05,0,3.7868740558624268
7373,3,R-CROSS,ridge,cross,roi_incident,10,roi_incident,15,1105,1620,1000.0,1000.0,0.0,0.0,0.7,0.45,0,5.058130502700806
7373,3,R-SHUFFLED,ridge,shuffled,roi_incident,15,direct_topk,600,1620,600,1000.0,1000.0,0.0,0.0,0.25,0.15,0,5.066521883010864
7373,3,R-RANDOM,ridge,random,roi_incident,15,roi_incident,15,1620,1620,1000.0,0.001,0.0,0.0,0.45,0.0,1,5.3166608810424805
7373,3,N-MATCHED,ncr,matched,roi_incident,15,roi_incident,15,1620,1620,1.0,10.0,0.3,0.1,1.0,0.0,1,46.80641531944275
7373,3,N-CROSS,ncr,cross,roi_incident,10,roi_incident,15,1105,1620,1.0,1.0,0.1,1.0,0.75,0.35,0,38.637091875076294
7373,3,N-SHUFFLED,ncr,shuffled,roi_incident,15,direct_topk,600,1620,600,0.1,1.0,1.0,0.3,0.25,0.1,0,28.300357341766357
7373,3,N-RANDOM,ncr,random,roi_incident,15,roi_incident,15,1620,1620,0.1,1.0,1.0,1.0,0.7,0.0,1,41.747775077819824
7373,4,R-MATCHED,ridge,matched,roi_incident,15,roi_incident,5,1620,565,1000.0,100.0,0.0,0.0,0.7,0.05,0,4.81301474571228
7373,4,R-CROSS,ridge,cross,direct_topk,600,direct_topk,100,600,100,100.0,0.001,0.0,0.0,0.75,0.3,0,4.7755913734436035
