roi_id,roi_label,system,yeo_winning_id,n_voxels,overlap_fraction
103,Cerebelum_8_L,CEREBELLAR,-2,1887,1.0
104,Cerebelum_8_R,CEREBELLAR,-2,2308,1.0
105,Cerebelum_9_L,CEREBELLAR,-2,869,1.0
106,Cerebelum_9_R,CEREBELLAR,-2,809,1.0
107,Cerebelum_10_L,CEREBELLAR,-2,144,1.0
108,Cerebelum_10_R,CEREBELLAR,-2,159,1.0
109,Vermis_1_2,CEREBELLAR,-2,53,1.0
110,Vermis_3,CEREBELLAR,-2,228,1.0
111,Vermis_4_5,CEREBELLAR,-2,665,1.0
112,Vermis_6,CEREBELLAR,-2,371,1.0
113,Vermis_7,CEREBELLAR,-2,194,1.0
114,Vermis_8,CEREBELLAR,-2,243,1.0
115,Vermis_9,CEREBELLAR,-2,174,1.0
116,Vermis_10,CEREBELLAR,-2,112,1.0
