model,task,k,top_mean,top_median,bottom_mean,random_mean
C0,WM,5,0.010923977312196076,0.0,0.003719091792750806,-0.017978512847058765
C0,WM,10,-0.0002873699359764004,0.0,0.010100344419356765,-0.031710968383557844
C0,FI,5,0.015950427678177892,0.0,0.001986522109989419,-0.003154665007266324
C0,FI,10,0.007662435685808733,0.0,-0.00755316132858348,-0.008003111633962914
C1,WM,5,-0.11982462040282567,0.0,-0.004650642192969912,-0.02572372771905503
C1,WM,10,-0.2594114343543371,-0.007991883308594794,-0.00035280499065919456,-0.05101000384665163
C1,FI,5,-0.014064591533293137,0.0,-0.0011950821097468367,-0.003985025523587298
C1,FI,10,-0.039537942025104786,-0.004726184668284894,-0.0007032667486024824,-0.0094011686060818
